cut_name,n_frames,n_boxes,n_tracks,primary_beh_tag,primary_ani_tag,camera,date,time
0132_arm01_gopro1_20200323_004730_beh8_ani2_ins1_cut_1,450,2022,10,beh8,ani2,gopro1,20200323,004730
0135_arm01_gopro1_20200323_004730_beh1_ani3_ins2_cut_13,450,1803,7,beh1,ani3,gopro1,20200323,004730
0161_arm01_gopro1_20200323_012254_beh7_ani8_ins2_cut_1,450,1800,6,beh7,ani8,gopro1,20200323,012254
0178_arm01_gopro1_20200323_014036_beh7_ani2_ins1_cut_1,450,3599,13,beh7,ani2,gopro1,20200323,014036
0187_arm01_gopro1_20200323_014036_beh1_ani3_ins2_cut_24,450,2429,12,beh1,ani3,gopro1,20200323,014036
0190_arm01_gopro1_20200323_014036_beh7_ani6_ins1_cut_1,450,1580,9,beh7,ani6,gopro1,20200323,014036
0190_arm01_gopro1_20200323_014036_beh7_ani6_ins1_cut_2,450,970,10,beh7,ani6,gopro1,20200323,014036
0196_arm01_gopro1_20200323_023342_beh7_ani2_ins1_cut_1,450,3600,11,beh7,ani2,gopro1,20200323,023342
0196_arm01_gopro1_20200323_023342_beh7_ani2_ins1_cut_5,450,3152,12,beh7,ani2,gopro1,20200323,023342
0196_arm01_gopro1_20200323_023342_beh7_ani2_ins1_cut_9,450,1239,9,beh7,ani2,gopro1,20200323,023342
0198_arm01_gopro1_20200323_023342_beh5_ani2_ins1_cut_1,450,3600,8,beh5,ani2,gopro1,20200323,023342
0199_arm01_gopro1_20200323_023342_beh3_ani3_ins1_cut_1,450,2700,7,beh3,ani3,gopro1,20200323,023342
0199_arm01_gopro1_20200323_023342_beh3_ani3_ins1_cut_9,450,2202,7,beh3,ani3,gopro1,20200323,023342
0219_arm01_gopro1_20200323_023342_beh6_ani4_ins2_cut_3,450,2694,6,beh6,ani4,gopro1,20200323,023342
0224_arm01_gopro1_20200323_023342_beh7_ani6_ins1_cut_1,450,3166,11,beh7,ani6,gopro1,20200323,023342
0231_arm01_gopro1_20200323_023342_beh6_ani6_ins2_cut_15,450,3150,9,beh6,ani6,gopro1,20200323,023342
0231_arm01_gopro1_20200323_023342_beh6_ani6_ins2_cut_24,450,2700,6,beh6,ani6,gopro1,20200323,023342
0233_arm01_gopro1_20200323_023342_beh7_ani8_ins1_cut_1,450,3359,11,beh7,ani8,gopro1,20200323,023342
0233_arm01_gopro1_20200323_023342_beh7_ani8_ins1_cut_3,450,3181,13,beh7,ani8,gopro1,20200323,023342
0235_arm01_gopro1_20200323_023342_beh5_ani8_ins2_cut_2,450,3150,8,beh5,ani8,gopro1,20200323,023342
0235_arm01_gopro1_20200323_023342_beh5_ani8_ins2_cut_4,450,3259,8,beh5,ani8,gopro1,20200323,023342
0235_arm01_gopro1_20200323_023342_beh5_ani8_ins2_cut_6,450,3150,11,beh5,ani8,gopro1,20200323,023342
0235_arm01_gopro1_20200323_023342_beh5_ani8_ins2_cut_8,450,3250,11,beh5,ani8,gopro1,20200323,023342
0238_arm01_gopro1_20200323_023342_beh4_ani8_ins1_cut_11,450,2196,13,beh4,ani8,gopro1,20200323,023342
0238_arm01_gopro1_20200323_023342_beh4_ani8_ins1_cut_16,450,2700,6,beh4,ani8,gopro1,20200323,023342
0238_arm01_gopro1_20200323_023342_beh4_ani8_ins1_cut_19,450,3150,8,beh4,ani8,gopro1,20200323,023342
0239_arm01_gopro1_20200323_034430_beh6_ani1_ins1_cut_16,450,3596,8,beh6,ani1,gopro1,20200323,034430
0241_arm01_gopro1_20200323_034430_beh6_ani2_ins1_cut_2,450,3347,8,beh6,ani2,gopro1,20200323,034430
0251_arm01_gopro1_20200323_034430_beh8_ani4_ins3_cut_1,450,3544,9,beh8,ani4,gopro1,20200323,034430
0251_arm01_gopro1_20200323_034430_beh8_ani4_ins3_cut_2,443,3326,9,beh8,ani4,gopro1,20200323,034430
0253_arm01_gopro1_20200323_034430_beh8_ani4_ins4_cut_1,450,2994,10,beh8,ani4,gopro1,20200323,034430
0253_arm01_gopro1_20200323_034430_beh8_ani4_ins4_cut_2,450,3150,8,beh8,ani4,gopro1,20200323,034430
0254_arm01_gopro1_20200323_034430_beh6_ani4_ins1_cut_17,450,443,1,beh6,ani4,gopro1,20200323,034430
0254_arm01_gopro1_20200323_034430_beh6_ani4_ins1_cut_26,450,3600,8,beh6,ani4,gopro1,20200323,034430
0254_arm01_gopro1_20200323_034430_beh6_ani4_ins1_cut_31,450,3589,8,beh6,ani4,gopro1,20200323,034430
0254_arm01_gopro1_20200323_034430_beh6_ani4_ins1_cut_39,450,3600,8,beh6,ani4,gopro1,20200323,034430
0254_arm01_gopro1_20200323_034430_beh6_ani4_ins1_cut_40,450,3599,8,beh6,ani4,gopro1,20200323,034430
0254_arm01_gopro1_20200323_034430_beh6_ani4_ins1_cut_41,450,3577,8,beh6,ani4,gopro1,20200323,034430
0254_arm01_gopro1_20200323_034430_beh6_ani4_ins1_cut_5,450,2555,7,beh6,ani4,gopro1,20200323,034430
0254_arm01_gopro1_20200323_034430_beh6_ani4_ins1_cut_8,450,3601,9,beh6,ani4,gopro1,20200323,034430
0258_arm01_gopro1_20200323_034430_beh4_ani6_ins1_cut_13,450,3600,8,beh4,ani6,gopro1,20200323,034430
0258_arm01_gopro1_20200323_034430_beh4_ani6_ins1_cut_14,450,3600,8,beh4,ani6,gopro1,20200323,034430
0258_arm01_gopro1_20200323_034430_beh4_ani6_ins1_cut_15,450,2458,11,beh4,ani6,gopro1,20200323,034430
0258_arm01_gopro1_20200323_034430_beh4_ani6_ins1_cut_22,450,3600,8,beh4,ani6,gopro1,20200323,034430
0258_arm01_gopro1_20200323_034430_beh4_ani6_ins1_cut_23,450,2182,11,beh4,ani6,gopro1,20200323,034430
0258_arm01_gopro1_20200323_034430_beh4_ani6_ins1_cut_27,450,3163,10,beh4,ani6,gopro1,20200323,034430
0258_arm01_gopro1_20200323_034430_beh4_ani6_ins1_cut_29,450,3600,8,beh4,ani6,gopro1,20200323,034430
0258_arm01_gopro1_20200323_034430_beh4_ani6_ins1_cut_3,450,3150,8,beh4,ani6,gopro1,20200323,034430
0258_arm01_gopro1_20200323_034430_beh4_ani6_ins1_cut_31,450,3373,9,beh4,ani6,gopro1,20200323,034430
0258_arm01_gopro1_20200323_034430_beh4_ani6_ins1_cut_36,450,3600,8,beh4,ani6,gopro1,20200323,034430
0258_arm01_gopro1_20200323_034430_beh4_ani6_ins1_cut_42,450,3590,8,beh4,ani6,gopro1,20200323,034430
0258_arm01_gopro1_20200323_034430_beh4_ani6_ins1_cut_46,450,3600,8,beh4,ani6,gopro1,20200323,034430
0276_arm01_gopro1_20200323_230735_beh1_ani2_ins1_cut_51,450,2674,6,beh1,ani2,gopro1,20200323,230735
0278_arm01_gopro1_20200323_230735_beh7_ani3_ins1_cut_1,450,3600,10,beh7,ani3,gopro1,20200323,230735
0306_arm01_gopro1_20200323_232517_beh7_ani6_ins1_cut_3,450,2750,15,beh7,ani6,gopro1,20200323,232517
0310_arm01_gopro1_20200323_234259_beh7_ani1_ins1_cut_2,450,2096,7,beh7,ani1,gopro1,20200323,234259
0310_arm01_gopro1_20200323_234259_beh7_ani1_ins1_cut_3,450,899,4,beh7,ani1,gopro1,20200323,234259
0310_arm01_gopro1_20200323_234259_beh7_ani1_ins1_cut_4,450,3554,13,beh7,ani1,gopro1,20200323,234259
0328_arm01_gopro1_20200323_234259_beh1_ani3_ins6_cut_10,450,3600,9,beh1,ani3,gopro1,20200323,234259
0336_arm01_gopro1_20200323_234259_beh7_ani8_ins1_cut_1,450,3141,8,beh7,ani8,gopro1,20200323,234259
0336_arm01_gopro1_20200323_234259_beh7_ani8_ins1_cut_2,450,3150,7,beh7,ani8,gopro1,20200323,234259
0345_arm01_gopro1_20200324_000041_beh1_ani8_ins2_cut_29,450,3150,10,beh1,ani8,gopro1,20200324,000041
0345_arm01_gopro1_20200324_000041_beh1_ani8_ins2_cut_37,450,825,6,beh1,ani8,gopro1,20200324,000041
0353_arm01_gopro1_20200324_001823_beh7_ani3_ins1_cut_1,450,2256,10,beh7,ani3,gopro1,20200324,001823
0358_arm01_gopro1_20200324_001823_beh1_ani5_ins2_cut_14,450,3600,10,beh1,ani5,gopro1,20200324,001823
0360_arm01_gopro1_20200324_003605_beh1_ani2_ins1_cut_3,450,3601,15,beh1,ani2,gopro1,20200324,003605
0362_arm01_gopro1_20200324_003605_beh1_ani2_ins2_cut_15,450,3243,11,beh1,ani2,gopro1,20200324,003605
0373_arm01_gopro1_20200324_003605_beh9_ani3_ins2_cut_1,450,2169,14,beh9,ani3,gopro1,20200324,003605
0379_arm01_gopro1_20200324_003605_beh8_ani3_ins3_cut_1,450,3315,11,beh8,ani3,gopro1,20200324,003605
0382_arm01_gopro1_20200324_003605_beh9_ani3_ins4_cut_1,450,3600,8,beh9,ani3,gopro1,20200324,003605
0382_arm01_gopro1_20200324_003605_beh9_ani3_ins4_cut_2,450,1800,4,beh9,ani3,gopro1,20200324,003605
0397_arm01_gopro1_20200324_005347_beh1_ani1_ins2_cut_12,450,3151,10,beh1,ani1,gopro1,20200324,005347
0400_arm01_gopro1_20200324_005347_beh7_ani2_ins1_cut_3,450,3600,11,beh7,ani2,gopro1,20200324,005347
0405_arm01_gopro1_20200324_005347_beh1_ani6_ins1_cut_42,450,3600,9,beh1,ani6,gopro1,20200324,005347
0408_arm01_gopro1_20200324_011129_beh7_ani1_ins1_cut_2,450,3111,11,beh7,ani1,gopro1,20200324,011129
0408_arm01_gopro1_20200324_011129_beh7_ani1_ins1_cut_3,450,3091,10,beh7,ani1,gopro1,20200324,011129
0421_arm01_gopro1_20200324_011129_beh8_ani3_ins1_cut_1,450,2239,10,beh8,ani3,gopro1,20200324,011129
0423_arm01_gopro1_20200324_011129_beh1_ani3_ins3_cut_4,450,3150,7,beh1,ani3,gopro1,20200324,011129
0430_arm01_gopro1_20200324_011129_beh7_ani4_ins1_cut_1,450,3600,13,beh7,ani4,gopro1,20200324,011129
0438_arm01_gopro1_20200324_011129_beh7_ani6_ins1_cut_1,450,3533,12,beh7,ani6,gopro1,20200324,011129
0440_arm01_gopro1_20200324_014653_beh1_ani2_ins1_cut_16,450,2010,8,beh1,ani2,gopro1,20200324,014653
0445_arm01_gopro1_20200324_014653_beh7_ani5_ins1_cut_1,450,3150,9,beh7,ani5,gopro1,20200324,014653
0471_arm01_gopro1_20200324_020435_beh7_ani1_ins1_cut_2,450,2700,10,beh7,ani1,gopro1,20200324,020435
0482_arm01_gopro1_20200324_020435_beh9_ani5_ins1_cut_1,450,3341,15,beh9,ani5,gopro1,20200324,020435
0494_arm01_gopro1_20200324_025741_beh5_ani3_ins2_cut_1,450,2731,12,beh5,ani3,gopro1,20200324,025741
0494_arm01_gopro1_20200324_025741_beh5_ani3_ins2_cut_4,450,2700,7,beh5,ani3,gopro1,20200324,025741
0519_arm01_gopro1_20200324_025741_beh7_ani4_ins6_cut_1,450,3600,12,beh7,ani4,gopro1,20200324,025741
0523_arm01_gopro1_20200324_025741_beh7_ani4_ins7_cut_1,450,3150,15,beh7,ani4,gopro1,20200324,025741
0524_arm01_gopro1_20200324_025741_beh8_ani4_ins6_cut_1,450,2734,11,beh8,ani4,gopro1,20200324,025741
0524_arm01_gopro1_20200324_025741_beh8_ani4_ins6_cut_2,450,3133,11,beh8,ani4,gopro1,20200324,025741
0525_arm01_gopro1_20200324_025741_beh7_ani8_ins1_cut_1,450,2221,15,beh7,ani8,gopro1,20200324,025741
0525_arm01_gopro1_20200324_025741_beh7_ani8_ins1_cut_2,450,3600,10,beh7,ani8,gopro1,20200324,025741
0530_arm01_gopro1_20200324_221607+0000_beh7_ani3_ins1_cut_1,450,3150,11,beh7,ani3,gopro1,20200324,
0537_arm01_gopro1_20200324_221607+0000_beh1_ani6_ins1_cut_57,450,0,0,beh1,ani6,gopro1,20200324,
0541_arm01_gopro1_20200324_223349+0000_beh7_ani1_ins1_cut_1,450,2700,13,beh7,ani1,gopro1,20200324,
0553_arm01_gopro1_20200324_223349+0000_beh7_ani5_ins1_cut_1,450,2779,9,beh7,ani5,gopro1,20200324,
0561_arm01_gopro1_20200324_223349+0000_beh7_ani8_ins1_cut_1,450,2546,11,beh7,ani8,gopro1,20200324,
0566_arm01_gopro1_20200324_225131_beh7_ani1_ins1_cut_1,450,3425,15,beh7,ani1,gopro1,20200324,225131
0577_arm01_gopro1_20200324_225131_beh7_ani5_ins1_cut_1,450,3543,17,beh7,ani5,gopro1,20200324,225131
0577_arm01_gopro1_20200324_225131_beh7_ani5_ins1_cut_2,450,3600,11,beh7,ani5,gopro1,20200324,225131
0582_arm01_gopro1_20200324_225131_beh8_ani8_ins1_cut_1,450,3306,13,beh8,ani8,gopro1,20200324,225131
0587_arm01_gopro1_20200324_225131_beh8_ani8_ins3_cut_1,450,3243,11,beh8,ani8,gopro1,20200324,225131
0595_arm01_gopro1_20200324_230913_beh1_ani1_ins1_cut_28,450,3600,11,beh1,ani1,gopro1,20200324,230913
0596_arm01_gopro1_20200324_230913_beh1_ani1_ins2_cut_26,450,0,0,beh1,ani1,gopro1,20200324,230913
0604_arm01_gopro1_20200324_230913_beh8_ani8_ins1_cut_1,450,3230,16,beh8,ani8,gopro1,20200324,230913
0604_arm01_gopro1_20200324_230913_beh8_ani8_ins1_cut_2,450,1584,5,beh8,ani8,gopro1,20200324,230913
0604_arm01_gopro1_20200324_230913_beh8_ani8_ins1_cut_3,434,2428,7,beh8,ani8,gopro1,20200324,230913
0611_arm01_gopro1_20200324_232655_beh7_ani1_ins1_cut_1,450,1699,7,beh7,ani1,gopro1,20200324,232655
0613_arm01_gopro1_20200324_232655_beh1_ani2_ins1_cut_44,450,897,11,beh1,ani2,gopro1,20200324,232655
0614_arm01_gopro1_20200324_232655_beh1_ani3_ins1_cut_34,450,0,0,beh1,ani3,gopro1,20200324,232655
0620_arm01_gopro1_20200324_232655_beh7_ani5_ins1_cut_1,450,1954,9,beh7,ani5,gopro1,20200324,232655
0620_arm01_gopro1_20200324_232655_beh7_ani5_ins1_cut_2,450,1876,16,beh7,ani5,gopro1,20200324,232655
0623_arm01_gopro1_20200324_232655_beh1_ani6_ins1_cut_62,450,3403,11,beh1,ani6,gopro1,20200324,232655
0635_arm01_gopro1_20200324_232655_beh7_ani8_ins1_cut_1,450,2415,7,beh7,ani8,gopro1,20200324,232655
0641_arm01_gopro1_20200324_234437_beh7_ani2_ins1_cut_1,450,3600,9,beh7,ani2,gopro1,20200324,234437
0644_arm01_gopro1_20200324_234437_beh6_ani8_ins1_cut_15,450,2462,10,beh6,ani8,gopro1,20200324,234437
0644_arm01_gopro1_20200324_234437_beh6_ani8_ins1_cut_9,450,2378,21,beh6,ani8,gopro1,20200324,234437
0649_arm01_gopro1_20200324_234437_beh5_ani8_ins3_cut_1,450,2260,23,beh5,ani8,gopro1,20200324,234437
0675_arm01_gopro1_20200325_002001_beh5_ani8_ins3_cut_1,450,450,1,beh5,ani8,gopro1,20200325,002001
0680_arm01_gopro1_20200325_002001_beh8_ani8_ins4_cut_2,450,1800,5,beh8,ani8,gopro1,20200325,002001
0680_arm01_gopro1_20200325_002001_beh8_ani8_ins4_cut_3,450,1800,6,beh8,ani8,gopro1,20200325,002001
0694_arm01_gopro1_20200325_003743_beh5_ani2_ins1_cut_1,450,2110,8,beh5,ani2,gopro1,20200325,003743
0706_arm01_gopro1_20200325_024137_beh5_ani4_ins2_cut_1,450,3524,9,beh5,ani4,gopro1,20200325,024137
0719_arm01_gopro1_20200325_024137_beh7_ani8_ins1_cut_3,450,2700,11,beh7,ani8,gopro1,20200325,024137
0728_arm01_gopro1_20200325_025919_beh5_ani1_ins2_cut_10,450,1800,6,beh5,ani1,gopro1,20200325,025919
0728_arm01_gopro1_20200325_025919_beh5_ani1_ins2_cut_4,450,2485,9,beh5,ani1,gopro1,20200325,025919
0733_arm01_gopro1_20200325_025919_beh3_ani4_ins2_cut_12,450,1510,4,beh3,ani4,gopro1,20200325,025919
0733_arm01_gopro1_20200325_025919_beh3_ani4_ins2_cut_14,450,1350,4,beh3,ani4,gopro1,20200325,025919
0733_arm01_gopro1_20200325_025919_beh3_ani4_ins2_cut_17,450,640,4,beh3,ani4,gopro1,20200325,025919
0733_arm01_gopro1_20200325_025919_beh3_ani4_ins2_cut_18,450,486,6,beh3,ani4,gopro1,20200325,025919
0733_arm01_gopro1_20200325_025919_beh3_ani4_ins2_cut_20,450,898,3,beh3,ani4,gopro1,20200325,025919
0733_arm01_gopro1_20200325_025919_beh3_ani4_ins2_cut_23,450,1800,4,beh3,ani4,gopro1,20200325,025919
0733_arm01_gopro1_20200325_025919_beh3_ani4_ins2_cut_27,450,2641,8,beh3,ani4,gopro1,20200325,025919
0733_arm01_gopro1_20200325_025919_beh3_ani4_ins2_cut_31,450,900,4,beh3,ani4,gopro1,20200325,025919
0733_arm01_gopro1_20200325_025919_beh3_ani4_ins2_cut_8,450,1541,6,beh3,ani4,gopro1,20200325,025919
0742_arm01_gopro1_20200325_025919_beh5_ani5_ins5_cut_2,450,650,4,beh5,ani5,gopro1,20200325,025919
0742_arm01_gopro1_20200325_025919_beh5_ani5_ins5_cut_4,450,593,3,beh5,ani5,gopro1,20200325,025919
0742_arm01_gopro1_20200325_025919_beh5_ani5_ins5_cut_8,450,587,12,beh5,ani5,gopro1,20200325,025919
0749_arm01_gopro1_20200325_025919_beh3_ani5_ins3_cut_10,450,468,5,beh3,ani5,gopro1,20200325,025919
0749_arm01_gopro1_20200325_025919_beh3_ani5_ins3_cut_18,450,900,4,beh3,ani5,gopro1,20200325,025919
0749_arm01_gopro1_20200325_025919_beh3_ani5_ins3_cut_4,450,1221,5,beh3,ani5,gopro1,20200325,025919
0749_arm01_gopro1_20200325_025919_beh3_ani5_ins3_cut_6,450,808,5,beh3,ani5,gopro1,20200325,025919
0749_arm01_gopro1_20200325_025919_beh3_ani5_ins3_cut_7,450,900,2,beh3,ani5,gopro1,20200325,025919
0755_arm01_gopro1_20200325_221200_beh2_ani3_ins1_cut_1,450,728,13,beh2,ani3,gopro1,20200325,221200
0758_arm01_gopro1_20200325_221200_beh1_ani4_ins1_cut_46,450,3340,8,beh1,ani4,gopro1,20200325,221200
0759_arm01_gopro1_20200325_221200_beh2_ani5_ins1_cut_4,450,7,2,beh2,ani5,gopro1,20200325,221200
0759_arm01_gopro1_20200325_221200_beh2_ani5_ins1_cut_5,450,0,0,beh2,ani5,gopro1,20200325,221200
0761_arm01_gopro1_20200325_221200_beh2_ani6_ins1_cut_2,450,0,0,beh2,ani6,gopro1,20200325,221200
0761_arm01_gopro1_20200325_221200_beh2_ani6_ins1_cut_6,450,727,12,beh2,ani6,gopro1,20200325,221200
0764_arm01_gopro1_20200325_221200_beh1_ani8_ins1_cut_20,450,2406,17,beh1,ani8,gopro1,20200325,221200
0764_arm01_gopro1_20200325_221200_beh1_ani8_ins1_cut_22,450,3124,13,beh1,ani8,gopro1,20200325,221200
0771_arm01_gopro1_20200325_222942_beh1_ani3_ins1_cut_42,450,3600,10,beh1,ani3,gopro1,20200325,222942
0772_arm01_gopro1_20200325_222942_beh1_ani4_ins1_cut_4,450,1927,6,beh1,ani4,gopro1,20200325,222942
0773_arm01_gopro1_20200325_222942_beh1_ani5_ins1_cut_26,450,3334,8,beh1,ani5,gopro1,20200325,222942
0773_arm01_gopro1_20200325_222942_beh1_ani5_ins1_cut_54,450,3215,10,beh1,ani5,gopro1,20200325,222942
0773_arm01_gopro1_20200325_222942_beh1_ani5_ins1_cut_8,450,2773,9,beh1,ani5,gopro1,20200325,222942
0774_arm01_gopro1_20200325_222942_beh1_ani6_ins1_cut_6,450,2752,8,beh1,ani6,gopro1,20200325,222942
0775_arm01_gopro1_20200325_222942_beh1_ani8_ins1_cut_5,450,2514,19,beh1,ani8,gopro1,20200325,222942
0782_arm01_gopro1_20200325_224724_beh1_ani4_ins1_cut_29,450,3020,21,beh1,ani4,gopro1,20200325,224724
0786_arm01_gopro1_20200325_230506_beh1_ani1_ins1_cut_36,450,2618,17,beh1,ani1,gopro1,20200325,230506
0789_arm01_gopro1_20200325_230506_beh9_ani2_ins1_cut_1,450,2932,8,beh9,ani2,gopro1,20200325,230506
0794_arm01_gopro1_20200325_230506_beh7_ani3_ins1_cut_1,450,2092,12,beh7,ani3,gopro1,20200325,230506
0800_arm01_gopro1_20200325_230506_beh1_ani4_ins1_cut_3,450,2851,8,beh1,ani4,gopro1,20200325,230506
0810_arm01_gopro1_20200325_232248_beh1_ani6_ins2_cut_21,450,3303,11,beh1,ani6,gopro1,20200325,232248
0810_arm01_gopro1_20200325_232248_beh1_ani6_ins2_cut_41,450,3150,7,beh1,ani6,gopro1,20200325,232248
0811_arm01_gopro1_20200325_232248_beh8_ani6_ins2_cut_2,450,2700,8,beh8,ani6,gopro1,20200325,232248
0826_arm01_gopro1_20200325_234030_beh7_ani8_ins1_cut_2,450,3390,19,beh7,ani8,gopro1,20200325,234030
0851_arm01_gopro1_20200325_235812_beh1_ani8_ins3_cut_22,450,2250,8,beh1,ani8,gopro1,20200325,235812
0852_arm01_gopro1_20200325_235812_beh2_ani8_ins3_cut_2,450,3229,10,beh2,ani8,gopro1,20200325,235812
0858_arm01_gopro1_20200326_001554_beh1_ani1_ins2_cut_32,450,2690,9,beh1,ani1,gopro1,20200326,001554
0878_arm01_gopro1_20200326_003336_beh1_ani8_ins2_cut_7,450,2700,6,beh1,ani8,gopro1,20200326,003336
0900_arm01_gopro1_20200326_215620_beh2_ani1_ins1_cut_5,450,313,13,beh2,ani1,gopro1,20200326,215620
0904_arm01_gopro1_20200326_215620_beh2_ani3_ins1_cut_2,450,0,0,beh2,ani3,gopro1,20200326,215620
0905_arm01_gopro1_20200326_215620_beh1_ani3_ins1_cut_5,450,2166,6,beh1,ani3,gopro1,20200326,215620
0907_arm01_gopro1_20200326_215620_beh1_ani4_ins1_cut_5,450,1668,4,beh1,ani4,gopro1,20200326,215620
0908_arm01_gopro1_20200326_215620_beh2_ani5_ins1_cut_4,450,0,0,beh2,ani5,gopro1,20200326,215620
0910_arm01_gopro1_20200326_215620_beh2_ani6_ins1_cut_6,450,0,0,beh2,ani6,gopro1,20200326,215620
0912_arm01_gopro1_20200326_215620_beh2_ani8_ins1_cut_1,450,0,0,beh2,ani8,gopro1,20200326,215620
0912_arm01_gopro1_20200326_215620_beh2_ani8_ins1_cut_3,450,0,0,beh2,ani8,gopro1,20200326,215620
0912_arm01_gopro1_20200326_215620_beh2_ani8_ins1_cut_4,450,0,0,beh2,ani8,gopro1,20200326,215620
0925_arm01_gopro1_20200326_223144_beh1_ani3_ins1_cut_00019,450,2847,7,beh1,ani3,gopro1,20200326,223144
0925_arm01_gopro1_20200326_223144_beh1_ani3_ins1_cut_00028,450,2953,9,beh1,ani3,gopro1,20200326,223144
0925_arm01_gopro1_20200326_223144_beh1_ani3_ins1_cut_00066,450,3040,11,beh1,ani3,gopro1,20200326,223144
0926_arm01_gopro1_20200326_223144_beh1_ani4_ins1_cut_00035,450,3476,9,beh1,ani4,gopro1,20200326,223144
0930_arm01_gopro1_20200326_223144_beh1_ani6_ins1_cut_00050,450,3464,10,beh1,ani6,gopro1,20200326,223144
0936_arm01_gopro1_20200326_224926_beh1_ani1_ins1_cut_00007,450,3131,7,beh1,ani1,gopro1,20200326,224926
0947_arm01_gopro1_20200326_230708_beh1_ani3_ins2_cut_00014,450,3138,7,beh1,ani3,gopro1,20200326,230708
0947_arm01_gopro1_20200326_230708_beh1_ani3_ins2_cut_00026,450,2440,7,beh1,ani3,gopro1,20200326,230708
0954_arm01_gopro1_20200326_230708_beh1_ani6_ins1_cut_00044,450,3069,8,beh1,ani6,gopro1,20200326,230708
0961_arm01_gopro1_20200326_232450_beh1_ani5_ins1_cut_00017,450,2912,7,beh1,ani5,gopro1,20200326,232450
0964_arm01_gopro1_20200326_232450_beh1_ani8_ins2_cut_00019,450,3150,7,beh1,ani8,gopro1,20200326,232450
0968_arm01_gopro1_20200326_234232_beh1_ani2_ins1_cut_00013,450,2481,14,beh1,ani2,gopro1,20200326,234232
0974_arm01_gopro1_20200327_001756_beh1_ani1_ins1_cut_00004,450,3600,9,beh1,ani1,gopro1,20200327,001756
0978_arm01_gopro1_20200327_001756_beh7_ani1_ins2_cut_00001,450,2359,10,beh7,ani1,gopro1,20200327,001756
0988_arm01_gopro1_20200327_001756_beh1_ani6_ins2_cut_00015,450,3600,8,beh1,ani6,gopro1,20200327,001756
0993_arm01_gopro1_20200327_001756_beh7_ani8_ins1_cut_00001,450,2811,8,beh7,ani8,gopro1,20200327,001756
0995_arm01_gopro1_20200327_003538_beh1_ani1_ins1_cut_00001,450,3150,11,beh1,ani1,gopro1,20200327,003538
0996_arm01_gopro1_20200327_003538_beh1_ani2_ins1_cut_00066,450,3256,10,beh1,ani2,gopro1,20200327,003538
1001_arm01_gopro1_20200327_003538_beh1_ani8_ins1_cut_00051,450,3600,8,beh1,ani8,gopro1,20200327,003538
1007_arm01_gopro1_20200327_005320_beh7_ani1_ins3_cut_00001,450,3150,19,beh7,ani1,gopro1,20200327,005320
1011_arm01_gopro1_20200327_005320_beh7_ani2_ins1_cut_00001,450,1650,5,beh7,ani2,gopro1,20200327,005320
1014_arm01_gopro1_20200327_005320_beh7_ani3_ins1_cut_00001,450,2847,10,beh7,ani3,gopro1,20200327,005320
