sample_id,dataset,behavior_canonical,split,pose_returned_frames,detector_success_frames,all_8_frames_pose,mean_keypoint_conf,mask_containment_sanity_rate_all,mask_containment_sanity_rate_conf02,transitions_evaluated,mean_frame_displacement_norm,max_frame_displacement_norm,jumps_gt_025_count,temporal_stability_flag
cvb_1317_arm01_gopro4_20200323_034011_beh6_ani1_ins1_cut_00003_tr1_seg0,cvb,Lying,val,0,0,False,0.0,0.0,0.0,0,0.0,0.0,0,PARTIAL_DETECTION_FAILURE
cvb_0604_arm01_gopro1_20200324_230913_beh8_ani8_ins1_cut_2_tr1_seg0,cvb,Feeding,train,6,6,False,0.5003,0.75,0.75,3,0.2956,0.3763,47,SEVERE_INSTABILITY
cvb_0974_arm01_gopro1_20200327_001756_beh1_ani1_ins1_cut_00004_tr5_seg0,cvb,Feeding,train,2,2,False,0.3624,0.1795,0.184,0,0.0,0.0,0,PARTIAL_DETECTION_FAILURE
cvb_0925_arm01_gopro1_20200326_223144_beh1_ani3_ins1_cut_00028_tr8_seg0,cvb,Feeding,train,0,0,False,0.0,0.0,0.0,0,0.0,0.0,0,PARTIAL_DETECTION_FAILURE
cvb_0233_arm01_gopro1_20200323_023342_beh7_ani8_ins1_cut_1_tr4_seg0,cvb,Feeding,train,0,0,False,0.0,0.0,0.0,0,0.0,0.0,0,PARTIAL_DETECTION_FAILURE
cvb_1227_arm01_gopro3_20200325_020417_beh3_ani8_ins1_cut_00007_tr0_seg0,cvb,Feeding,val,8,8,True,0.457,0.9391,0.9454,7,0.1473,0.2869,35,SEVERE_INSTABILITY
cvb_0680_arm01_gopro1_20200325_002001_beh8_ani8_ins4_cut_3_tr4_seg0,cvb,Feeding,val,4,4,False,0.4042,0.4968,0.5,1,0.3084,0.3084,18,PARTIAL_DETECTION_FAILURE
cvb_1030_arm01_gopro1_20200327_005320_beh7_ani6_ins1_cut_00001_tr8_seg0,cvb,Drinking,train,0,0,False,0.0,0.0,0.0,0,0.0,0.0,0,PARTIAL_DETECTION_FAILURE
cvb_0089_arm01_gopro1_20200323_002948_beh7_ani2_ins1_cut_2_tr0_seg0,cvb,Drinking,train,8,8,True,0.557,0.9552,0.9636,7,0.0919,0.1748,18,SEVERE_INSTABILITY
cvb_0051_arm01_gopro1_20200322_235424_beh8_ani1_ins2_cut_3_tr10_seg0,cvb,Drinking,train,8,8,True,0.4352,0.9584,0.9635,7,0.1026,0.4327,24,SEVERE_INSTABILITY
cvb_0190_arm01_gopro1_20200323_014036_beh7_ani6_ins1_cut_2_tr4_seg0,cvb,Drinking,train,8,8,True,0.4714,0.8718,0.8568,7,0.1131,0.244,16,SEVERE_INSTABILITY
cvb_0680_arm01_gopro1_20200325_002001_beh8_ani8_ins4_cut_2_tr3_seg0,cvb,Drinking,val,8,8,True,0.5447,0.9199,0.9267,7,0.0431,0.0763,2,MODERATE_JUMPS
cvb_0040_arm01_gopro1_20200322_233642_beh7_ani8_ins1_cut_4_tr5_seg0,cvb,Drinking,val,8,8,True,0.4592,0.9006,0.8992,7,0.3111,0.5721,102,SEVERE_INSTABILITY
cvb_0082_arm01_gopro1_20200323_001206_beh7_ani4_ins1_cut_1_tr1_seg0,cvb,Walking,train,2,2,False,0.4427,0.2147,0.222,0,0.0,0.0,0,PARTIAL_DETECTION_FAILURE
cvb_0541_arm01_gopro1_20200324_223349+0000_beh7_ani1_ins1_cut_1_tr12_seg0,cvb,Walking,train,0,0,False,0.0,0.0,0.0,0,0.0,0.0,0,PARTIAL_DETECTION_FAILURE
cvb_1351_arm01_gopro4_20200324_040135_beh3_ani3_ins1_cut_00044_tr1_seg0,cvb,Walking,train,8,8,True,0.6033,0.9584,0.9568,7,0.0759,0.0959,4,MODERATE_JUMPS
cvb_1271_arm01_gopro3_20200326_032013_beh4_ani4_ins1_cut_00005_tr9_seg0,cvb,Walking,train,8,8,True,0.5533,0.968,0.9712,7,0.0771,0.109,8,SEVERE_INSTABILITY
cvb_1284_arm01_gopro3_20200326_033755_beh6_ani4_ins1_cut_00003_tr5_seg0,cvb,Walking,val,1,1,False,0.2733,0.109,0.11,0,0.0,0.0,0,PARTIAL_DETECTION_FAILURE
cvb_0742_arm01_gopro1_20200325_025919_beh5_ani5_ins5_cut_8_tr6_seg0,cvb,Walking,val,8,8,True,0.6176,0.8462,0.8649,7,0.0,0.0,0,STABLE
beef_00000000580000000_10_clip_12,beef_cattle_behavior,Standing,train,8,8,True,0.4338,0.7083,0.7065,7,0.2694,0.5637,90,SEVERE_INSTABILITY
beef_00000000580000000_27_clip_28,beef_cattle_behavior,Standing,train,6,6,False,0.5676,0.5256,0.5263,4,0.0374,0.0514,1,MODERATE_JUMPS
beef_00000000082000000_5_clip_110,beef_cattle_behavior,Standing,train,3,3,False,0.3031,0.0801,0.0813,1,0.3981,0.3981,10,PARTIAL_DETECTION_FAILURE
beef_00000000580000000_10_clip_42,beef_cattle_behavior,Standing,train,7,7,False,0.4023,0.6282,0.6268,5,0.1649,0.3012,24,SEVERE_INSTABILITY
beef_186_2_clip_0,beef_cattle_behavior,Standing,val,8,8,True,0.7311,0.734,0.7323,7,0.0476,0.0992,1,MODERATE_JUMPS
beef_00000000514000000_71_clip_1,beef_cattle_behavior,Standing,val,1,1,False,0.4645,0.093,0.0938,0,0.0,0.0,0,PARTIAL_DETECTION_FAILURE
beef_00000000111000000_1_clip_73,beef_cattle_behavior,Lying,train,0,0,False,0.0,0.0,0.0,0,0.0,0.0,0,PARTIAL_DETECTION_FAILURE
beef_00000000580000000_3_clip_1,beef_cattle_behavior,Lying,train,5,5,False,0.3283,0.4968,0.5122,2,0.2409,0.3204,16,PARTIAL_DETECTION_FAILURE
beef_00000000109000000_4_clip_131,beef_cattle_behavior,Lying,train,0,0,False,0.0,0.0,0.0,0,0.0,0.0,0,PARTIAL_DETECTION_FAILURE
beef_00000000111000000_4_clip_42,beef_cattle_behavior,Lying,train,1,1,False,0.2827,0.0321,0.0357,0,0.0,0.0,0,PARTIAL_DETECTION_FAILURE
beef_00000000514000000_3_clip_40,beef_cattle_behavior,Lying,val,3,3,False,0.4006,0.1859,0.1958,0,0.0,0.0,0,PARTIAL_DETECTION_FAILURE
beef_00000000514000000_3_clip_49,beef_cattle_behavior,Lying,val,4,4,False,0.3079,0.2244,0.2316,1,0.3397,0.3397,10,PARTIAL_DETECTION_FAILURE
beef_195_4_clip_0,beef_cattle_behavior,Feeding,train,8,8,True,0.5676,0.5064,0.5046,7,0.1719,0.3364,60,SEVERE_INSTABILITY
beef_102_4_clip_0,beef_cattle_behavior,Feeding,train,8,8,True,0.2877,0.1186,0.088,7,0.3184,0.6038,70,SEVERE_INSTABILITY
beef_154_6_clip_0,beef_cattle_behavior,Feeding,train,3,3,False,0.2379,0.2596,0.2305,1,0.2668,0.2668,4,PARTIAL_DETECTION_FAILURE
beef_180_1_clip_0,beef_cattle_behavior,Feeding,train,8,8,True,0.6172,0.6506,0.6549,7,0.0989,0.1291,23,SEVERE_INSTABILITY
beef_175_2_clip_0,beef_cattle_behavior,Feeding,val,8,8,True,0.5036,0.6378,0.6514,7,0.1701,0.3655,42,SEVERE_INSTABILITY
beef_186_6_clip_0,beef_cattle_behavior,Feeding,val,1,1,False,0.2538,0.016,0.0179,0,0.0,0.0,0,PARTIAL_DETECTION_FAILURE
beef_49_5_clip_0,beef_cattle_behavior,Drinking,train,4,4,False,0.3901,0.1987,0.1944,1,0.2718,0.2718,18,PARTIAL_DETECTION_FAILURE
beef_29_3_clip_0,beef_cattle_behavior,Drinking,train,6,6,False,0.4397,0.4231,0.4292,5,0.2267,0.4181,57,SEVERE_INSTABILITY
beef_82_4_clip_0,beef_cattle_behavior,Drinking,train,5,5,False,0.4551,0.3333,0.3315,2,0.1421,0.1706,10,PARTIAL_DETECTION_FAILURE
beef_62_6_clip_0,beef_cattle_behavior,Drinking,train,5,5,False,0.4458,0.1346,0.1386,2,0.1852,0.195,13,PARTIAL_DETECTION_FAILURE
beef_3_4_clip_0,beef_cattle_behavior,Drinking,val,5,5,False,0.4877,0.3494,0.3556,1,0.0794,0.0794,1,PARTIAL_DETECTION_FAILURE
beef_12_4_clip_0,beef_cattle_behavior,Drinking,val,8,8,True,0.5258,0.4487,0.4377,7,0.2369,0.4844,66,SEVERE_INSTABILITY
