dataset,behavior_canonical,split,sample_id,t,detector_success,pose_returned,status,infer_ms,mean_conf,median_conf,points_conf_ge_02,points_conf_ge_05,mask_containment_sanity_rate_all,mask_containment_sanity_rate_conf02,mask_inside_count,nose_x,nose_y,nose_conf,nose_in_mask,upper_jaw_x,upper_jaw_y,upper_jaw_conf,upper_jaw_in_mask,lower_jaw_x,lower_jaw_y,lower_jaw_conf,lower_jaw_in_mask,mouth_end_right_x,mouth_end_right_y,mouth_end_right_conf,mouth_end_right_in_mask,mouth_end_left_x,mouth_end_left_y,mouth_end_left_conf,mouth_end_left_in_mask,right_eye_x,right_eye_y,right_eye_conf,right_eye_in_mask,right_earbase_x,right_earbase_y,right_earbase_conf,right_earbase_in_mask,right_earend_x,right_earend_y,right_earend_conf,right_earend_in_mask,right_antler_base_x,right_antler_base_y,right_antler_base_conf,right_antler_base_in_mask,right_antler_end_x,right_antler_end_y,right_antler_end_conf,right_antler_end_in_mask,left_eye_x,left_eye_y,left_eye_conf,left_eye_in_mask,left_earbase_x,left_earbase_y,left_earbase_conf,left_earbase_in_mask,left_earend_x,left_earend_y,left_earend_conf,left_earend_in_mask,left_antler_base_x,left_antler_base_y,left_antler_base_conf,left_antler_base_in_mask,left_antler_end_x,left_antler_end_y,left_antler_end_conf,left_antler_end_in_mask,neck_base_x,neck_base_y,neck_base_conf,neck_base_in_mask,neck_end_x,neck_end_y,neck_end_conf,neck_end_in_mask,throat_base_x,throat_base_y,throat_base_conf,throat_base_in_mask,throat_end_x,throat_end_y,throat_end_conf,throat_end_in_mask,back_base_x,back_base_y,back_base_conf,back_base_in_mask,back_end_x,back_end_y,back_end_conf,back_end_in_mask,back_middle_x,back_middle_y,back_middle_conf,back_middle_in_mask,tail_base_x,tail_base_y,tail_base_conf,tail_base_in_mask,tail_end_x,tail_end_y,tail_end_conf,tail_end_in_mask,front_left_thai_x,front_left_thai_y,front_left_thai_conf,front_left_thai_in_mask,front_left_knee_x,front_left_knee_y,front_left_knee_conf,front_left_knee_in_mask,front_left_paw_x,front_left_paw_y,front_left_paw_conf,front_left_paw_in_mask,front_right_thai_x,front_right_thai_y,front_right_thai_conf,front_right_thai_in_mask,front_right_knee_x,front_right_knee_y,front_right_knee_conf,front_right_knee_in_mask,front_right_paw_x,front_right_paw_y,front_right_paw_conf,front_right_paw_in_mask,back_left_paw_x,back_left_paw_y,back_left_paw_conf,back_left_paw_in_mask,back_left_thai_x,back_left_thai_y,back_left_thai_conf,back_left_thai_in_mask,back_right_thai_x,back_right_thai_y,back_right_thai_conf,back_right_thai_in_mask,back_left_knee_x,back_left_knee_y,back_left_knee_conf,back_left_knee_in_mask,back_right_knee_x,back_right_knee_y,back_right_knee_conf,back_right_knee_in_mask,back_right_paw_x,back_right_paw_y,back_right_paw_conf,back_right_paw_in_mask,belly_bottom_x,belly_bottom_y,belly_bottom_conf,belly_bottom_in_mask,body_middle_right_x,body_middle_right_y,body_middle_right_conf,body_middle_right_in_mask,body_middle_left_x,body_middle_left_y,body_middle_left_conf,body_middle_left_in_mask
cvb,Standing,train,cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00077_tr3_seg0,2,False,False,pose_detector_failure,130.31,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
cvb,Standing,train,cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00077_tr3_seg0,3,False,False,pose_detector_failure,131.09,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
cvb,Standing,train,cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00077_tr3_seg0,4,False,False,pose_detector_failure,132.15,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
cvb,Standing,train,cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00077_tr3_seg0,5,True,True,pose_output_returned,148.97,0.2223,0.2144,20,1,0.9744,0.95,38,83.05,65.12,0.1623,1,83.37,66.95,0.1011,1,86.25,148.88,0.1,1,75.87,65.76,0.1412,1,88.73,133.46,0.2144,1,69.86,48.67,0.3015,1,54.46,29.22,0.0762,1,129.98,42.87,0.08,1,59.43,29.4,0.1181,1,38.17,22.33,0.318,0,82.88,54.04,0.1781,1,40.7,28.06,0.0629,1,150.52,7.87,0.1251,1,86.28,50.6,0.1337,1,204.62,31.39,0.1661,1,100.23,83.69,0.249,1,158.87,8.84,0.1691,1,97.7,92.42,0.1133,1,101.29,95.42,0.1229,1,156.07,10.46,0.235,1,155.66,12.83,0.1552,1,153.82,13.85,0.3474,1,208.99,60.56,0.1719,1,128.76,59.56,0.3546,1,175.13,148.08,0.5535,1,136.27,173.12,0.4344,1,93.02,165.44,0.3294,1,176.67,146.5,0.3259,1,138.2,170.81,0.2458,1,93.53,165.35,0.2181,1,61.23,178.57,0.236,1,203.34,135.55,0.2554,1,173.98,149.06,0.3336,1,206.84,172.93,0.4631,1,175.44,170.33,0.2877,1,96.66,167.14,0.227,1,185.07,149.05,0.2797,1,140.23,107.21,0.1089,1,202.5,79.79,0.1728,1
cvb,Standing,train,cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00077_tr3_seg0,6,False,False,pose_detector_failure,126.14,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
cvb,Standing,train,cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00077_tr3_seg0,7,False,False,pose_detector_failure,131.24,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00009_tr2_seg0,0,True,True,pose_output_returned,145.55,0.3139,0.2939,21,7,0.9487,1.0,37,207.34,72.98,0.5383,1,208.58,76.42,0.4087,1,203.86,84.47,0.4676,1,199.08,77.11,0.3752,1,211.15,77.28,0.3544,1,195.53,43.13,0.3605,1,179.34,27.92,0.1378,1,44.28,32.32,0.0826,1,193.59,34.34,0.1337,1,161.34,6.18,0.1946,1,210.63,43.49,0.5316,1,213.92,24.65,0.192,1,215.19,23.61,0.2096,1,215.06,27.51,0.3625,1,211.22,19.27,0.4399,1,138.12,65.5,0.3234,1,66.37,18.45,0.1514,1,199.46,86.74,0.1406,1,161.49,111.36,0.1721,1,65.52,14.42,0.1587,1,64.8,9.94,0.754,1,67.88,16.15,0.1082,1,63.33,12.25,0.7766,1,58.63,23.72,0.2939,1,105.45,124.27,0.7523,1,96.06,154.97,0.4704,1,105.3,200.48,0.5515,1,143.31,121.56,0.384,1,101.56,158.47,0.4591,1,81.29,191.75,0.739,1,179.16,140.3,0.1517,0,146.39,120.81,0.0544,1,64.72,115.3,0.0897,1,147.66,139.6,0.0479,1,67.01,123.58,0.05,1,56.05,166.92,0.1724,0,120.7,123.29,0.3352,1,123.58,93.29,0.1298,1,124.34,88.1,0.187,1
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00009_tr2_seg0,1,False,False,pose_detector_failure,128.42,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00009_tr2_seg0,2,False,False,pose_detector_failure,131.45,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00009_tr2_seg0,3,False,False,pose_detector_failure,129.55,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00009_tr2_seg0,4,False,False,pose_detector_failure,134.82,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
