burst_group_id,farm_source,n_passages,member_passages,n_images,bcs_classes,primary_bcs,sample_files,merge_reason,assigned_split
GS_burst_0026,GS_Gansu,1,GS_1020,8,{'3.75': 8},3.75,GS_1020_1.jpg;GS_1020_2.jpg;GS_1020_3.jpg,singleton_passage,val
GS_burst_0027,GS_Gansu,1,GS_1021,8,{'3.75': 8},3.75,GS_1021_1.jpg;GS_1021_2.jpg;GS_1021_3.jpg,singleton_passage,train
GS_burst_0028,GS_Gansu,1,GS_1022,8,{'3.25': 8},3.25,GS_1022_1.jpg;GS_1022_2.jpg;GS_1022_3.jpg,singleton_passage,train
GS_burst_0029,GS_Gansu,1,GS_1023,11,{'3.5': 11},3.5,GS_1023_1.jpg;GS_1023_10.jpg;GS_1023_11.jpg,singleton_passage,train
GS_burst_0030,GS_Gansu,1,GS_1024,8,{'3.75': 8},3.75,GS_1024_1.jpg;GS_1024_2.jpg;GS_1024_3.jpg,singleton_passage,train
GS_burst_0031,GS_Gansu,1,GS_1025,9,{'3.5': 9},3.5,GS_1025_1.jpg;GS_1025_2.jpg;GS_1025_3.jpg,singleton_passage,train
GS_burst_0032,GS_Gansu,1,GS_1026,9,{'3.75': 9},3.75,GS_1026_1.jpg;GS_1026_2.jpg;GS_1026_3.jpg,singleton_passage,train
GS_burst_0033,GS_Gansu,1,GS_1027,8,{'3.75': 8},3.75,GS_1027_1.jpg;GS_1027_2.jpg;GS_1027_3.jpg,singleton_passage,train
GS_burst_0034,GS_Gansu,1,GS_1028,8,{'3.25': 8},3.25,GS_1028_1.jpg;GS_1028_2.jpg;GS_1028_3.jpg,singleton_passage,train
GS_burst_0035,GS_Gansu,1,GS_1029,9,{'3.25': 9},3.25,GS_1029_1.jpg;GS_1029_2.jpg;GS_1029_3.jpg,singleton_passage,train
GS_burst_0036,GS_Gansu,1,GS_103,14,{'3.75': 14},3.75,GS_103_1.jpg;GS_103_10.jpg;GS_103_11.jpg,singleton_passage,train
GS_burst_0037,GS_Gansu,1,GS_1030,8,{'4.0': 8},4.0,GS_1030_1.jpg;GS_1030_2.jpg;GS_1030_3.jpg,singleton_passage,train
GS_burst_0038,GS_Gansu,1,GS_1031,8,{'4.0': 8},4.0,GS_1031_1.jpg;GS_1031_2.jpg;GS_1031_3.jpg,singleton_passage,train
GS_burst_0039,GS_Gansu,1,GS_1032,8,{'3.5': 8},3.5,GS_1032_1.jpg;GS_1032_2.jpg;GS_1032_3.jpg,singleton_passage,train
GS_burst_0040,GS_Gansu,1,GS_1033,21,{'3.5': 21},3.5,GS_1033_1.jpg;GS_1033_10.jpg;GS_1033_11.jpg,singleton_passage,train
GS_burst_0041,GS_Gansu,1,GS_1034,20,{'3.75': 20},3.75,GS_1034_1.jpg;GS_1034_10.jpg;GS_1034_11.jpg,singleton_passage,train
GS_burst_0042,GS_Gansu,1,GS_1035,14,{'3.5': 14},3.5,GS_1035_1.jpg;GS_1035_10.jpg;GS_1035_11.jpg,singleton_passage,train
GS_burst_0043,GS_Gansu,1,GS_1036,10,{'4.0': 10},4.0,GS_1036_1.jpg;GS_1036_10.jpg;GS_1036_2.jpg,singleton_passage,train
GS_burst_0044,GS_Gansu,1,GS_1037,7,{'3.5': 7},3.5,GS_1037_1.jpg;GS_1037_2.jpg;GS_1037_3.jpg,singleton_passage,train
GS_burst_0045,GS_Gansu,1,GS_1038,8,{'3.5': 8},3.5,GS_1038_1.jpg;GS_1038_2.jpg;GS_1038_3.jpg,singleton_passage,train
GS_burst_0046,GS_Gansu,1,GS_1039,8,{'3.25': 8},3.25,GS_1039_1.jpg;GS_1039_2.jpg;GS_1039_3.jpg,singleton_passage,train
GS_burst_0047,GS_Gansu,1,GS_104,3,{'3.75': 3},3.75,GS_104_1.jpg;GS_104_2.jpg;GS_104_3.jpg,singleton_passage,train
GS_burst_0048,GS_Gansu,1,GS_1040,8,{'3.5': 8},3.5,GS_1040_1.jpg;GS_1040_2.jpg;GS_1040_3.jpg,singleton_passage,train
GS_burst_0049,GS_Gansu,1,GS_1041,7,{'4.0': 7},4.0,GS_1041_1.jpg;GS_1041_2.jpg;GS_1041_3.jpg,singleton_passage,train
GS_burst_0050,GS_Gansu,1,GS_1042,12,{'4.25': 12},4.25,GS_1042_1.jpg;GS_1042_10.jpg;GS_1042_11.jpg,singleton_passage,val
GS_burst_0051,GS_Gansu,1,GS_1043,12,{'4.0': 12},4.0,GS_1043_1.jpg;GS_1043_10.jpg;GS_1043_11.jpg,singleton_passage,train
GS_burst_0052,GS_Gansu,1,GS_1044,8,{'3.25': 8},3.25,GS_1044_1.jpg;GS_1044_2.jpg;GS_1044_3.jpg,singleton_passage,train
GS_burst_0053,GS_Gansu,1,GS_1045,11,{'3.75': 11},3.75,GS_1045_1.jpg;GS_1045_10.jpg;GS_1045_11.jpg,singleton_passage,train
GS_burst_0054,GS_Gansu,1,GS_1046,8,{'3.5': 8},3.5,GS_1046_1.jpg;GS_1046_2.jpg;GS_1046_3.jpg,singleton_passage,train
GS_burst_0055,GS_Gansu,1,GS_1047,9,{'4.0': 9},4.0,GS_1047_1.jpg;GS_1047_2.jpg;GS_1047_3.jpg,singleton_passage,train
GS_burst_0056,GS_Gansu,1,GS_1048,8,{'4.0': 8},4.0,GS_1048_1.jpg;GS_1048_2.jpg;GS_1048_3.jpg,singleton_passage,test
GS_burst_0057,GS_Gansu,1,GS_1049,10,{'3.5': 10},3.5,GS_1049_1.jpg;GS_1049_10.jpg;GS_1049_2.jpg,singleton_passage,val
GS_burst_0058,GS_Gansu,1,GS_105,5,{'3.25': 5},3.25,GS_105_1.jpg;GS_105_2.jpg;GS_105_3.jpg,singleton_passage,train
GS_burst_0059,GS_Gansu,1,GS_1050,7,{'3.25': 7},3.25,GS_1050_1.jpg;GS_1050_2.jpg;GS_1050_3.jpg,singleton_passage,train
GS_burst_0060,GS_Gansu,1,GS_1051,10,{'3.25': 10},3.25,GS_1051_1.jpg;GS_1051_10.jpg;GS_1051_2.jpg,singleton_passage,test
GS_burst_0061,GS_Gansu,1,GS_1052,8,{'3.25': 8},3.25,GS_1052_1.jpg;GS_1052_2.jpg;GS_1052_3.jpg,singleton_passage,test
GS_burst_0062,GS_Gansu,1,GS_1053,10,{'4.0': 10},4.0,GS_1053_1.jpg;GS_1053_10.jpg;GS_1053_2.jpg,singleton_passage,train
GS_burst_0063,GS_Gansu,1,GS_1054,6,{'3.5': 6},3.5,GS_1054_1.jpg;GS_1054_2.jpg;GS_1054_3.jpg,singleton_passage,val
GS_burst_0064,GS_Gansu,1,GS_1055,8,{'3.5': 8},3.5,GS_1055_1.jpg;GS_1055_2.jpg;GS_1055_3.jpg,singleton_passage,train
GS_burst_0065,GS_Gansu,1,GS_1056,7,{'3.25': 7},3.25,GS_1056_1.jpg;GS_1056_2.jpg;GS_1056_3.jpg,singleton_passage,train
GS_burst_0066,GS_Gansu,1,GS_1057,9,{'3.25': 9},3.25,GS_1057_1.jpg;GS_1057_2.jpg;GS_1057_3.jpg,singleton_passage,test
GS_burst_0067,GS_Gansu,1,GS_1058,8,{'3.5': 8},3.5,GS_1058_1.jpg;GS_1058_2.jpg;GS_1058_3.jpg,singleton_passage,train
GS_burst_0068,GS_Gansu,1,GS_1059,11,{'3.25': 11},3.25,GS_1059_1.jpg;GS_1059_10.jpg;GS_1059_11.jpg,singleton_passage,test
GS_burst_0069,GS_Gansu,1,GS_106,4,{'3.75': 4},3.75,GS_106_1.jpg;GS_106_2.jpg;GS_106_3.jpg,singleton_passage,test
GS_burst_0070,GS_Gansu,1,GS_1060,7,{'3.25': 7},3.25,GS_1060_1.jpg;GS_1060_2.jpg;GS_1060_3.jpg,singleton_passage,train
GS_burst_0071,GS_Gansu,1,GS_1061,8,{'4.0': 8},4.0,GS_1061_1.jpg;GS_1061_2.jpg;GS_1061_3.jpg,singleton_passage,train
GS_burst_0072,GS_Gansu,1,GS_1062,9,{'4.0': 9},4.0,GS_1062_1.jpg;GS_1062_2.jpg;GS_1062_3.jpg,singleton_passage,train
GS_burst_0073,GS_Gansu,1,GS_1063,8,{'4.25': 8},4.25,GS_1063_1.jpg;GS_1063_2.jpg;GS_1063_3.jpg,singleton_passage,train
GS_burst_0074,GS_Gansu,1,GS_1064,1,{'4.25': 1},4.25,GS_1064_1.jpg,singleton_passage,train
GS_burst_0075,GS_Gansu,1,GS_1065,8,{'4.0': 8},4.0,GS_1065_1.jpg;GS_1065_2.jpg;GS_1065_3.jpg,singleton_passage,train
GS_burst_0076,GS_Gansu,1,GS_1066,8,{'3.5': 8},3.5,GS_1066_1.jpg;GS_1066_2.jpg;GS_1066_3.jpg,singleton_passage,train
GS_burst_0077,GS_Gansu,1,GS_1067,9,{'3.25': 9},3.25,GS_1067_1.jpg;GS_1067_2.jpg;GS_1067_3.jpg,singleton_passage,train
GS_burst_0078,GS_Gansu,1,GS_1068,12,{'3.5': 12},3.5,GS_1068_1.jpg;GS_1068_10.jpg;GS_1068_11.jpg,singleton_passage,train
GS_burst_0079,GS_Gansu,1,GS_1069,8,{'3.75': 8},3.75,GS_1069_1.jpg;GS_1069_2.jpg;GS_1069_3.jpg,singleton_passage,test
GS_burst_0080,GS_Gansu,1,GS_107,4,{'3.75': 4},3.75,GS_107_1.jpg;GS_107_2.jpg;GS_107_3.jpg,singleton_passage,train
GS_burst_0081,GS_Gansu,1,GS_1070,8,{'3.5': 8},3.5,GS_1070_1.jpg;GS_1070_2.jpg;GS_1070_3.jpg,singleton_passage,test
GS_burst_0082,GS_Gansu,1,GS_1071,13,{'4.0': 13},4.0,GS_1071_1.jpg;GS_1071_10.jpg;GS_1071_11.jpg,singleton_passage,train
GS_burst_0083,GS_Gansu,1,GS_1072,10,{'3.75': 10},3.75,GS_1072_1.jpg;GS_1072_10.jpg;GS_1072_2.jpg,singleton_passage,train
GS_burst_0084,GS_Gansu,1,GS_1073,8,{'3.75': 8},3.75,GS_1073_1.jpg;GS_1073_2.jpg;GS_1073_3.jpg,singleton_passage,train
GS_burst_0085,GS_Gansu,1,GS_1074,9,{'3.75': 9},3.75,GS_1074_1.jpg;GS_1074_2.jpg;GS_1074_3.jpg,singleton_passage,train
GS_burst_0086,GS_Gansu,1,GS_1075,7,{'3.5': 7},3.5,GS_1075_1.jpg;GS_1075_2.jpg;GS_1075_3.jpg,singleton_passage,train
GS_burst_0087,GS_Gansu,1,GS_1076,9,{'3.75': 9},3.75,GS_1076_1.jpg;GS_1076_2.jpg;GS_1076_3.jpg,singleton_passage,test
GS_burst_0088,GS_Gansu,1,GS_1077,9,{'3.75': 9},3.75,GS_1077_1.jpg;GS_1077_2.jpg;GS_1077_3.jpg,singleton_passage,train
GS_burst_0089,GS_Gansu,1,GS_1078,11,{'4.0': 11},4.0,GS_1078_1.jpg;GS_1078_10.jpg;GS_1078_11.jpg,singleton_passage,train
GS_burst_0090,GS_Gansu,1,GS_1079,8,{'4.25': 8},4.25,GS_1079_1.jpg;GS_1079_2.jpg;GS_1079_3.jpg,singleton_passage,train
GS_burst_0091,GS_Gansu,1,GS_108,12,{'3.75': 12},3.75,GS_108_1.jpg;GS_108_10.jpg;GS_108_11.jpg,singleton_passage,train
GS_burst_0092,GS_Gansu,1,GS_1080,10,{'3.25': 10},3.25,GS_1080_1.jpg;GS_1080_10.jpg;GS_1080_2.jpg,singleton_passage,train
GS_burst_0093,GS_Gansu,1,GS_1081,6,{'4.0': 6},4.0,GS_1081_1.jpg;GS_1081_2.jpg;GS_1081_3.jpg,singleton_passage,train
GS_burst_0094,GS_Gansu,1,GS_1082,8,{'3.75': 8},3.75,GS_1082_1.jpg;GS_1082_2.jpg;GS_1082_3.jpg,singleton_passage,train
GS_burst_0095,GS_Gansu,1,GS_1083,11,{'3.75': 11},3.75,GS_1083_1.jpg;GS_1083_10.jpg;GS_1083_11.jpg,singleton_passage,test
GS_burst_0096,GS_Gansu,1,GS_1084,11,{'3.75': 11},3.75,GS_1084_1.jpg;GS_1084_10.jpg;GS_1084_11.jpg,singleton_passage,test
GS_burst_0097,GS_Gansu,1,GS_1085,5,{'3.5': 5},3.5,GS_1085_1.jpg;GS_1085_2.jpg;GS_1085_3.jpg,singleton_passage,val
GS_burst_0098,GS_Gansu,1,GS_1086,4,{'3.25': 4},3.25,GS_1086_1.jpg;GS_1086_2.jpg;GS_1086_3.jpg,singleton_passage,train
GS_burst_0099,GS_Gansu,1,GS_1087,8,{'3.25': 8},3.25,GS_1087_1.jpg;GS_1087_2.jpg;GS_1087_3.jpg,singleton_passage,train
GS_burst_0100,GS_Gansu,1,GS_1088,8,{'3.5': 8},3.5,GS_1088_1.jpg;GS_1088_2.jpg;GS_1088_3.jpg,singleton_passage,train
GS_burst_0101,GS_Gansu,1,GS_1089,8,{'3.5': 8},3.5,GS_1089_1.jpg;GS_1089_2.jpg;GS_1089_3.jpg,singleton_passage,val
GS_burst_0102,GS_Gansu,1,GS_109,8,{'4.0': 8},4.0,GS_109_1.jpg;GS_109_2.jpg;GS_109_3.jpg,singleton_passage,train
GS_burst_0103,GS_Gansu,1,GS_1090,8,{'3.75': 8},3.75,GS_1090_1.jpg;GS_1090_2.jpg;GS_1090_3.jpg,singleton_passage,train
GS_burst_0104,GS_Gansu,1,GS_1091,8,{'4.25': 8},4.25,GS_1091_1.jpg;GS_1091_2.jpg;GS_1091_3.jpg,singleton_passage,val
GS_burst_0105,GS_Gansu,1,GS_1092,10,{'4.0': 10},4.0,GS_1092_1.jpg;GS_1092_10.jpg;GS_1092_2.jpg,singleton_passage,val
GS_burst_0106,GS_Gansu,1,GS_1093,8,{'4.0': 8},4.0,GS_1093_1.jpg;GS_1093_2.jpg;GS_1093_3.jpg,singleton_passage,train
GS_burst_0107,GS_Gansu,1,GS_1094,8,{'3.5': 8},3.5,GS_1094_1.jpg;GS_1094_2.jpg;GS_1094_3.jpg,singleton_passage,train
GS_burst_0108,GS_Gansu,1,GS_1095,8,{'4.0': 8},4.0,GS_1095_1.jpg;GS_1095_2.jpg;GS_1095_3.jpg,singleton_passage,val
GS_burst_0109,GS_Gansu,1,GS_1096,12,{'3.75': 12},3.75,GS_1096_1.jpg;GS_1096_10.jpg;GS_1096_11.jpg,singleton_passage,train
GS_burst_0110,GS_Gansu,1,GS_1097,8,{'3.25': 8},3.25,GS_1097_1.jpg;GS_1097_2.jpg;GS_1097_3.jpg,singleton_passage,test
GS_burst_0111,GS_Gansu,1,GS_1098,12,{'3.5': 12},3.5,GS_1098_1.jpg;GS_1098_10.jpg;GS_1098_11.jpg,singleton_passage,val
GS_burst_0112,GS_Gansu,1,GS_1099,8,{'3.75': 8},3.75,GS_1099_1.jpg;GS_1099_2.jpg;GS_1099_3.jpg,singleton_passage,val
GS_burst_0113,GS_Gansu,1,GS_11,6,{'4.0': 6},4.0,GS_11_1.jpg;GS_11_2.jpg;GS_11_3.jpg,singleton_passage,train
GS_burst_0114,GS_Gansu,1,GS_110,11,{'4.25': 11},4.25,GS_110_1.jpg;GS_110_10.jpg;GS_110_11.jpg,singleton_passage,train
GS_burst_0115,GS_Gansu,1,GS_1100,8,{'3.5': 8},3.5,GS_1100_1.jpg;GS_1100_2.jpg;GS_1100_3.jpg,singleton_passage,train
GS_burst_0116,GS_Gansu,1,GS_1101,8,{'3.5': 8},3.5,GS_1101_1.jpg;GS_1101_2.jpg;GS_1101_3.jpg,singleton_passage,train
GS_burst_0117,GS_Gansu,1,GS_1102,8,{'3.75': 8},3.75,GS_1102_1.jpg;GS_1102_2.jpg;GS_1102_3.jpg,singleton_passage,train
GS_burst_0118,GS_Gansu,1,GS_1103,8,{'4.0': 8},4.0,GS_1103_1.jpg;GS_1103_2.jpg;GS_1103_3.jpg,singleton_passage,train
GS_burst_0119,GS_Gansu,1,GS_1104,8,{'3.5': 8},3.5,GS_1104_1.jpg;GS_1104_2.jpg;GS_1104_3.jpg,singleton_passage,train
GS_burst_0120,GS_Gansu,1,GS_1105,8,{'3.5': 8},3.5,GS_1105_1.jpg;GS_1105_2.jpg;GS_1105_3.jpg,singleton_passage,train
GS_burst_0121,GS_Gansu,1,GS_1106,8,{'3.25': 8},3.25,GS_1106_1.jpg;GS_1106_2.jpg;GS_1106_3.jpg,singleton_passage,val
GS_burst_0122,GS_Gansu,1,GS_1107,12,{'3.25': 12},3.25,GS_1107_1.jpg;GS_1107_10.jpg;GS_1107_11.jpg,singleton_passage,val
GS_burst_0123,GS_Gansu,1,GS_1108,6,{'3.5': 6},3.5,GS_1108_1.jpg;GS_1108_2.jpg;GS_1108_3.jpg,singleton_passage,train
GS_burst_0124,GS_Gansu,1,GS_1109,8,{'3.75': 8},3.75,GS_1109_1.jpg;GS_1109_2.jpg;GS_1109_3.jpg,singleton_passage,val
GS_burst_0125,GS_Gansu,1,GS_111,8,{'4.0': 8},4.0,GS_111_1.jpg;GS_111_2.jpg;GS_111_3.jpg,singleton_passage,train
GS_burst_0126,GS_Gansu,1,GS_1110,8,{'3.25': 8},3.25,GS_1110_1.jpg;GS_1110_2.jpg;GS_1110_3.jpg,singleton_passage,train
GS_burst_0127,GS_Gansu,1,GS_1111,8,{'4.0': 8},4.0,GS_1111_1.jpg;GS_1111_2.jpg;GS_1111_3.jpg,singleton_passage,test
GS_burst_0128,GS_Gansu,1,GS_1112,8,{'3.25': 8},3.25,GS_1112_1.jpg;GS_1112_2.jpg;GS_1112_3.jpg,singleton_passage,train
GS_burst_0129,GS_Gansu,1,GS_1113,8,{'3.5': 8},3.5,GS_1113_1.jpg;GS_1113_2.jpg;GS_1113_3.jpg,singleton_passage,train
GS_burst_0130,GS_Gansu,1,GS_1114,8,{'3.5': 8},3.5,GS_1114_1.jpg;GS_1114_2.jpg;GS_1114_3.jpg,singleton_passage,train
GS_burst_0131,GS_Gansu,1,GS_1115,10,{'4.0': 10},4.0,GS_1115_1.jpg;GS_1115_10.jpg;GS_1115_2.jpg,singleton_passage,train
GS_burst_0132,GS_Gansu,1,GS_1116,8,{'3.5': 8},3.5,GS_1116_1.jpg;GS_1116_2.jpg;GS_1116_3.jpg,singleton_passage,test
GS_burst_0133,GS_Gansu,1,GS_1117,8,{'3.5': 8},3.5,GS_1117_1.jpg;GS_1117_2.jpg;GS_1117_3.jpg,singleton_passage,train
GS_burst_0134,GS_Gansu,1,GS_1118,8,{'3.5': 8},3.5,GS_1118_1.jpg;GS_1118_2.jpg;GS_1118_3.jpg,singleton_passage,val
GS_burst_0135,GS_Gansu,1,GS_1119,8,{'4.25': 8},4.25,GS_1119_1.jpg;GS_1119_2.jpg;GS_1119_3.jpg,singleton_passage,test
GS_burst_0136,GS_Gansu,1,GS_112,10,{'3.75': 10},3.75,GS_112_1.jpg;GS_112_10.jpg;GS_112_2.jpg,singleton_passage,train
GS_burst_0137,GS_Gansu,1,GS_1120,8,{'3.25': 8},3.25,GS_1120_1.jpg;GS_1120_2.jpg;GS_1120_3.jpg,singleton_passage,train
GS_burst_0138,GS_Gansu,1,GS_1121,8,{'3.25': 8},3.25,GS_1121_1.jpg;GS_1121_2.jpg;GS_1121_3.jpg,singleton_passage,val
GS_burst_0139,GS_Gansu,1,GS_1122,5,{'3.25': 5},3.25,GS_1122_1.jpg;GS_1122_2.jpg;GS_1122_3.jpg,singleton_passage,train
GS_burst_0140,GS_Gansu,1,GS_1123,9,{'3.5': 9},3.5,GS_1123_1.jpg;GS_1123_2.jpg;GS_1123_3.jpg,singleton_passage,train
GS_burst_0141,GS_Gansu,1,GS_1124,8,{'4.0': 8},4.0,GS_1124_1.jpg;GS_1124_2.jpg;GS_1124_3.jpg,singleton_passage,train
GS_burst_0142,GS_Gansu,1,GS_1125,8,{'3.25': 8},3.25,GS_1125_1.jpg;GS_1125_2.jpg;GS_1125_3.jpg,singleton_passage,train
GS_burst_0143,GS_Gansu,1,GS_1126,7,{'3.25': 7},3.25,GS_1126_1.jpg;GS_1126_2.jpg;GS_1126_3.jpg,singleton_passage,train
GS_burst_0144,GS_Gansu,1,GS_1127,8,{'3.5': 8},3.5,GS_1127_1.jpg;GS_1127_2.jpg;GS_1127_3.jpg,singleton_passage,train
GS_burst_0145,GS_Gansu,1,GS_1128,8,{'3.5': 8},3.5,GS_1128_1.jpg;GS_1128_2.jpg;GS_1128_3.jpg,singleton_passage,train
GS_burst_0146,GS_Gansu,1,GS_1129,8,{'3.5': 8},3.5,GS_1129_1.jpg;GS_1129_2.jpg;GS_1129_3.jpg,singleton_passage,test
GS_burst_0147,GS_Gansu,1,GS_113,8,{'3.75': 8},3.75,GS_113_1.jpg;GS_113_2.jpg;GS_113_3.jpg,singleton_passage,test
GS_burst_0148,GS_Gansu,1,GS_1130,8,{'3.5': 8},3.5,GS_1130_1.jpg;GS_1130_2.jpg;GS_1130_3.jpg,singleton_passage,train
GS_burst_0149,GS_Gansu,1,GS_1131,8,{'3.5': 8},3.5,GS_1131_1.jpg;GS_1131_2.jpg;GS_1131_3.jpg,singleton_passage,test
GS_burst_0150,GS_Gansu,1,GS_1132,6,{'3.5': 6},3.5,GS_1132_1.jpg;GS_1132_2.jpg;GS_1132_3.jpg,singleton_passage,train
GS_burst_0151,GS_Gansu,1,GS_1133,8,{'3.5': 8},3.5,GS_1133_1.jpg;GS_1133_2.jpg;GS_1133_3.jpg,singleton_passage,train
GS_burst_0152,GS_Gansu,1,GS_1134,11,{'3.25': 11},3.25,GS_1134_1.jpg;GS_1134_10.jpg;GS_1134_11.jpg,singleton_passage,train
GS_burst_0153,GS_Gansu,1,GS_1135,8,{'3.75': 8},3.75,GS_1135_1.jpg;GS_1135_2.jpg;GS_1135_3.jpg,singleton_passage,train
GS_burst_0154,GS_Gansu,1,GS_1136,8,{'3.5': 8},3.5,GS_1136_1.jpg;GS_1136_2.jpg;GS_1136_3.jpg,singleton_passage,train
GS_burst_0155,GS_Gansu,1,GS_1137,7,{'3.25': 7},3.25,GS_1137_1.jpg;GS_1137_2.jpg;GS_1137_3.jpg,singleton_passage,val
GS_burst_0156,GS_Gansu,1,GS_1138,7,{'3.75': 7},3.75,GS_1138_1.jpg;GS_1138_2.jpg;GS_1138_3.jpg,singleton_passage,train
GS_burst_0157,GS_Gansu,1,GS_1139,8,{'3.25': 8},3.25,GS_1139_1.jpg;GS_1139_2.jpg;GS_1139_3.jpg,singleton_passage,train
GS_burst_0158,GS_Gansu,1,GS_114,8,{'3.75': 8},3.75,GS_114_1.jpg;GS_114_2.jpg;GS_114_3.jpg,singleton_passage,train
GS_burst_0159,GS_Gansu,1,GS_1140,8,{'3.25': 8},3.25,GS_1140_1.jpg;GS_1140_2.jpg;GS_1140_3.jpg,singleton_passage,test
GS_burst_0160,GS_Gansu,1,GS_1141,6,{'3.25': 6},3.25,GS_1141_1.jpg;GS_1141_2.jpg;GS_1141_3.jpg,singleton_passage,val
GS_burst_0161,GS_Gansu,1,GS_1142,8,{'3.25': 8},3.25,GS_1142_1.jpg;GS_1142_2.jpg;GS_1142_3.jpg,singleton_passage,train
GS_burst_0162,GS_Gansu,1,GS_1143,7,{'3.5': 7},3.5,GS_1143_1.jpg;GS_1143_2.jpg;GS_1143_3.jpg,singleton_passage,test
GS_burst_0163,GS_Gansu,1,GS_1144,4,{'3.25': 4},3.25,GS_1144_1.jpg;GS_1144_2.jpg;GS_1144_3.jpg,singleton_passage,train
GS_burst_0164,GS_Gansu,1,GS_1145,8,{'3.25': 8},3.25,GS_1145_1.jpg;GS_1145_2.jpg;GS_1145_3.jpg,singleton_passage,train
