passage_id,farm_source,n_images,bcs_classes,primary_bcs,sample_files,assigned_split
GS_1038,GS_Gansu,8,{'3.5': 8},3.5,GS_1038_1.jpg;GS_1038_2.jpg;GS_1038_3.jpg,train
GS_1039,GS_Gansu,8,{'3.25': 8},3.25,GS_1039_1.jpg;GS_1039_2.jpg;GS_1039_3.jpg,train
GS_104,GS_Gansu,3,{'3.75': 3},3.75,GS_104_1.jpg;GS_104_2.jpg;GS_104_3.jpg,train
GS_1040,GS_Gansu,8,{'3.5': 8},3.5,GS_1040_1.jpg;GS_1040_2.jpg;GS_1040_3.jpg,train
GS_1041,GS_Gansu,7,{'4.0': 7},4.0,GS_1041_1.jpg;GS_1041_2.jpg;GS_1041_3.jpg,train
GS_1042,GS_Gansu,12,{'4.25': 12},4.25,GS_1042_1.jpg;GS_1042_10.jpg;GS_1042_11.jpg,val
GS_1043,GS_Gansu,12,{'4.0': 12},4.0,GS_1043_1.jpg;GS_1043_10.jpg;GS_1043_11.jpg,train
GS_1044,GS_Gansu,8,{'3.25': 8},3.25,GS_1044_1.jpg;GS_1044_2.jpg;GS_1044_3.jpg,train
GS_1045,GS_Gansu,11,{'3.75': 11},3.75,GS_1045_1.jpg;GS_1045_10.jpg;GS_1045_11.jpg,train
GS_1046,GS_Gansu,8,{'3.5': 8},3.5,GS_1046_1.jpg;GS_1046_2.jpg;GS_1046_3.jpg,train
GS_1047,GS_Gansu,9,{'4.0': 9},4.0,GS_1047_1.jpg;GS_1047_2.jpg;GS_1047_3.jpg,train
GS_1048,GS_Gansu,8,{'4.0': 8},4.0,GS_1048_1.jpg;GS_1048_2.jpg;GS_1048_3.jpg,test
GS_1049,GS_Gansu,10,{'3.5': 10},3.5,GS_1049_1.jpg;GS_1049_10.jpg;GS_1049_2.jpg,val
GS_105,GS_Gansu,5,{'3.25': 5},3.25,GS_105_1.jpg;GS_105_2.jpg;GS_105_3.jpg,train
GS_1050,GS_Gansu,7,{'3.25': 7},3.25,GS_1050_1.jpg;GS_1050_2.jpg;GS_1050_3.jpg,train
GS_1051,GS_Gansu,10,{'3.25': 10},3.25,GS_1051_1.jpg;GS_1051_10.jpg;GS_1051_2.jpg,train
GS_1052,GS_Gansu,8,{'3.25': 8},3.25,GS_1052_1.jpg;GS_1052_2.jpg;GS_1052_3.jpg,test
GS_1053,GS_Gansu,10,{'4.0': 10},4.0,GS_1053_1.jpg;GS_1053_10.jpg;GS_1053_2.jpg,train
GS_1054,GS_Gansu,6,{'3.5': 6},3.5,GS_1054_1.jpg;GS_1054_2.jpg;GS_1054_3.jpg,val
GS_1055,GS_Gansu,8,{'3.5': 8},3.5,GS_1055_1.jpg;GS_1055_2.jpg;GS_1055_3.jpg,train
GS_1056,GS_Gansu,7,{'3.25': 7},3.25,GS_1056_1.jpg;GS_1056_2.jpg;GS_1056_3.jpg,train
GS_1057,GS_Gansu,9,{'3.25': 9},3.25,GS_1057_1.jpg;GS_1057_2.jpg;GS_1057_3.jpg,test
GS_1058,GS_Gansu,8,{'3.5': 8},3.5,GS_1058_1.jpg;GS_1058_2.jpg;GS_1058_3.jpg,train
GS_1059,GS_Gansu,11,{'3.25': 11},3.25,GS_1059_1.jpg;GS_1059_10.jpg;GS_1059_11.jpg,test
GS_106,GS_Gansu,4,{'3.75': 4},3.75,GS_106_1.jpg;GS_106_2.jpg;GS_106_3.jpg,test
GS_1060,GS_Gansu,7,{'3.25': 7},3.25,GS_1060_1.jpg;GS_1060_2.jpg;GS_1060_3.jpg,train
GS_1061,GS_Gansu,8,{'4.0': 8},4.0,GS_1061_1.jpg;GS_1061_2.jpg;GS_1061_3.jpg,train
GS_1062,GS_Gansu,9,{'4.0': 9},4.0,GS_1062_1.jpg;GS_1062_2.jpg;GS_1062_3.jpg,train
GS_1063,GS_Gansu,8,{'4.25': 8},4.25,GS_1063_1.jpg;GS_1063_2.jpg;GS_1063_3.jpg,train
GS_1064,GS_Gansu,1,{'4.25': 1},4.25,GS_1064_1.jpg,train
GS_1065,GS_Gansu,8,{'4.0': 8},4.0,GS_1065_1.jpg;GS_1065_2.jpg;GS_1065_3.jpg,train
GS_1066,GS_Gansu,8,{'3.5': 8},3.5,GS_1066_1.jpg;GS_1066_2.jpg;GS_1066_3.jpg,train
GS_1067,GS_Gansu,9,{'3.25': 9},3.25,GS_1067_1.jpg;GS_1067_2.jpg;GS_1067_3.jpg,train
GS_1068,GS_Gansu,12,{'3.5': 12},3.5,GS_1068_1.jpg;GS_1068_10.jpg;GS_1068_11.jpg,train
GS_1069,GS_Gansu,8,{'3.75': 8},3.75,GS_1069_1.jpg;GS_1069_2.jpg;GS_1069_3.jpg,test
GS_107,GS_Gansu,4,{'3.75': 4},3.75,GS_107_1.jpg;GS_107_2.jpg;GS_107_3.jpg,train
GS_1070,GS_Gansu,8,{'3.5': 8},3.5,GS_1070_1.jpg;GS_1070_2.jpg;GS_1070_3.jpg,test
GS_1071,GS_Gansu,13,{'4.0': 13},4.0,GS_1071_1.jpg;GS_1071_10.jpg;GS_1071_11.jpg,train
GS_1072,GS_Gansu,10,{'3.75': 10},3.75,GS_1072_1.jpg;GS_1072_10.jpg;GS_1072_2.jpg,train
GS_1073,GS_Gansu,8,{'3.75': 8},3.75,GS_1073_1.jpg;GS_1073_2.jpg;GS_1073_3.jpg,train
GS_1074,GS_Gansu,9,{'3.75': 9},3.75,GS_1074_1.jpg;GS_1074_2.jpg;GS_1074_3.jpg,train
GS_1075,GS_Gansu,7,{'3.5': 7},3.5,GS_1075_1.jpg;GS_1075_2.jpg;GS_1075_3.jpg,train
GS_1076,GS_Gansu,9,{'3.75': 9},3.75,GS_1076_1.jpg;GS_1076_2.jpg;GS_1076_3.jpg,test
GS_1077,GS_Gansu,9,{'3.75': 9},3.75,GS_1077_1.jpg;GS_1077_2.jpg;GS_1077_3.jpg,train
GS_1078,GS_Gansu,11,{'4.0': 11},4.0,GS_1078_1.jpg;GS_1078_10.jpg;GS_1078_11.jpg,train
GS_1079,GS_Gansu,8,{'4.25': 8},4.25,GS_1079_1.jpg;GS_1079_2.jpg;GS_1079_3.jpg,train
GS_108,GS_Gansu,12,{'3.75': 12},3.75,GS_108_1.jpg;GS_108_10.jpg;GS_108_11.jpg,train
GS_1080,GS_Gansu,10,{'3.25': 10},3.25,GS_1080_1.jpg;GS_1080_10.jpg;GS_1080_2.jpg,train
GS_1081,GS_Gansu,6,{'4.0': 6},4.0,GS_1081_1.jpg;GS_1081_2.jpg;GS_1081_3.jpg,train
GS_1082,GS_Gansu,8,{'3.75': 8},3.75,GS_1082_1.jpg;GS_1082_2.jpg;GS_1082_3.jpg,train
GS_1083,GS_Gansu,11,{'3.75': 11},3.75,GS_1083_1.jpg;GS_1083_10.jpg;GS_1083_11.jpg,test
GS_1084,GS_Gansu,11,{'3.75': 11},3.75,GS_1084_1.jpg;GS_1084_10.jpg;GS_1084_11.jpg,test
GS_1085,GS_Gansu,5,{'3.5': 5},3.5,GS_1085_1.jpg;GS_1085_2.jpg;GS_1085_3.jpg,val
GS_1086,GS_Gansu,4,{'3.25': 4},3.25,GS_1086_1.jpg;GS_1086_2.jpg;GS_1086_3.jpg,train
GS_1087,GS_Gansu,8,{'3.25': 8},3.25,GS_1087_1.jpg;GS_1087_2.jpg;GS_1087_3.jpg,train
GS_1088,GS_Gansu,8,{'3.5': 8},3.5,GS_1088_1.jpg;GS_1088_2.jpg;GS_1088_3.jpg,train
GS_1089,GS_Gansu,8,{'3.5': 8},3.5,GS_1089_1.jpg;GS_1089_2.jpg;GS_1089_3.jpg,val
GS_109,GS_Gansu,8,{'4.0': 8},4.0,GS_109_1.jpg;GS_109_2.jpg;GS_109_3.jpg,train
GS_1090,GS_Gansu,8,{'3.75': 8},3.75,GS_1090_1.jpg;GS_1090_2.jpg;GS_1090_3.jpg,train
GS_1091,GS_Gansu,8,{'4.25': 8},4.25,GS_1091_1.jpg;GS_1091_2.jpg;GS_1091_3.jpg,val
GS_1092,GS_Gansu,10,{'4.0': 10},4.0,GS_1092_1.jpg;GS_1092_10.jpg;GS_1092_2.jpg,val
GS_1093,GS_Gansu,8,{'4.0': 8},4.0,GS_1093_1.jpg;GS_1093_2.jpg;GS_1093_3.jpg,train
GS_1094,GS_Gansu,8,{'3.5': 8},3.5,GS_1094_1.jpg;GS_1094_2.jpg;GS_1094_3.jpg,train
GS_1095,GS_Gansu,8,{'4.0': 8},4.0,GS_1095_1.jpg;GS_1095_2.jpg;GS_1095_3.jpg,val
GS_1096,GS_Gansu,12,{'3.75': 12},3.75,GS_1096_1.jpg;GS_1096_10.jpg;GS_1096_11.jpg,train
GS_1097,GS_Gansu,8,{'3.25': 8},3.25,GS_1097_1.jpg;GS_1097_2.jpg;GS_1097_3.jpg,test
GS_1098,GS_Gansu,12,{'3.5': 12},3.5,GS_1098_1.jpg;GS_1098_10.jpg;GS_1098_11.jpg,val
GS_1099,GS_Gansu,8,{'3.75': 8},3.75,GS_1099_1.jpg;GS_1099_2.jpg;GS_1099_3.jpg,val
GS_11,GS_Gansu,6,{'4.0': 6},4.0,GS_11_1.jpg;GS_11_2.jpg;GS_11_3.jpg,train
GS_110,GS_Gansu,11,{'4.25': 11},4.25,GS_110_1.jpg;GS_110_10.jpg;GS_110_11.jpg,train
GS_1100,GS_Gansu,8,{'3.5': 8},3.5,GS_1100_1.jpg;GS_1100_2.jpg;GS_1100_3.jpg,train
GS_1101,GS_Gansu,8,{'3.5': 8},3.5,GS_1101_1.jpg;GS_1101_2.jpg;GS_1101_3.jpg,train
GS_1102,GS_Gansu,8,{'3.75': 8},3.75,GS_1102_1.jpg;GS_1102_2.jpg;GS_1102_3.jpg,train
GS_1103,GS_Gansu,8,{'4.0': 8},4.0,GS_1103_1.jpg;GS_1103_2.jpg;GS_1103_3.jpg,train
GS_1104,GS_Gansu,8,{'3.5': 8},3.5,GS_1104_1.jpg;GS_1104_2.jpg;GS_1104_3.jpg,train
GS_1105,GS_Gansu,8,{'3.5': 8},3.5,GS_1105_1.jpg;GS_1105_2.jpg;GS_1105_3.jpg,train
GS_1106,GS_Gansu,8,{'3.25': 8},3.25,GS_1106_1.jpg;GS_1106_2.jpg;GS_1106_3.jpg,val
GS_1107,GS_Gansu,12,{'3.25': 12},3.25,GS_1107_1.jpg;GS_1107_10.jpg;GS_1107_11.jpg,val
GS_1108,GS_Gansu,6,{'3.5': 6},3.5,GS_1108_1.jpg;GS_1108_2.jpg;GS_1108_3.jpg,train
GS_1109,GS_Gansu,8,{'3.75': 8},3.75,GS_1109_1.jpg;GS_1109_2.jpg;GS_1109_3.jpg,val
GS_111,GS_Gansu,8,{'4.0': 8},4.0,GS_111_1.jpg;GS_111_2.jpg;GS_111_3.jpg,train
GS_1110,GS_Gansu,8,{'3.25': 8},3.25,GS_1110_1.jpg;GS_1110_2.jpg;GS_1110_3.jpg,test
GS_1111,GS_Gansu,8,{'4.0': 8},4.0,GS_1111_1.jpg;GS_1111_2.jpg;GS_1111_3.jpg,test
GS_1112,GS_Gansu,8,{'3.25': 8},3.25,GS_1112_1.jpg;GS_1112_2.jpg;GS_1112_3.jpg,train
GS_1113,GS_Gansu,8,{'3.5': 8},3.5,GS_1113_1.jpg;GS_1113_2.jpg;GS_1113_3.jpg,train
GS_1114,GS_Gansu,8,{'3.5': 8},3.5,GS_1114_1.jpg;GS_1114_2.jpg;GS_1114_3.jpg,train
GS_1115,GS_Gansu,10,{'4.0': 10},4.0,GS_1115_1.jpg;GS_1115_10.jpg;GS_1115_2.jpg,train
GS_1116,GS_Gansu,8,{'3.5': 8},3.5,GS_1116_1.jpg;GS_1116_2.jpg;GS_1116_3.jpg,test
GS_1117,GS_Gansu,8,{'3.5': 8},3.5,GS_1117_1.jpg;GS_1117_2.jpg;GS_1117_3.jpg,train
GS_1118,GS_Gansu,8,{'3.5': 8},3.5,GS_1118_1.jpg;GS_1118_2.jpg;GS_1118_3.jpg,val
GS_1119,GS_Gansu,8,{'4.25': 8},4.25,GS_1119_1.jpg;GS_1119_2.jpg;GS_1119_3.jpg,test
GS_112,GS_Gansu,10,{'3.75': 10},3.75,GS_112_1.jpg;GS_112_10.jpg;GS_112_2.jpg,train
GS_1120,GS_Gansu,8,{'3.25': 8},3.25,GS_1120_1.jpg;GS_1120_2.jpg;GS_1120_3.jpg,train
GS_1121,GS_Gansu,8,{'3.25': 8},3.25,GS_1121_1.jpg;GS_1121_2.jpg;GS_1121_3.jpg,val
GS_1122,GS_Gansu,5,{'3.25': 5},3.25,GS_1122_1.jpg;GS_1122_2.jpg;GS_1122_3.jpg,train
GS_1123,GS_Gansu,9,{'3.5': 9},3.5,GS_1123_1.jpg;GS_1123_2.jpg;GS_1123_3.jpg,train
GS_1124,GS_Gansu,8,{'4.0': 8},4.0,GS_1124_1.jpg;GS_1124_2.jpg;GS_1124_3.jpg,train
GS_1125,GS_Gansu,8,{'3.25': 8},3.25,GS_1125_1.jpg;GS_1125_2.jpg;GS_1125_3.jpg,train
GS_1126,GS_Gansu,7,{'3.25': 7},3.25,GS_1126_1.jpg;GS_1126_2.jpg;GS_1126_3.jpg,train
GS_1127,GS_Gansu,8,{'3.5': 8},3.5,GS_1127_1.jpg;GS_1127_2.jpg;GS_1127_3.jpg,train
GS_1128,GS_Gansu,8,{'3.5': 8},3.5,GS_1128_1.jpg;GS_1128_2.jpg;GS_1128_3.jpg,train
GS_1129,GS_Gansu,8,{'3.5': 8},3.5,GS_1129_1.jpg;GS_1129_2.jpg;GS_1129_3.jpg,test
GS_113,GS_Gansu,8,{'3.75': 8},3.75,GS_113_1.jpg;GS_113_2.jpg;GS_113_3.jpg,test
GS_1130,GS_Gansu,8,{'3.5': 8},3.5,GS_1130_1.jpg;GS_1130_2.jpg;GS_1130_3.jpg,train
GS_1131,GS_Gansu,8,{'3.5': 8},3.5,GS_1131_1.jpg;GS_1131_2.jpg;GS_1131_3.jpg,test
GS_1132,GS_Gansu,6,{'3.5': 6},3.5,GS_1132_1.jpg;GS_1132_2.jpg;GS_1132_3.jpg,train
GS_1133,GS_Gansu,8,{'3.5': 8},3.5,GS_1133_1.jpg;GS_1133_2.jpg;GS_1133_3.jpg,train
GS_1134,GS_Gansu,11,{'3.25': 11},3.25,GS_1134_1.jpg;GS_1134_10.jpg;GS_1134_11.jpg,train
GS_1135,GS_Gansu,8,{'3.75': 8},3.75,GS_1135_1.jpg;GS_1135_2.jpg;GS_1135_3.jpg,train
GS_1136,GS_Gansu,8,{'3.5': 8},3.5,GS_1136_1.jpg;GS_1136_2.jpg;GS_1136_3.jpg,train
GS_1137,GS_Gansu,7,{'3.25': 7},3.25,GS_1137_1.jpg;GS_1137_2.jpg;GS_1137_3.jpg,val
GS_1138,GS_Gansu,7,{'3.75': 7},3.75,GS_1138_1.jpg;GS_1138_2.jpg;GS_1138_3.jpg,train
GS_1139,GS_Gansu,8,{'3.25': 8},3.25,GS_1139_1.jpg;GS_1139_2.jpg;GS_1139_3.jpg,train
GS_114,GS_Gansu,8,{'3.75': 8},3.75,GS_114_1.jpg;GS_114_2.jpg;GS_114_3.jpg,train
GS_1140,GS_Gansu,8,{'3.25': 8},3.25,GS_1140_1.jpg;GS_1140_2.jpg;GS_1140_3.jpg,test
GS_1141,GS_Gansu,6,{'3.25': 6},3.25,GS_1141_1.jpg;GS_1141_2.jpg;GS_1141_3.jpg,val
GS_1142,GS_Gansu,8,{'3.25': 8},3.25,GS_1142_1.jpg;GS_1142_2.jpg;GS_1142_3.jpg,train
GS_1143,GS_Gansu,7,{'3.5': 7},3.5,GS_1143_1.jpg;GS_1143_2.jpg;GS_1143_3.jpg,test
GS_1144,GS_Gansu,4,{'3.25': 4},3.25,GS_1144_1.jpg;GS_1144_2.jpg;GS_1144_3.jpg,train
GS_1145,GS_Gansu,8,{'3.25': 8},3.25,GS_1145_1.jpg;GS_1145_2.jpg;GS_1145_3.jpg,train
GS_1146,GS_Gansu,12,{'3.5': 12},3.5,GS_1146_1.jpg;GS_1146_10.jpg;GS_1146_11.jpg,train
GS_1147,GS_Gansu,9,{'3.5': 9},3.5,GS_1147_1.jpg;GS_1147_2.jpg;GS_1147_3.jpg,val
GS_1148,GS_Gansu,10,{'3.25': 10},3.25,GS_1148_1.jpg;GS_1148_10.jpg;GS_1148_2.jpg,test
GS_1149,GS_Gansu,8,{'3.5': 8},3.5,GS_1149_1.jpg;GS_1149_2.jpg;GS_1149_3.jpg,train
GS_115,GS_Gansu,9,{'4.25': 9},4.25,GS_115_1.jpg;GS_115_2.jpg;GS_115_3.jpg,train
GS_1150,GS_Gansu,8,{'3.25': 8},3.25,GS_1150_1.jpg;GS_1150_2.jpg;GS_1150_3.jpg,train
GS_1151,GS_Gansu,8,{'3.25': 8},3.25,GS_1151_1.jpg;GS_1151_2.jpg;GS_1151_3.jpg,train
GS_1152,GS_Gansu,8,{'3.25': 8},3.25,GS_1152_1.jpg;GS_1152_2.jpg;GS_1152_3.jpg,train
GS_1153,GS_Gansu,7,{'3.75': 7},3.75,GS_1153_1.jpg;GS_1153_2.jpg;GS_1153_3.jpg,train
GS_1154,GS_Gansu,8,{'3.5': 8},3.5,GS_1154_1.jpg;GS_1154_2.jpg;GS_1154_3.jpg,train
GS_1155,GS_Gansu,8,{'3.75': 8},3.75,GS_1155_1.jpg;GS_1155_2.jpg;GS_1155_3.jpg,test
GS_1156,GS_Gansu,11,{'3.25': 11},3.25,GS_1156_1.jpg;GS_1156_10.jpg;GS_1156_11.jpg,test
GS_1157,GS_Gansu,14,{'3.5': 14},3.5,GS_1157_1.jpg;GS_1157_10.jpg;GS_1157_11.jpg,train
GS_1158,GS_Gansu,9,{'4.0': 9},4.0,GS_1158_1.jpg;GS_1158_2.jpg;GS_1158_3.jpg,train
GS_1159,GS_Gansu,8,{'3.75': 8},3.75,GS_1159_1.jpg;GS_1159_2.jpg;GS_1159_3.jpg,train
GS_116,GS_Gansu,5,{'4.0': 5},4.0,GS_116_1.jpg;GS_116_2.jpg;GS_116_3.jpg,val
GS_1160,GS_Gansu,10,{'3.25': 10},3.25,GS_1160_1.jpg;GS_1160_10.jpg;GS_1160_2.jpg,train
GS_1161,GS_Gansu,8,{'3.5': 8},3.5,GS_1161_1.jpg;GS_1161_2.jpg;GS_1161_3.jpg,train
GS_1162,GS_Gansu,8,{'3.5': 8},3.5,GS_1162_1.jpg;GS_1162_2.jpg;GS_1162_3.jpg,train
GS_1163,GS_Gansu,9,{'3.25': 9},3.25,GS_1163_1.jpg;GS_1163_2.jpg;GS_1163_3.jpg,val
GS_1164,GS_Gansu,6,{'3.25': 6},3.25,GS_1164_1.jpg;GS_1164_2.jpg;GS_1164_3.jpg,test
GS_1165,GS_Gansu,8,{'3.25': 8},3.25,GS_1165_1.jpg;GS_1165_2.jpg;GS_1165_3.jpg,train
GS_1166,GS_Gansu,11,{'3.25': 11},3.25,GS_1166_1.jpg;GS_1166_10.jpg;GS_1166_11.jpg,test
GS_1167,GS_Gansu,8,{'3.25': 8},3.25,GS_1167_1.jpg;GS_1167_2.jpg;GS_1167_3.jpg,train
GS_1168,GS_Gansu,9,{'3.25': 9},3.25,GS_1168_1.jpg;GS_1168_2.jpg;GS_1168_3.jpg,val
GS_1169,GS_Gansu,8,{'3.25': 8},3.25,GS_1169_1.jpg;GS_1169_2.jpg;GS_1169_3.jpg,test
GS_117,GS_Gansu,14,{'3.75': 14},3.75,GS_117_1.jpg;GS_117_10.jpg;GS_117_11.jpg,train
GS_1170,GS_Gansu,8,{'3.75': 8},3.75,GS_1170_1.jpg;GS_1170_2.jpg;GS_1170_3.jpg,train
GS_1171,GS_Gansu,8,{'3.75': 8},3.75,GS_1171_1.jpg;GS_1171_2.jpg;GS_1171_3.jpg,train
GS_1172,GS_Gansu,8,{'3.75': 8},3.75,GS_1172_1.jpg;GS_1172_2.jpg;GS_1172_3.jpg,train
GS_1173,GS_Gansu,9,{'4.0': 9},4.0,GS_1173_1.jpg;GS_1173_2.jpg;GS_1173_3.jpg,train
GS_1174,GS_Gansu,9,{'3.5': 9},3.5,GS_1174_1.jpg;GS_1174_2.jpg;GS_1174_3.jpg,train
GS_1175,GS_Gansu,5,{'3.25': 5},3.25,GS_1175_1.jpg;GS_1175_2.jpg;GS_1175_3.jpg,train
GS_1176,GS_Gansu,5,{'3.25': 5},3.25,GS_1176_1.jpg;GS_1176_2.jpg;GS_1176_3.jpg,train
GS_1177,GS_Gansu,9,{'3.25': 9},3.25,GS_1177_1.jpg;GS_1177_2.jpg;GS_1177_3.jpg,train
GS_1178,GS_Gansu,8,{'3.5': 8},3.5,GS_1178_1.jpg;GS_1178_2.jpg;GS_1178_3.jpg,train
GS_1179,GS_Gansu,5,{'3.5': 5},3.5,GS_1179_1.jpg;GS_1179_2.jpg;GS_1179_3.jpg,train
GS_118,GS_Gansu,4,{'3.75': 4},3.75,GS_118_1.jpg;GS_118_2.jpg;GS_118_3.jpg,val
GS_1180,GS_Gansu,8,{'3.25': 8},3.25,GS_1180_1.jpg;GS_1180_2.jpg;GS_1180_3.jpg,val
GS_1181,GS_Gansu,8,{'3.75': 8},3.75,GS_1181_1.jpg;GS_1181_2.jpg;GS_1181_3.jpg,train
GS_1182,GS_Gansu,8,{'3.5': 8},3.5,GS_1182_1.jpg;GS_1182_2.jpg;GS_1182_3.jpg,train
GS_1183,GS_Gansu,8,{'3.5': 8},3.5,GS_1183_1.jpg;GS_1183_2.jpg;GS_1183_3.jpg,val
GS_1184,GS_Gansu,8,{'3.25': 8},3.25,GS_1184_1.jpg;GS_1184_2.jpg;GS_1184_3.jpg,train
GS_1185,GS_Gansu,8,{'3.25': 8},3.25,GS_1185_1.jpg;GS_1185_2.jpg;GS_1185_3.jpg,train
GS_1186,GS_Gansu,11,{'3.25': 11},3.25,GS_1186_1.jpg;GS_1186_10.jpg;GS_1186_11.jpg,train
