serial,link/source
94,https://data.mendeley.com/datasets/h2s22wr5py/3/files/7ea92703-6f0f-429e-bb9d-ece84ef3f2b6
95,https://data.mendeley.com/datasets/h2s22wr5py/3/files/0f7db52b-f907-4516-97f6-13aafac91248
96,https://data.mendeley.com/datasets/h2s22wr5py/3/files/92a16b8d-6321-416b-aa34-2f5796d9d35a
97,https://data.mendeley.com/datasets/h2s22wr5py/3/files/06417057-cdb6-4780-a00c-d1a1f925dc4d
98,https://data.mendeley.com/datasets/h2s22wr5py/3/files/a8e623ea-d55c-41a7-99e3-a8fcc349cbae
99,https://data.mendeley.com/datasets/h2s22wr5py/3/files/ad01908d-8cd2-4271-a81a-fdf441334977
100,https://data.mendeley.com/datasets/h2s22wr5py/3/files/fd382dbe-5af8-4f00-a2cb-5ff3b8605068
101,https://data.mendeley.com/datasets/h2s22wr5py/3/files/191e129c-a38d-413f-b43d-5ba3dfdf135c
102,https://data.mendeley.com/datasets/h2s22wr5py/3/files/7e2410fe-1e4f-42f9-bb0a-d91e5feb37e2
103,https://data.mendeley.com/datasets/h2s22wr5py/3/files/d01f3f5a-3130-44da-92c8-b842cb155535
104,https://data.mendeley.com/datasets/h2s22wr5py/3/files/9f1a44ac-c3c9-4fda-ad82-5836b9216e6c
105,https://data.mendeley.com/datasets/h2s22wr5py/3/files/50b70a8d-3139-42f9-ae53-0fed76743f7a
106,https://data.mendeley.com/datasets/h2s22wr5py/3/files/aec02e12-54cd-4893-bab8-82c351d10119
107,https://data.mendeley.com/datasets/h2s22wr5py/3/files/128f0873-aa27-42b7-b6be-a60081c4e699
108,https://data.mendeley.com/datasets/h2s22wr5py/3/files/a5c1ef3d-493a-47c0-a707-a9b6b85a28c7
109,https://data.mendeley.com/datasets/h2s22wr5py/3/files/209b0196-3ffb-4964-9428-8e681623dffc
110,https://data.mendeley.com/datasets/h2s22wr5py/3/files/12e20c40-05dc-40b6-bba8-70e98150bf82
111,https://data.mendeley.com/datasets/h2s22wr5py/3/files/ff320c38-8779-4c44-aa71-0fd901c0997f
112,https://data.mendeley.com/datasets/h2s22wr5py/3/files/a27a445f-ca39-4f93-b703-46f65e307160
113,https://data.mendeley.com/datasets/h2s22wr5py/3/files/589dbfc4-2638-45f4-b414-d8213c380af6
114,https://data.mendeley.com/datasets/h2s22wr5py/3/files/7e2208b5-35b3-4fb6-8d03-13edef54ba15
115,https://data.mendeley.com/datasets/h2s22wr5py/3/files/ab0a51e8-a0f9-4033-b950-9d1a5d535682
116,https://unsplash.com/photos/brown-and-white-cattle-on-pasture-during-daytime-3njc1xBREDg
117,https://unsplash.com/photos/cows-walk-past-a-building-on-a-sunny-day-QJTXUyQ5Y04
118,https://unsplash.com/photos/white-and-brown-cow-on-green-grass-field-during-daytime-sgRVKdoSrWA
119,https://www.alamy.com/stock-photo/rear-view-cattle.html?pseudoid=4899A035-D350-4EE0-9451-692B87A281AA&sortBy=relevant
120,https://in.pinterest.com/pin/black-and-white-cow-in-lush-green-field--41376890327325060/
121,https://www.alamy.com/stock-photo/rear-view-of-dairy-cattle.html
122,https://www.istockphoto.com/photos/cow-rear-view
123,https://www.dreamstime.com/photos-images/cow-rear.html
124,https://www.istockphoto.com/photos/cow-rear-view
125,https://www.vecteezy.com/photo/18902201-view-of-the-back-of-a-cow-on-a-pasture-in-the-alps
126,https://www.istockphoto.com/photos/backside-of-a-white-cow-with-empty-udder
127,https://www.shutterstock.com/search/cow-indonesia
128,https://www.alamy.com/stock-photo/rear-end-dairy-cow.html
129,https://www.123rf.com/photo_69758650_rear-cow-in-dairy-farm.html
130,https://www.dreamstime.com/photos-images/backside-cow.html
131,https://www.shutterstock.com/search/cow-rear-view
132,https://depositphotos.com/photos/dirty-cow.html
133,https://www.alamy.com/stock-photo/rear-view-of-highland-cow.html
134,https://www.dreamstime.com/stock-photo-back-part-cow-danish-swinging-tail-image57093452
135,https://www.shutterstock.com/image-photo/rear-view-two-cows-on-farm-1310339929
136,https://www.dreamstime.com/photos-images/backside-cow.html
137,https://www.istockphoto.com/photo/cow-backside-gm466614677-34144490
138,https://www.dreamstime.com/photos-images/cow-raised-tail.html
139,https://www.shutterstock.com/search/cow-backside?page=2
140,https://www.123rf.com/photo_7477455_back-of-a-brown-and-white-cow.html
141,https://www.vecteezy.com/photo/17515073-backside-of-a-cow-in-the-austrian-alps
142,https://www.dreamstime.com/stock-photo-back-part-cow-danish-swinging-tail-image57093452
143,https://www.shutterstock.com/image-photo/close-cows-backside-tail-another-cow-2633594817
144,https://www.dreamstime.com/butt-cow-udder-grazing-green-field-image277694358
145,https://www.dreamstime.com/royalty-free-stock-photography-cow-tail-back-view-who-grazing-meadow-others-cows-background-image33677617
146,https://www.dreamstime.com/dairy-cow-rear-end-walking-away-next-to-path-butt-cow-clouded-sky-cow-backside-walking-away-next-to-path-butt-cow-image281077190
147,https://www.dreamstime.com/stock-images-holstein-cow-behind-image28512374
148,https://www.alamy.com/back-end-of-a-danish-black-and-white-cow-danish-jutland-cattle-denmark-image339030716.html
149,https://www.alamy.com/rear-end-of-a-bony-but-prize-winning-dairy-cow-showing-the-consequences-of-breeding-for-milk-production-image337711890.html
150,https://www.123rf.com/photo_69758650_rear-cow-in-dairy-farm.html
