index,cow_id,split,subset,image_filename,crop_box_xyxy,predicted_class,confidence,entropy,p_front,p_side,p_rear,is_low_conf_50,is_low_conf_60
34,355,val,parlor,355_0291.jpg,"[26, 7, 786, 458]",rear,0.5876,0.8866,0.3281,0.0843,0.5876,False,True
35,244,val,parlor,244_0782.jpg,"[0, 0, 909, 552]",rear,0.6021,0.9331,0.145,0.2529,0.6021,False,False
36,817,val,parlor,817_0215.jpg,"[0, 0, 832, 473]",rear,0.6969,0.821,0.1711,0.132,0.6969,False,False
37,908,val,parlor,908_0232.jpg,"[0, 0, 772, 532]",rear,0.5324,0.91,0.3844,0.0832,0.5324,False,True
38,144,val,parlor,144_0376.jpg,"[0, 3, 738, 583]",side,0.6348,0.8979,0.1368,0.6348,0.2284,False,False
39,934,val,parlor,934_0262.jpg,"[0, 0, 960, 528]",front,0.4864,0.9586,0.4864,0.4043,0.1092,True,True
40,823,val,parlor,823_0531.jpg,"[0, 0, 767, 568]",front,0.4548,1.0096,0.4548,0.1498,0.3954,True,True
41,244,val,parlor,244_0677.jpg,"[0, 0, 702, 446]",side,0.6554,0.8825,0.1643,0.6554,0.1803,False,False
42,605,val,parlor,605_0170.jpg,"[38, 0, 1703, 1077]",rear,0.8635,0.4926,0.0624,0.0741,0.8635,False,False
43,887,val,parlor,887_0908.jpg,"[10, 0, 910, 525]",front,0.9811,0.1064,0.9811,0.0116,0.0073,False,False
44,828,val,parlor,828_0273.jpg,"[0, 0, 687, 514]",rear,0.4733,0.8728,0.4695,0.0572,0.4733,True,True
45,909,val,parlor,909_0309.jpg,"[0, 0, 954, 498]",side,0.525,1.0075,0.294,0.525,0.181,False,True
46,844,val,parlor,844_0302.jpg,"[0, 0, 641, 533]",rear,0.882,0.4164,0.0981,0.0199,0.882,False,False
47,507,val,parlor,507_0374.jpg,"[0, 0, 995, 525]",side,0.7173,0.6879,0.2542,0.7173,0.0285,False,False
48,887,val,parlor,887_0903.jpg,"[184, 1, 1084, 459]",front,0.9361,0.2499,0.9361,0.0607,0.0031,False,False
49,244,val,parlor,244_0706.jpg,"[190, 0, 965, 540]",side,0.6617,0.8549,0.1122,0.6617,0.2261,False,False
