sample_id,dataset,dataset_role,image_path,mask_path,category_or_subset,burst_or_session,metadata
sample_0016,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_942_2.jpg,,BCS_3.25,GS_burst_3276,"{""bcs_label"": 3.25, ""burst_group_id"": ""GS_burst_3276"", ""original_passage_id"": ""GS_942"", ""farm_source"": ""GS_Gansu""}"
sample_0017,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1166_4.jpg,,BCS_3.25,GS_burst_0187,"{""bcs_label"": 3.25, ""burst_group_id"": ""GS_burst_0187"", ""original_passage_id"": ""GS_1166"", ""farm_source"": ""GS_Gansu""}"
sample_0018,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_1785_8.jpg,,BCS_3.25,YM_burst_0872,"{""bcs_label"": 3.25, ""burst_group_id"": ""YM_burst_0872"", ""original_passage_id"": ""YM_1785"", ""farm_source"": ""YM_Farm2""}"
sample_0019,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1169_2.jpg,,BCS_3.25,GS_burst_0190,"{""bcs_label"": 3.25, ""burst_group_id"": ""GS_burst_0190"", ""original_passage_id"": ""GS_1169"", ""farm_source"": ""GS_Gansu""}"
sample_0020,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_372_2.jpg,,BCS_3.25,YM_burst_1359,"{""bcs_label"": 3.25, ""burst_group_id"": ""YM_burst_1359"", ""original_passage_id"": ""YM_372"", ""farm_source"": ""YM_Farm2""}"
sample_0021,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_1724_4.jpg,,BCS_3.5,YM_burst_0805,"{""bcs_label"": 3.5, ""burst_group_id"": ""YM_burst_0805"", ""original_passage_id"": ""YM_1724"", ""farm_source"": ""YM_Farm2""}"
sample_0022,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_1215_4.jpg,,BCS_3.5,GS_burst_0242,"{""bcs_label"": 3.5, ""burst_group_id"": ""GS_burst_0242"", ""original_passage_id"": ""GS_1215"", ""farm_source"": ""GS_Gansu""}"
sample_0023,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_1011_1.jpg,,BCS_3.5,YM_burst_0016,"{""bcs_label"": 3.5, ""burst_group_id"": ""YM_burst_0016"", ""original_passage_id"": ""YM_1011"", ""farm_source"": ""YM_Farm2""}"
sample_0024,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_1857_4.jpg,,BCS_3.5,GS_burst_0951,"{""bcs_label"": 3.5, ""burst_group_id"": ""GS_burst_0951"", ""original_passage_id"": ""GS_1857"", ""farm_source"": ""GS_Gansu""}"
sample_0025,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_1781_4.jpg,,BCS_3.5,GS_burst_0870,"{""bcs_label"": 3.5, ""burst_group_id"": ""GS_burst_0870"", ""original_passage_id"": ""GS_1781"", ""farm_source"": ""GS_Gansu""}"
sample_0026,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_574_1.jpg,,BCS_3.5,YM_burst_1583,"{""bcs_label"": 3.5, ""burst_group_id"": ""YM_burst_1583"", ""original_passage_id"": ""YM_574"", ""farm_source"": ""YM_Farm2""}"
sample_0027,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_635_1.jpg,,BCS_3.5,GS_burst_2935,"{""bcs_label"": 3.5, ""burst_group_id"": ""GS_burst_2935"", ""original_passage_id"": ""GS_635"", ""farm_source"": ""GS_Gansu""}"
sample_0028,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_1259_1.jpg,,BCS_3.5,YM_burst_0290,"{""bcs_label"": 3.5, ""burst_group_id"": ""YM_burst_0290"", ""original_passage_id"": ""YM_1259"", ""farm_source"": ""YM_Farm2""}"
sample_0029,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_1422_8.jpg,,BCS_3.5,YM_burst_0471,"{""bcs_label"": 3.5, ""burst_group_id"": ""YM_burst_0471"", ""original_passage_id"": ""YM_1422"", ""farm_source"": ""YM_Farm2""}"
sample_0030,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_3170_5.jpg,,BCS_3.5,GS_burst_2405,"{""bcs_label"": 3.5, ""burst_group_id"": ""GS_burst_2405"", ""original_passage_id"": ""GS_3170"", ""farm_source"": ""GS_Gansu""}"
sample_0031,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_2015_2.jpg,,BCS_3.5,YM_burst_1128,"{""bcs_label"": 3.5, ""burst_group_id"": ""YM_burst_1128"", ""original_passage_id"": ""YM_2015"", ""farm_source"": ""YM_Farm2""}"
sample_0032,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_2002_1.jpg,,BCS_3.5,YM_burst_1114,"{""bcs_label"": 3.5, ""burst_group_id"": ""YM_burst_1114"", ""original_passage_id"": ""YM_2002"", ""farm_source"": ""YM_Farm2""}"
sample_0033,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_621_1.jpg,,BCS_3.5,YM_burst_1636,"{""bcs_label"": 3.5, ""burst_group_id"": ""YM_burst_1636"", ""original_passage_id"": ""YM_621"", ""farm_source"": ""YM_Farm2""}"
sample_0034,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_2192_8.jpg,,BCS_3.5,GS_burst_1319,"{""bcs_label"": 3.5, ""burst_group_id"": ""GS_burst_1319"", ""original_passage_id"": ""GS_2192"", ""farm_source"": ""GS_Gansu""}"
sample_0035,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_1571_2.jpg,,BCS_3.5,YM_burst_0635,"{""bcs_label"": 3.5, ""burst_group_id"": ""YM_burst_0635"", ""original_passage_id"": ""YM_1571"", ""farm_source"": ""YM_Farm2""}"
sample_0036,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_886_4.jpg,,BCS_3.5,GS_burst_3213,"{""bcs_label"": 3.5, ""burst_group_id"": ""GS_burst_3213"", ""original_passage_id"": ""GS_886"", ""farm_source"": ""GS_Gansu""}"
sample_0037,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_478_2.jpg,,BCS_3.5,YM_burst_1476,"{""bcs_label"": 3.5, ""burst_group_id"": ""YM_burst_1476"", ""original_passage_id"": ""YM_478"", ""farm_source"": ""YM_Farm2""}"
sample_0038,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_1906_1.jpg,,BCS_3.5,YM_burst_1006,"{""bcs_label"": 3.5, ""burst_group_id"": ""YM_burst_1006"", ""original_passage_id"": ""YM_1906"", ""farm_source"": ""YM_Farm2""}"
sample_0039,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_3181_8.jpg,,BCS_3.5,GS_burst_2417,"{""bcs_label"": 3.5, ""burst_group_id"": ""GS_burst_2417"", ""original_passage_id"": ""GS_3181"", ""farm_source"": ""GS_Gansu""}"
sample_0040,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_1129_2.jpg,,BCS_3.5,GS_burst_0146,"{""bcs_label"": 3.5, ""burst_group_id"": ""GS_burst_0146"", ""original_passage_id"": ""GS_1129"", ""farm_source"": ""GS_Gansu""}"
sample_0041,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_1461_2.jpg,,BCS_3.75,GS_burst_0515,"{""bcs_label"": 3.75, ""burst_group_id"": ""GS_burst_0515"", ""original_passage_id"": ""GS_1461"", ""farm_source"": ""GS_Gansu""}"
sample_0042,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_1272_2.jpg,,BCS_3.75,GS_burst_0305,"{""bcs_label"": 3.75, ""burst_group_id"": ""GS_burst_0305"", ""original_passage_id"": ""GS_1272"", ""farm_source"": ""GS_Gansu""}"
sample_0043,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\R-i10959.jpg,,BCS_3.75,STEREO_burst_0241,"{""bcs_label"": 3.75, ""burst_group_id"": ""STEREO_burst_0241"", ""original_passage_id"": ""STEREO_blk_241"", ""farm_source"": ""STEREO_Farm3""}"
sample_0044,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_1499_8.jpg,,BCS_3.75,GS_burst_0556,"{""bcs_label"": 3.75, ""burst_group_id"": ""GS_burst_0556"", ""original_passage_id"": ""GS_1499"", ""farm_source"": ""GS_Gansu""}"
sample_0045,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_3294_5.jpg,,BCS_3.75,GS_burst_2542,"{""bcs_label"": 3.75, ""burst_group_id"": ""GS_burst_2542"", ""original_passage_id"": ""GS_3294"", ""farm_source"": ""GS_Gansu""}"
sample_0046,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\YM_1765_2.jpg,,BCS_3.75,YM_burst_0850,"{""bcs_label"": 3.75, ""burst_group_id"": ""YM_burst_0850"", ""original_passage_id"": ""YM_1765"", ""farm_source"": ""YM_Farm2""}"
sample_0047,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_281_1.jpg,,BCS_3.75,GS_burst_2004,"{""bcs_label"": 3.75, ""burst_group_id"": ""GS_burst_2004"", ""original_passage_id"": ""GS_281"", ""farm_source"": ""GS_Gansu""}"
sample_0048,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\YM_252_1.jpg,,BCS_3.75,YM_burst_1226,"{""bcs_label"": 3.75, ""burst_group_id"": ""YM_burst_1226"", ""original_passage_id"": ""YM_252"", ""farm_source"": ""YM_Farm2""}"
sample_0049,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_1460_2.jpg,,BCS_3.75,GS_burst_0514,"{""bcs_label"": 3.75, ""burst_group_id"": ""GS_burst_0514"", ""original_passage_id"": ""GS_1460"", ""farm_source"": ""GS_Gansu""}"
sample_0050,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\YM_262_1.jpg,,BCS_3.75,YM_burst_1237,"{""bcs_label"": 3.75, ""burst_group_id"": ""YM_burst_1237"", ""original_passage_id"": ""YM_262"", ""farm_source"": ""YM_Farm2""}"
sample_0051,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\YM_301_2.jpg,,BCS_3.75,YM_burst_1281,"{""bcs_label"": 3.75, ""burst_group_id"": ""YM_burst_1281"", ""original_passage_id"": ""YM_301"", ""farm_source"": ""YM_Farm2""}"
sample_0052,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\YM_654_2.jpg,,BCS_3.75,YM_burst_1672,"{""bcs_label"": 3.75, ""burst_group_id"": ""YM_burst_1672"", ""original_passage_id"": ""YM_654"", ""farm_source"": ""YM_Farm2""}"
sample_0053,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\R-i7301.jpg,,BCS_3.75,STEREO_burst_0154,"{""bcs_label"": 3.75, ""burst_group_id"": ""STEREO_burst_0154"", ""original_passage_id"": ""STEREO_blk_154"", ""farm_source"": ""STEREO_Farm3""}"
sample_0054,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_1815_1.jpg,,BCS_3.75,GS_burst_0908,"{""bcs_label"": 3.75, ""burst_group_id"": ""GS_burst_0908"", ""original_passage_id"": ""GS_1815"", ""farm_source"": ""GS_Gansu""}"
sample_0055,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_3286_2.jpg,,BCS_3.75,GS_burst_2533,"{""bcs_label"": 3.75, ""burst_group_id"": ""GS_burst_2533"", ""original_passage_id"": ""GS_3286"", ""farm_source"": ""GS_Gansu""}"
sample_0056,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_2597_8.jpg,,BCS_3.75,GS_burst_1767,"{""bcs_label"": 3.75, ""burst_group_id"": ""GS_burst_1767"", ""original_passage_id"": ""GS_2597"", ""farm_source"": ""GS_Gansu""}"
sample_0057,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_291_2.jpg,,BCS_3.75,GS_burst_2115,"{""bcs_label"": 3.75, ""burst_group_id"": ""GS_burst_2115"", ""original_passage_id"": ""GS_291"", ""farm_source"": ""GS_Gansu""}"
sample_0058,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_1806_2.jpg,,BCS_3.75,GS_burst_0898,"{""bcs_label"": 3.75, ""burst_group_id"": ""GS_burst_0898"", ""original_passage_id"": ""GS_1806"", ""farm_source"": ""GS_Gansu""}"
sample_0059,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_2163_1.jpg,,BCS_3.75,GS_burst_1287,"{""bcs_label"": 3.75, ""burst_group_id"": ""GS_burst_1287"", ""original_passage_id"": ""GS_2163"", ""farm_source"": ""GS_Gansu""}"
sample_0060,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_55_3.jpg,,BCS_3.75,GS_burst_2840,"{""bcs_label"": 3.75, ""burst_group_id"": ""GS_burst_2840"", ""original_passage_id"": ""GS_55"", ""farm_source"": ""GS_Gansu""}"
sample_0061,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_328_4.jpg,,BCS_4.0,GS_burst_2526,"{""bcs_label"": 4.0, ""burst_group_id"": ""GS_burst_2526"", ""original_passage_id"": ""GS_328"", ""farm_source"": ""GS_Gansu""}"
sample_0062,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_540_2.jpg,,BCS_4.0,GS_burst_2830,"{""bcs_label"": 4.0, ""burst_group_id"": ""GS_burst_2830"", ""original_passage_id"": ""GS_540"", ""farm_source"": ""GS_Gansu""}"
sample_0063,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_289_1.jpg,,BCS_4.0,YM_burst_1266,"{""bcs_label"": 4.0, ""burst_group_id"": ""YM_burst_1266"", ""original_passage_id"": ""YM_289"", ""farm_source"": ""YM_Farm2""}"
sample_0064,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_1459_2.jpg,,BCS_4.0,YM_burst_0511,"{""bcs_label"": 4.0, ""burst_group_id"": ""YM_burst_0511"", ""original_passage_id"": ""YM_1459"", ""farm_source"": ""YM_Farm2""}"
sample_0065,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_1981_1.jpg,,BCS_4.0,YM_burst_1089,"{""bcs_label"": 4.0, ""burst_group_id"": ""YM_burst_1089"", ""original_passage_id"": ""YM_1981"", ""farm_source"": ""YM_Farm2""}"
sample_0066,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_853_2.jpg,,BCS_4.0,GS_burst_3177,"{""bcs_label"": 4.0, ""burst_group_id"": ""GS_burst_3177"", ""original_passage_id"": ""GS_853"", ""farm_source"": ""GS_Gansu""}"
sample_0067,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_1356_1.jpg,,BCS_4.0,YM_burst_0397,"{""bcs_label"": 4.0, ""burst_group_id"": ""YM_burst_0397"", ""original_passage_id"": ""YM_1356"", ""farm_source"": ""YM_Farm2""}"
sample_0068,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_3041_4.jpg,,BCS_4.0,GS_burst_2262,"{""bcs_label"": 4.0, ""burst_group_id"": ""GS_burst_2262"", ""original_passage_id"": ""GS_3041"", ""farm_source"": ""GS_Gansu""}"
sample_0069,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_2821_2.jpg,,BCS_4.0,GS_burst_2017,"{""bcs_label"": 4.0, ""burst_group_id"": ""GS_burst_2017"", ""original_passage_id"": ""GS_2821"", ""farm_source"": ""GS_Gansu""}"
sample_0070,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\R-i7065.jpg,,BCS_4.0,STEREO_burst_0147,"{""bcs_label"": 4.0, ""burst_group_id"": ""STEREO_burst_0147"", ""original_passage_id"": ""STEREO_blk_147"", ""farm_source"": ""STEREO_Farm3""}"
sample_0071,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_1212_8.jpg,,BCS_4.0,GS_burst_0239,"{""bcs_label"": 4.0, ""burst_group_id"": ""GS_burst_0239"", ""original_passage_id"": ""GS_1212"", ""farm_source"": ""GS_Gansu""}"
sample_0072,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_576_1.jpg,,BCS_4.0,GS_burst_2869,"{""bcs_label"": 4.0, ""burst_group_id"": ""GS_burst_2869"", ""original_passage_id"": ""GS_576"", ""farm_source"": ""GS_Gansu""}"
sample_0073,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_1092_8.jpg,,BCS_4.0,YM_burst_0105,"{""bcs_label"": 4.0, ""burst_group_id"": ""YM_burst_0105"", ""original_passage_id"": ""YM_1092"", ""farm_source"": ""YM_Farm2""}"
sample_0074,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_206_8.jpg,,BCS_4.0,YM_burst_1175,"{""bcs_label"": 4.0, ""burst_group_id"": ""YM_burst_1175"", ""original_passage_id"": ""YM_206"", ""farm_source"": ""YM_Farm2""}"
sample_0075,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_3317_2.jpg,,BCS_4.0,GS_burst_2568,"{""bcs_label"": 4.0, ""burst_group_id"": ""GS_burst_2568"", ""original_passage_id"": ""GS_3317"", ""farm_source"": ""GS_Gansu""}"
sample_0076,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_728_2.jpg,,BCS_4.0,YM_burst_1754,"{""bcs_label"": 4.0, ""burst_group_id"": ""YM_burst_1754"", ""original_passage_id"": ""YM_728"", ""farm_source"": ""YM_Farm2""}"
sample_0077,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_1467_2.jpg,,BCS_4.0,YM_burst_0520,"{""bcs_label"": 4.0, ""burst_group_id"": ""YM_burst_0520"", ""original_passage_id"": ""YM_1467"", ""farm_source"": ""YM_Farm2""}"
sample_0078,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_472_2.jpg,,BCS_4.0,GS_burst_2754,"{""bcs_label"": 4.0, ""burst_group_id"": ""GS_burst_2754"", ""original_passage_id"": ""GS_472"", ""farm_source"": ""GS_Gansu""}"
sample_0079,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_819_2.jpg,,BCS_4.0,YM_burst_1855,"{""bcs_label"": 4.0, ""burst_group_id"": ""YM_burst_1855"", ""original_passage_id"": ""YM_819"", ""farm_source"": ""YM_Farm2""}"
