sample_id,dataset,category_or_subset,human_viewpoint,predicted_viewpoint,top_score,second_viewpoint,second_score,score_margin,input_mode,model_name,runtime_ms
sample_0156,MmCows,Behavior_Feeding_head_up,side,unknown / ambiguous,0.8909,front,0.0498,0.841,rtdetr_crop,google/siglip-base-patch16-224,40.2
sample_0165,MmCows,Behavior_Walking,side,unknown / ambiguous,0.7958,front,0.1036,0.6922,rtdetr_crop,google/siglip-base-patch16-224,39.7
sample_0169,MmCows,Behavior_Walking,rear-oblique,unknown / ambiguous,0.8274,front,0.1005,0.7268,rtdetr_crop,google/siglip-base-patch16-224,39.5
sample_0172,MmCows,Behavior_Walking,side,unknown / ambiguous,0.7838,side,0.1435,0.6403,rtdetr_crop,google/siglip-base-patch16-224,39.6
sample_0179,MmCows,Behavior_Drinking,side,unknown / ambiguous,0.7469,front,0.1533,0.5936,rtdetr_crop,google/siglip-base-patch16-224,41.2
sample_0183,MmCows,Behavior_Drinking,side,unknown / ambiguous,0.8623,front,0.0686,0.7937,rtdetr_crop,google/siglip-base-patch16-224,39.2
sample_0185,MmCows,Behavior_Drinking,front-oblique,unknown / ambiguous,0.8017,front,0.1473,0.6544,rtdetr_crop,google/siglip-base-patch16-224,40.4
sample_0190,MmCows,Behavior_Licking,unknown / ambiguous,unknown / ambiguous,0.9281,side,0.0398,0.8883,rtdetr_crop,google/siglip-base-patch16-224,39.4
sample_0195,MmCows,Behavior_Licking,rear-oblique,unknown / ambiguous,0.8599,side,0.061,0.799,rtdetr_crop,google/siglip-base-patch16-224,40.1
sample_0201,SideViewCows2026,ReID_parlor,side,unknown / ambiguous,0.6295,front,0.2745,0.355,rtdetr_crop,google/siglip-base-patch16-224,39.8
sample_0204,SideViewCows2026,ReID_parlor,side,unknown / ambiguous,0.6527,front,0.2604,0.3923,rtdetr_crop,google/siglip-base-patch16-224,40.1
sample_0206,SideViewCows2026,ReID_parlor,side,unknown / ambiguous,0.872,front,0.0901,0.782,rtdetr_crop,google/siglip-base-patch16-224,39.8
sample_0210,SideViewCows2026,ReID_parlor,side,unknown / ambiguous,0.7234,front,0.2042,0.5192,rtdetr_crop,google/siglip-base-patch16-224,40.9
sample_0215,SideViewCows2026,ReID_parlor,front-oblique,unknown / ambiguous,0.8435,front,0.0776,0.7659,rtdetr_crop,google/siglip-base-patch16-224,40.8
sample_0220,SideViewCows2026,ReID_parlor,side,unknown / ambiguous,0.7861,front,0.1549,0.6312,rtdetr_crop,google/siglip-base-patch16-224,40.7
sample_0228,SideViewCows2026,ReID_parlor,side,unknown / ambiguous,0.7757,front,0.1569,0.6187,rtdetr_crop,google/siglip-base-patch16-224,41.1
sample_0235,SideViewCows2026,ReID_parlor,side,unknown / ambiguous,0.7442,front,0.1942,0.5499,rtdetr_crop,google/siglip-base-patch16-224,40.6
sample_0241,SideViewCows2026,ReID_barn,side,unknown / ambiguous,0.9013,front,0.0686,0.8327,rtdetr_crop,google/siglip-base-patch16-224,48.9
sample_0245,SideViewCows2026,ReID_barn,side,unknown / ambiguous,0.7968,front,0.1237,0.673,rtdetr_crop,google/siglip-base-patch16-224,45.5
sample_0250,SideViewCows2026,ReID_barn,side,unknown / ambiguous,0.8116,front,0.1035,0.7081,rtdetr_crop,google/siglip-base-patch16-224,44.7
sample_0255,SideViewCows2026,ReID_barn,side,unknown / ambiguous,0.7416,front,0.1365,0.6051,rtdetr_crop,google/siglip-base-patch16-224,43.9
sample_0260,SideViewCows2026,ReID_barn,side,unknown / ambiguous,0.8397,front,0.104,0.7357,rtdetr_crop,google/siglip-base-patch16-224,43.4
sample_0265,SideViewCows2026,ReID_barn,side,unknown / ambiguous,0.7047,front,0.2017,0.503,rtdetr_crop,google/siglip-base-patch16-224,44.7
sample_0270,SideViewCows2026,ReID_barn,side,unknown / ambiguous,0.8299,side,0.0828,0.7471,rtdetr_crop,google/siglip-base-patch16-224,46.5
sample_0277,SideViewCows2026,ReID_barn,unknown / ambiguous,unknown / ambiguous,0.7659,front,0.1336,0.6323,rtdetr_crop,google/siglip-base-patch16-224,41.3
sample_0281,SideViewCows2026,ReID_snapshots,side,unknown / ambiguous,0.7036,side,0.1595,0.5441,rtdetr_crop,google/siglip-base-patch16-224,43.4
sample_0285,SideViewCows2026,ReID_snapshots,side,unknown / ambiguous,0.7574,front,0.1356,0.6218,rtdetr_crop,google/siglip-base-patch16-224,41.6
sample_0290,SideViewCows2026,ReID_snapshots,side,unknown / ambiguous,0.801,front,0.1208,0.6802,rtdetr_crop,google/siglip-base-patch16-224,43.6
sample_0298,SideViewCows2026,ReID_snapshots,side,unknown / ambiguous,0.7176,front,0.1923,0.5253,rtdetr_crop,google/siglip-base-patch16-224,42.6
