sample_id,dataset,category_or_subset,human_viewpoint,predicted_viewpoint,top_score,second_viewpoint,second_score,score_margin,input_mode,model_name,runtime_ms
sample_0107,MmCows,Behavior_Lying,unknown / ambiguous,unknown / ambiguous,0.988,front,0.005,0.9831,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,18.4
sample_0117,MmCows,Behavior_Standing,side,rear-oblique,0.3195,rear,0.2459,0.0736,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,21.6
sample_0120,MmCows,Behavior_Standing,side,unknown / ambiguous,0.9989,rear,0.0007,0.9982,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,18.5
sample_0124,MmCows,Behavior_Standing,rear-oblique,unknown / ambiguous,0.8316,front,0.0745,0.7571,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,18.8
sample_0133,MmCows,Behavior_Feeding_head_down,rear,unknown / ambiguous,0.8486,rear,0.0787,0.7699,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,18.9
sample_0137,MmCows,Behavior_Feeding_head_down,rear-oblique,unknown / ambiguous,0.8891,rear,0.0542,0.8349,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,18.5
sample_0140,MmCows,Behavior_Feeding_head_down,unknown / ambiguous,unknown / ambiguous,0.9433,rear,0.0249,0.9184,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.8
sample_0149,MmCows,Behavior_Feeding_head_up,rear-oblique,unknown / ambiguous,0.9501,rear,0.0169,0.9332,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,18.5
sample_0152,MmCows,Behavior_Feeding_head_up,rear-oblique,unknown / ambiguous,0.8966,front,0.0297,0.8669,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,18.6
sample_0156,MmCows,Behavior_Feeding_head_up,side,unknown / ambiguous,0.8965,rear-oblique,0.0495,0.8469,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,20.9
sample_0165,MmCows,Behavior_Walking,side,unknown / ambiguous,0.5997,rear,0.1111,0.4886,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,18.6
sample_0169,MmCows,Behavior_Walking,rear-oblique,unknown / ambiguous,0.7645,rear-oblique,0.0944,0.6701,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,18.9
sample_0172,MmCows,Behavior_Walking,side,unknown / ambiguous,0.6527,rear-oblique,0.1669,0.4858,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,18.8
sample_0179,MmCows,Behavior_Drinking,side,unknown / ambiguous,0.8912,rear-oblique,0.0397,0.8516,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,21.5
sample_0183,MmCows,Behavior_Drinking,side,unknown / ambiguous,0.9915,front,0.0046,0.9869,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,18.6
sample_0185,MmCows,Behavior_Drinking,front-oblique,unknown / ambiguous,0.5718,rear-oblique,0.1432,0.4286,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.3
sample_0190,MmCows,Behavior_Licking,unknown / ambiguous,unknown / ambiguous,0.9691,rear,0.0107,0.9584,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.6
sample_0195,MmCows,Behavior_Licking,rear-oblique,unknown / ambiguous,0.9942,rear-oblique,0.0025,0.9917,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.1
sample_0201,SideViewCows2026,ReID_parlor,side,unknown / ambiguous,0.9066,rear,0.0535,0.8531,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.2
sample_0204,SideViewCows2026,ReID_parlor,side,unknown / ambiguous,0.7547,rear-oblique,0.1205,0.6341,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,21.1
sample_0206,SideViewCows2026,ReID_parlor,side,unknown / ambiguous,0.9635,rear-oblique,0.0173,0.9462,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,18.9
sample_0210,SideViewCows2026,ReID_parlor,side,rear-oblique,0.342,unknown / ambiguous,0.3161,0.0259,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,21.1
sample_0215,SideViewCows2026,ReID_parlor,front-oblique,unknown / ambiguous,0.3653,rear-oblique,0.3157,0.0496,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.2
sample_0220,SideViewCows2026,ReID_parlor,side,unknown / ambiguous,0.3873,rear-oblique,0.2718,0.1155,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,20.4
sample_0228,SideViewCows2026,ReID_parlor,side,unknown / ambiguous,0.351,rear-oblique,0.303,0.048,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,20.3
sample_0235,SideViewCows2026,ReID_parlor,side,unknown / ambiguous,0.4613,rear-oblique,0.2634,0.1979,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,20.9
sample_0241,SideViewCows2026,ReID_barn,side,unknown / ambiguous,0.8627,rear-oblique,0.0525,0.8102,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,27.3
sample_0245,SideViewCows2026,ReID_barn,side,rear-oblique,0.3285,side,0.2052,0.1233,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,24.2
sample_0250,SideViewCows2026,ReID_barn,side,side,0.3083,rear-oblique,0.272,0.0363,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,26.6
sample_0255,SideViewCows2026,ReID_barn,side,rear-oblique,0.4018,unknown / ambiguous,0.2349,0.1669,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,24.0
sample_0260,SideViewCows2026,ReID_barn,side,rear-oblique,0.3587,rear,0.1745,0.1842,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,23.1
sample_0265,SideViewCows2026,ReID_barn,side,rear-oblique,0.3251,rear,0.3159,0.0092,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,24.8
sample_0270,SideViewCows2026,ReID_barn,side,unknown / ambiguous,0.3233,rear-oblique,0.2261,0.0972,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,24.6
sample_0277,SideViewCows2026,ReID_barn,unknown / ambiguous,unknown / ambiguous,0.5334,side,0.2088,0.3245,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,22.1
sample_0281,SideViewCows2026,ReID_snapshots,side,rear-oblique,0.3984,rear,0.1536,0.2448,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,22.2
sample_0285,SideViewCows2026,ReID_snapshots,side,rear-oblique,0.4442,side,0.1713,0.2729,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,21.6
sample_0290,SideViewCows2026,ReID_snapshots,side,rear-oblique,0.4234,rear,0.1657,0.2577,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,21.9
sample_0298,SideViewCows2026,ReID_snapshots,side,rear-oblique,0.3709,rear,0.2709,0.1,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,22.5
