sample_id,dataset,category_or_subset,image_path,model_name,detector_name,crop_x1,crop_y1,crop_x2,crop_y2,pose_detector_status,inference_status,inference_time_ms,num_returned_keypoints,mean_raw_confidence,median_raw_confidence,num_below_vis_threshold,num_above_vis_threshold,vis_threshold,keypoints_inside_mask_rate,failure_reason
sample_0011,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2009_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,256,0,890,576,detector_detected,pose_output_returned,455.46,39,0.1041,0.0901,33,6,0.2,,
sample_0012,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_1857_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,289,71,634,572,detector_detected,pose_output_returned,516.24,39,0.1369,0.1036,28,11,0.2,,
sample_0013,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2361_8.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,237,0,833,576,detector_detected,pose_output_returned,442.79,39,0.202,0.1542,24,15,0.2,,
sample_0014,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_1704_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,391,79,693,475,detector_detected,pose_output_returned,487.91,39,0.121,0.0772,30,9,0.2,,
sample_0015,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1751_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,132,0,810,576,detector_detected,pose_output_returned,467.22,39,0.1698,0.1354,26,13,0.2,,
sample_0016,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_942_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,220,0,1023,576,detector_detected,pose_output_returned,504.28,39,0.1342,0.1136,31,8,0.2,,
sample_0017,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1166_4.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,0,1,1023,576,detector_detected,pose_output_returned,530.33,39,0.0978,0.0633,36,3,0.2,,
sample_0018,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_1785_8.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,271,87,689,550,detector_detected,pose_output_returned,459.1,39,0.1554,0.1303,26,13,0.2,,
sample_0019,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1169_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,200,0,844,576,detector_detected,pose_output_returned,454.04,39,0.0815,0.0603,35,4,0.2,,
sample_0020,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_372_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,375,0,784,574,detector_detected,pose_output_returned,504.66,39,0.1658,0.1647,27,12,0.2,,
sample_0021,ScienceDB,BCS_3.5,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_1724_4.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,266,90,607,571,detector_detected,pose_output_returned,502.81,39,0.1475,0.1015,28,11,0.2,,
sample_0022,ScienceDB,BCS_3.5,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_1215_4.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,204,0,815,576,detector_no_detection,pose_detector_failure,410.24,0,,,0,0,0.2,,SuperAnimal internal detector found 0 cows in crop
sample_0023,ScienceDB,BCS_3.5,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_1011_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,460,0,919,574,detector_detected,pose_output_returned,479.63,39,0.1327,0.0964,30,9,0.2,,
sample_0024,ScienceDB,BCS_3.5,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_1857_4.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,263,0,1023,576,detector_detected,pose_output_returned,495.4,39,0.0905,0.0783,37,2,0.2,,
sample_0025,ScienceDB,BCS_3.5,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_1781_4.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,173,0,743,576,detector_detected,pose_output_returned,450.79,39,0.083,0.0638,36,3,0.2,,
sample_0026,ScienceDB,BCS_3.5,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_574_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,458,0,942,574,detector_detected,pose_output_returned,471.84,39,0.1387,0.0942,31,8,0.2,,
sample_0027,ScienceDB,BCS_3.5,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_635_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,277,0,967,576,detector_detected,pose_output_returned,464.59,39,0.1372,0.1107,32,7,0.2,,
sample_0028,ScienceDB,BCS_3.5,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_1259_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,405,0,876,574,detector_detected,pose_output_returned,480.58,39,0.1927,0.1458,25,14,0.2,,
sample_0029,ScienceDB,BCS_3.5,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_1422_8.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,392,55,668,574,detector_detected,pose_output_returned,520.28,39,0.13,0.1035,32,7,0.2,,
sample_0030,ScienceDB,BCS_3.5,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_3170_5.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,201,0,827,576,detector_detected,pose_output_returned,453.92,39,0.1553,0.1102,30,9,0.2,,
sample_0031,ScienceDB,BCS_3.5,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_2015_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,473,61,755,574,detector_detected,pose_output_returned,518.09,39,0.177,0.1073,26,13,0.2,,
sample_0032,ScienceDB,BCS_3.5,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_2002_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,398,93,673,570,detector_detected,pose_output_returned,523.96,39,0.1248,0.1044,33,6,0.2,,
sample_0033,ScienceDB,BCS_3.5,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_621_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,421,0,816,575,detector_detected,pose_output_returned,515.4,39,0.1273,0.1235,33,6,0.2,,
sample_0034,ScienceDB,BCS_3.5,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_2192_8.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,186,0,1023,576,detector_detected,pose_output_returned,516.35,39,0.1901,0.1705,26,13,0.2,,
sample_0035,ScienceDB,BCS_3.5,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_1571_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,260,100,616,573,detector_detected,pose_output_returned,488.78,39,0.0942,0.0754,35,4,0.2,,
sample_0036,ScienceDB,BCS_3.5,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_886_4.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,292,6,854,575,detector_detected,pose_output_returned,446.36,39,0.1209,0.1033,34,5,0.2,,
sample_0037,ScienceDB,BCS_3.5,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_478_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,486,0,889,574,detector_detected,pose_output_returned,504.71,39,0.1625,0.128,31,8,0.2,,
sample_0038,ScienceDB,BCS_3.5,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_1906_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,333,75,652,574,detector_detected,pose_output_returned,534.09,39,0.1088,0.0793,31,8,0.2,,
sample_0039,ScienceDB,BCS_3.5,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_3181_8.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,1,0,1024,576,detector_detected,pose_output_returned,535.78,39,0.1377,0.0618,28,11,0.2,,
sample_0040,ScienceDB,BCS_3.5,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_1129_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,0,0,1024,576,detector_detected,pose_output_returned,535.06,39,0.0975,0.0745,34,5,0.2,,
sample_0041,ScienceDB,BCS_3.75,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_1461_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,,,,,not_run,upstream_localization_failure,0.0,0,,,0,0,0.2,,RT-DETR-L did not provide target-cow crop
sample_0042,ScienceDB,BCS_3.75,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_1272_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,,,,,not_run,upstream_localization_failure,0.0,0,,,0,0,0.2,,RT-DETR-L did not provide target-cow crop
sample_0043,ScienceDB,BCS_3.75,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\R-i10959.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,244,0,862,576,detector_detected,pose_output_returned,451.79,39,0.1956,0.1644,25,14,0.2,,
sample_0044,ScienceDB,BCS_3.75,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_1499_8.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,210,0,715,576,detector_detected,pose_output_returned,465.31,39,0.0838,0.0547,37,2,0.2,,
sample_0045,ScienceDB,BCS_3.75,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_3294_5.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,115,0,701,576,detector_detected,pose_output_returned,446.19,39,0.0817,0.0595,36,3,0.2,,
sample_0046,ScienceDB,BCS_3.75,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\YM_1765_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,285,64,609,572,detector_detected,pose_output_returned,535.78,39,0.2082,0.1815,24,15,0.2,,
sample_0047,ScienceDB,BCS_3.75,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_281_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,,,,,not_run,upstream_localization_failure,0.0,0,,,0,0,0.2,,RT-DETR-L did not provide target-cow crop
sample_0048,ScienceDB,BCS_3.75,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\YM_252_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,316,1,786,575,detector_detected,pose_output_returned,487.11,39,0.1627,0.1064,23,16,0.2,,
sample_0049,ScienceDB,BCS_3.75,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_1460_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,0,0,859,576,detector_detected,pose_output_returned,525.61,39,0.0982,0.0784,36,3,0.2,,
sample_0050,ScienceDB,BCS_3.75,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\YM_262_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,403,0,802,575,detector_detected,pose_output_returned,514.13,39,0.1058,0.0787,33,6,0.2,,
sample_0051,ScienceDB,BCS_3.75,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\YM_301_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,514,0,867,575,detector_detected,pose_output_returned,542.81,39,0.1669,0.1209,25,14,0.2,,
sample_0052,ScienceDB,BCS_3.75,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\YM_654_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,492,0,882,575,detector_detected,pose_output_returned,513.09,39,0.1165,0.1059,34,5,0.2,,
sample_0053,ScienceDB,BCS_3.75,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\R-i7301.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,186,0,807,576,detector_detected,pose_output_returned,452.33,39,0.1881,0.1181,27,12,0.2,,
sample_0054,ScienceDB,BCS_3.75,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_1815_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,0,0,1024,576,detector_no_detection,pose_detector_failure,489.6,0,,,0,0,0.2,,SuperAnimal internal detector found 0 cows in crop
sample_0055,ScienceDB,BCS_3.75,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_3286_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,21,0,725,576,detector_no_detection,pose_detector_failure,433.88,0,,,0,0,0.2,,SuperAnimal internal detector found 0 cows in crop
sample_0056,ScienceDB,BCS_3.75,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_2597_8.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,,,,,not_run,upstream_localization_failure,0.0,0,,,0,0,0.2,,RT-DETR-L did not provide target-cow crop
sample_0057,ScienceDB,BCS_3.75,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_291_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,0,1,1024,576,detector_detected,pose_output_returned,531.3,39,0.0826,0.05,35,4,0.2,,
sample_0058,ScienceDB,BCS_3.75,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_1806_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,0,0,1024,576,detector_detected,pose_output_returned,532.24,39,0.1371,0.109,26,13,0.2,,
sample_0059,ScienceDB,BCS_3.75,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_2163_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,,,,,not_run,upstream_localization_failure,0.0,0,,,0,0,0.2,,RT-DETR-L did not provide target-cow crop
sample_0060,ScienceDB,BCS_3.75,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_55_3.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,0,0,1024,576,detector_detected,pose_output_returned,532.27,39,0.075,0.0522,37,2,0.2,,
sample_0061,ScienceDB,BCS_4.0,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_328_4.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,0,0,1024,576,detector_detected,pose_output_returned,533.67,39,0.1168,0.0641,30,9,0.2,,
sample_0062,ScienceDB,BCS_4.0,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_540_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,244,0,839,576,detector_no_detection,pose_detector_failure,404.51,0,,,0,0,0.2,,SuperAnimal internal detector found 0 cows in crop
sample_0063,ScienceDB,BCS_4.0,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_289_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,363,0,770,574,detector_detected,pose_output_returned,507.11,39,0.1069,0.0895,35,4,0.2,,
sample_0064,ScienceDB,BCS_4.0,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_1459_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,292,60,661,573,detector_detected,pose_output_returned,501.1,39,0.1118,0.0796,34,5,0.2,,
sample_0065,ScienceDB,BCS_4.0,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_1981_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,234,1,639,571,detector_detected,pose_output_returned,505.29,39,0.2077,0.1165,24,15,0.2,,
sample_0066,ScienceDB,BCS_4.0,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_853_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,0,1,1024,576,detector_detected,pose_output_returned,531.07,39,0.0732,0.0656,37,2,0.2,,
sample_0067,ScienceDB,BCS_4.0,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_1356_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,358,18,732,571,detector_detected,pose_output_returned,513.09,39,0.1149,0.087,32,7,0.2,,
sample_0068,ScienceDB,BCS_4.0,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_3041_4.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,204,0,800,576,detector_detected,pose_output_returned,446.37,39,0.1289,0.0699,31,8,0.2,,
sample_0069,ScienceDB,BCS_4.0,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_2821_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,69,0,1023,576,detector_no_detection,pose_detector_failure,507.99,0,,,0,0,0.2,,SuperAnimal internal detector found 0 cows in crop
sample_0070,ScienceDB,BCS_4.0,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\R-i7065.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,40,0,839,576,detector_detected,pose_output_returned,507.15,39,0.2072,0.1366,22,17,0.2,,
sample_0071,ScienceDB,BCS_4.0,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_1212_8.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,0,0,1024,576,detector_detected,pose_output_returned,533.18,39,0.0994,0.0786,34,5,0.2,,
sample_0072,ScienceDB,BCS_4.0,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_576_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,64,0,675,576,detector_detected,pose_output_returned,451.13,39,0.1012,0.0872,36,3,0.2,,
sample_0073,ScienceDB,BCS_4.0,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_1092_8.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,403,270,948,572,detector_no_detection,pose_detector_failure,484.54,0,,,0,0,0.2,,SuperAnimal internal detector found 0 cows in crop
sample_0074,ScienceDB,BCS_4.0,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_206_8.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,297,0,1021,575,detector_detected,pose_output_returned,480.85,39,0.098,0.0673,33,6,0.2,,
sample_0075,ScienceDB,BCS_4.0,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_3317_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,0,0,1024,576,detector_detected,pose_output_returned,531.83,39,0.1254,0.0748,29,10,0.2,,
sample_0076,ScienceDB,BCS_4.0,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_728_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,515,0,866,575,detector_detected,pose_output_returned,543.5,39,0.1845,0.1299,25,14,0.2,,
sample_0077,ScienceDB,BCS_4.0,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_1467_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,287,69,645,573,detector_detected,pose_output_returned,505.44,39,0.1263,0.1313,35,4,0.2,,
sample_0078,ScienceDB,BCS_4.0,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_472_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,0,0,956,576,detector_detected,pose_output_returned,547.45,39,0.0915,0.0614,33,6,0.2,,
sample_0079,ScienceDB,BCS_4.0,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_819_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,0,0,770,575,detector_detected,pose_output_returned,494.32,39,0.1685,0.1418,26,13,0.2,,
sample_0080,ScienceDB,BCS_4.0,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_2286_8.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,189,0,723,576,detector_detected,pose_output_returned,453.24,39,0.1207,0.1012,32,7,0.2,,
sample_0081,ScienceDB,BCS_4.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_500_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,268,0,795,576,detector_detected,pose_output_returned,458.91,39,0.1141,0.0744,34,5,0.2,,
sample_0082,ScienceDB,BCS_4.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\YM_1144_8.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,486,1,887,571,detector_detected,pose_output_returned,505.73,39,0.1566,0.0953,27,12,0.2,,
sample_0083,ScienceDB,BCS_4.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_2916_4.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,,,,,not_run,upstream_localization_failure,0.0,0,,,0,0,0.2,,RT-DETR-L did not provide target-cow crop
sample_0084,ScienceDB,BCS_4.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\YM_682_4.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,368,0,834,575,detector_detected,pose_output_returned,478.3,39,0.1687,0.1406,26,13,0.2,,
sample_0085,ScienceDB,BCS_4.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\YM_1201_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,420,0,904,575,detector_detected,pose_output_returned,470.23,39,0.1573,0.1425,27,12,0.2,,
sample_0086,ScienceDB,BCS_4.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_801_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,0,0,1024,576,detector_detected,pose_output_returned,531.28,39,0.0784,0.0492,36,3,0.2,,
