sample_id,dataset,ground_truth,pred8,pred5,conf,input_mode
vp2_0075,SideViewCows2026,side,back,rear,0.9645388722419739,rtdetr_crop
vp2_0076,SideViewCows2026,side,back,rear,0.8915254473686218,rtdetr_crop
vp2_0077,SideViewCows2026,side,back,rear,0.940658688545227,rtdetr_crop
vp2_0078,SideViewCows2026,side,back-left,rear-oblique,0.8521313667297363,rtdetr_crop
vp2_0079,SideViewCows2026,side,back-left,rear-oblique,0.931742250919342,rtdetr_crop
vp2_0080,SideViewCows2026,side,back-right,rear-oblique,0.534172773361206,rtdetr_crop
vp2_0081,SideViewCows2026,side,back-left,rear-oblique,0.6769332885742188,rtdetr_crop
vp2_0082,SideViewCows2026,side,back-left,rear-oblique,0.9921445250511169,rtdetr_crop
vp2_0083,SideViewCows2026,side,front-right,front-oblique,0.4933713674545288,rtdetr_crop
vp2_0084,SideViewCows2026,side,back-left,rear-oblique,0.7694730758666992,rtdetr_crop
vp2_0085,SideViewCows2026,side,back-left,rear-oblique,0.39482617378234863,rtdetr_crop
vp2_0086,SideViewCows2026,side,back,rear,0.9999912977218628,rtdetr_crop
vp2_0087,SideViewCows2026,side,back-left,rear-oblique,0.7651881575584412,rtdetr_crop
vp2_0088,SideViewCows2026,side,right,side,0.5982754826545715,rtdetr_crop
vp2_0089,SideViewCows2026,side,back,rear,0.992396891117096,rtdetr_crop
vp2_0090,SideViewCows2026,side,back-left,rear-oblique,0.85849529504776,rtdetr_crop
vp2_0091,SideViewCows2026,side,back-left,rear-oblique,0.9100809097290039,rtdetr_crop
vp2_0092,SideViewCows2026,side,front-right,front-oblique,0.999213695526123,rtdetr_crop
vp2_0093,SideViewCows2026,side,back-left,rear-oblique,0.8690053820610046,rtdetr_crop
vp2_0094,SideViewCows2026,side,back-left,rear-oblique,0.5162478089332581,rtdetr_crop
vp2_0095,SideViewCows2026,side,front,front,0.6068059206008911,rtdetr_crop
vp2_0096,SideViewCows2026,side,back-left,rear-oblique,0.895479142665863,rtdetr_crop
vp2_0097,SideViewCows2026,side,right,side,0.5750276446342468,rtdetr_crop
vp2_0098,SideViewCows2026,side,back-left,rear-oblique,0.7817503213882446,rtdetr_crop
vp2_0099,SideViewCows2026,side,back-right,rear-oblique,0.8312117457389832,rtdetr_crop
vp2_0100,SideViewCows2026,side,front-right,front-oblique,0.8309487700462341,rtdetr_crop
