sample_id,dataset,canonical_behavior,source_video_id,session_id,frame_index,image_width,image_height,cvb_gt_prompt_box,cvb_gt_mask_returned,cvb_gt_mask_status,cvb_gt_inference_time_ms,cvb_gt_mask_area_pixels,cvb_gt_mask_area_ratio,cvb_gt_mask_in_target_box_ratio_sanity,cvb_gt_num_connected_components,cvb_rtdetr_prompt_box,cvb_rtdetr_prompt_box_iou_with_gt,cvb_rtdetr_mask_returned,cvb_rtdetr_mask_status,cvb_rtdetr_inference_time_ms,cvb_rtdetr_mask_area_pixels,cvb_rtdetr_mask_area_ratio,cvb_rtdetr_mask_in_target_box_ratio_sanity,cvb_rtdetr_num_connected_components,beef_fullcrop_prompt_box,beef_mask_returned,beef_mask_status,beef_inference_time_ms,beef_mask_area_pixels,beef_mask_area_ratio,beef_num_connected_components
beef_24_2_clip_0,beef_cattle_behavior,Drinking,24,24,125,224,224,,,,,,,,,,,,,,,,,,"[0, 0, 223, 223]",False,sam_no_mask,178.43,0.0,0.0,0.0
beef_30_1_clip_0,beef_cattle_behavior,Drinking,30,30,125,224,224,,,,,,,,,,,,,,,,,,"[0, 0, 223, 223]",False,sam_no_mask,150.09,0.0,0.0,0.0
beef_99_2_clip_0,beef_cattle_behavior,Drinking,99,99,125,224,224,,,,,,,,,,,,,,,,,,"[0, 0, 223, 223]",False,sam_no_mask,148.4,0.0,0.0,0.0
beef_83_6_clip_0,beef_cattle_behavior,Drinking,83,83,125,224,224,,,,,,,,,,,,,,,,,,"[0, 0, 223, 223]",True,segmented,241.59,40163.0,0.8004,12.0
beef_149_3_clip_0,beef_cattle_behavior,Feeding,149,149,125,224,224,,,,,,,,,,,,,,,,,,"[0, 0, 223, 223]",False,sam_no_mask,161.08,0.0,0.0,0.0
beef_130_3_clip_0,beef_cattle_behavior,Feeding,130,130,125,224,224,,,,,,,,,,,,,,,,,,"[0, 0, 223, 223]",False,sam_no_mask,150.25,0.0,0.0,0.0
beef_180_2_clip_0,beef_cattle_behavior,Feeding,180,180,125,224,224,,,,,,,,,,,,,,,,,,"[0, 0, 223, 223]",True,segmented,151.8,16620.0,0.3312,144.0
beef_162_2_clip_0,beef_cattle_behavior,Feeding,162,162,125,224,224,,,,,,,,,,,,,,,,,,"[0, 0, 223, 223]",False,sam_no_mask,150.99,0.0,0.0,0.0
beef_172_4_clip_0,beef_cattle_behavior,Feeding,172,172,125,224,224,,,,,,,,,,,,,,,,,,"[0, 0, 223, 223]",False,sam_no_mask,148.08,0.0,0.0,0.0
beef_00000000082000000_77_clip_85,beef_cattle_behavior,Lying,82000000,82000000,125,224,224,,,,,,,,,,,,,,,,,,"[0, 0, 223, 223]",True,segmented,150.71,29453.0,0.587,46.0
beef_00000000109000000_4_clip_105,beef_cattle_behavior,Lying,109000000,109000000,125,224,224,,,,,,,,,,,,,,,,,,"[0, 0, 223, 223]",True,segmented,152.51,22917.0,0.4567,72.0
beef_00000000111000000_2_clip_113,beef_cattle_behavior,Lying,111000000,111000000,125,224,224,,,,,,,,,,,,,,,,,,"[0, 0, 223, 223]",True,segmented,151.31,7589.0,0.1512,81.0
beef_00000000580000000_2_clip_3,beef_cattle_behavior,Lying,580000000,580000000,125,224,224,,,,,,,,,,,,,,,,,,"[0, 0, 223, 223]",True,segmented,149.84,20758.0,0.4137,142.0
beef_00000000082000000_77_clip_81,beef_cattle_behavior,Lying,82000000,82000000,125,224,224,,,,,,,,,,,,,,,,,,"[0, 0, 223, 223]",True,segmented,149.62,5373.0,0.1071,180.0
beef_89_3_clip_0,beef_cattle_behavior,Standing,89,89,125,224,224,,,,,,,,,,,,,,,,,,"[0, 0, 223, 223]",True,segmented,149.58,10617.0,0.2116,78.0
beef_191_2_clip_0,beef_cattle_behavior,Standing,191,191,125,224,224,,,,,,,,,,,,,,,,,,"[0, 0, 223, 223]",True,segmented,149.97,9259.0,0.1845,233.0
beef_190_2_clip_0,beef_cattle_behavior,Standing,190,190,125,224,224,,,,,,,,,,,,,,,,,,"[0, 0, 223, 223]",False,sam_no_mask,152.46,0.0,0.0,0.0
beef_20_5_clip_0,beef_cattle_behavior,Standing,20,20,125,224,224,,,,,,,,,,,,,,,,,,"[0, 0, 223, 223]",True,segmented,149.16,26743.0,0.533,195.0
beef_119_2_clip_0,beef_cattle_behavior,Standing,119,119,125,224,224,,,,,,,,,,,,,,,,,,"[0, 0, 223, 223]",False,sam_no_mask,153.71,0.0,0.0,0.0
