sample_id,dataset,source_image_path,category_or_subset,provenance_group,agent_viewpoint,agent_confidence,agent_notes,review_status
vp2_0032,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\R-i3630.jpg,BCS_3.75,STEREO_blk_72,rear,high,Caudal rear view in chute,agent_labeled_pending_chatgpt_crosscheck
vp2_0033,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\L-i6293.jpg,BCS_4.0,STEREO_blk_125,rear,high,Caudal rear view in chute,agent_labeled_pending_chatgpt_crosscheck
vp2_0034,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\R-i11023.jpg,BCS_4.25,STEREO_blk_220,rear-oblique,high,Rear-oblique view in chute,agent_labeled_pending_chatgpt_crosscheck
vp2_0035,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\7\1690305476_12-17-56_2_2.jpg,Behavior_Lying,cow_2_cam_2,unknown / ambiguous,medium,Lying cow severely occluded by stall partition pipes,agent_labeled_pending_chatgpt_crosscheck
vp2_0036,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\7\1690284566_06-29-26_9_4.jpg,Behavior_Lying,cow_9_cam_4,side,medium,"Lying cow in stall, lateral broadside orientation through bars",agent_labeled_pending_chatgpt_crosscheck
vp2_0037,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\7\1690316036_15-13-56_1_2.jpg,Behavior_Lying,cow_1_cam_2,side,medium,"Lying cow in stall, lateral broadside orientation",agent_labeled_pending_chatgpt_crosscheck
vp2_0038,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\7\1690298591_10-23-11_11_2.jpg,Behavior_Lying,cow_11_cam_2,front-oblique,medium,"Top-down view of lying cow, head and front body angled toward camera",agent_labeled_pending_chatgpt_crosscheck
vp2_0039,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\7\1690330451_19-14-11_3_3.jpg,Behavior_Lying,cow_3_cam_3,unknown / ambiguous,high,"Severe occlusion by stall bars, orientation indeterminable",agent_labeled_pending_chatgpt_crosscheck
vp2_0040,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\2\1690300991_11-03-11_5_2.jpg,Behavior_Standing,cow_5_cam_2,side,high,"Standing cow in barn, clear lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0041,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\2\1690294136_09-08-56_16_1.jpg,Behavior_Standing,cow_16_cam_1,front-oblique,medium,"Standing cow behind stall pipes, front-oblique angle",agent_labeled_pending_chatgpt_crosscheck
vp2_0042,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\2\1690329146_18-52-26_8_4.jpg,Behavior_Standing,cow_8_cam_4,side,high,"Standing cow behind bars, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0043,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\2\1690309196_13-19-56_8_2.jpg,Behavior_Standing,cow_8_cam_2,side,high,"Standing cow behind railings, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0044,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\2\1690338086_21-21-26_13_4.jpg,Behavior_Standing,cow_13_cam_4,unknown / ambiguous,high,"Extreme crop showing only blurred back/withers, orientation indeterminable",agent_labeled_pending_chatgpt_crosscheck
vp2_0045,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\4\1690296266_09-44-26_1_2.jpg,Behavior_Feeding_head_down,cow_1_cam_2,rear-oblique,medium,"Cow feeding with head down, viewed from behind at three-quarter angle",agent_labeled_pending_chatgpt_crosscheck
vp2_0046,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\4\1690276976_04-22-56_10_4.jpg,Behavior_Feeding_head_down,cow_10_cam_4,side,high,Clear lateral broadside view of standing cow,agent_labeled_pending_chatgpt_crosscheck
vp2_0047,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\4\1690314836_14-53-56_5_2.jpg,Behavior_Feeding_head_down,cow_5_cam_2,side,high,"Standing cow, dominant lateral broadside orientation",agent_labeled_pending_chatgpt_crosscheck
vp2_0048,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\4\1690329821_19-03-41_12_4.jpg,Behavior_Feeding_head_down,cow_12_cam_4,front-oblique,medium,"Cow feeding head down, front-oblique orientation at feed bunk",agent_labeled_pending_chatgpt_crosscheck
vp2_0049,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\4\1690302596_11-29-56_8_2.jpg,Behavior_Feeding_head_down,cow_8_cam_2,side,high,"Standing cow, clear lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0050,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\3\1690346081_23-34-41_2_1.jpg,Behavior_Feeding_head_up,cow_2_cam_1,side,high,"Standing cow, clear lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0051,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\3\1690334996_20-29-56_3_4.jpg,Behavior_Feeding_head_up,cow_3_cam_4,side,high,"Standing cow, lateral broadside orientation",agent_labeled_pending_chatgpt_crosscheck
vp2_0052,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\3\1690309811_13-30-11_13_4.jpg,Behavior_Feeding_head_up,cow_13_cam_4,side,high,"Standing cow at feed bunk, clear lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0053,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\3\1690328666_18-44-26_12_4.jpg,Behavior_Feeding_head_up,cow_12_cam_4,side,high,"Standing cow, clear lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0054,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\3\1690273361_03-22-41_13_1.jpg,Behavior_Feeding_head_up,cow_13_cam_1,side,medium,"Multiple cows, target cow in lateral side orientation",agent_labeled_pending_chatgpt_crosscheck
vp2_0055,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\1\1690320071_16-21-11_9_2.jpg,Behavior_Walking,cow_9_cam_2,side,high,"Standing cow, clear lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0056,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\1\1690274411_03-40-11_9_4.jpg,Behavior_Walking,cow_9_cam_4,side,high,"Standing cow, lateral broadside view with secondary cow",agent_labeled_pending_chatgpt_crosscheck
vp2_0057,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\1\1690289531_07-52-11_5_2.jpg,Behavior_Walking,cow_5_cam_2,front-oblique,high,"Cow feeding with head down, front-oblique perspective",agent_labeled_pending_chatgpt_crosscheck
vp2_0058,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\1\1690273496_03-24-56_13_2.jpg,Behavior_Walking,cow_13_cam_2,side,high,"Standing cow behind railings, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0059,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\1\1690300016_10-46-56_10_1.jpg,Behavior_Walking,cow_10_cam_1,side,medium,"Cow behind railing, lateral side orientation",agent_labeled_pending_chatgpt_crosscheck
vp2_0060,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\6\1690301786_11-16-26_10_3.jpg,Behavior_Drinking,cow_10_cam_3,rear-oblique,high,"Cow drinking at yellow water trough, rear-oblique orientation",agent_labeled_pending_chatgpt_crosscheck
vp2_0061,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\6\1690305881_12-24-41_6_1.jpg,Behavior_Drinking,cow_6_cam_1,side,high,"Cow drinking from trough, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0062,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\6\1690326401_18-06-41_3_3.jpg,Behavior_Drinking,cow_3_cam_3,side,high,"Cow behind railing, lateral side view",agent_labeled_pending_chatgpt_crosscheck
vp2_0063,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\6\1690327586_18-26-26_15_2.jpg,Behavior_Drinking,cow_15_cam_2,rear-oblique,medium,"Cow licking in stall, three-quarter rear view behind rails",agent_labeled_pending_chatgpt_crosscheck
vp2_0064,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\5\1690282796_05-59-56_7_1.jpg,Behavior_Licking,cow_7_cam_1,rear-oblique,high,High-angle view from behind/above showing spine and flank,agent_labeled_pending_chatgpt_crosscheck
vp2_0065,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\5\1690328831_18-47-11_7_4.jpg,Behavior_Licking,cow_7_cam_4,side,high,"Lying cow in stall, lateral broadside orientation",agent_labeled_pending_chatgpt_crosscheck
vp2_0066,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\5\1690340261_21-57-41_15_3.jpg,Behavior_Licking,cow_15_cam_3,side,high,"Standing cow, clear lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0067,MmCows,D:\cattle-health-monitoring-multi-task-model\datasets\behavior\mmcows\cropped_bboxes\behaviors\5\1690282391_05-53-11_7_3.jpg,Behavior_Licking,cow_7_cam_3,side,high,"Standing cow, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0068,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\parlor\images\975\975_0183.jpg,ReID_parlor,parlor_cow_0975_sess_007,side,high,"Cow in milking parlor stall, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0069,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\parlor\images\355\355_0372.jpg,ReID_parlor,parlor_cow_0355_sess_032,side,high,"Cow in milking parlor stall, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0070,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\parlor\images\737\737_0132.jpg,ReID_parlor,parlor_cow_0737_sess_008,side,high,"Cow in milking parlor stall, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0071,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\parlor\images\958\958_0178.jpg,ReID_parlor,parlor_cow_0958_sess_009,side,high,"Cow in parlor stall, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0072,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\parlor\images\680\680_0155.jpg,ReID_parlor,parlor_cow_0680_sess_007,side,high,"Cow in parlor stall, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0073,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\parlor\images\323\323_0050.jpg,ReID_parlor,parlor_cow_0323_sess_003,side,high,"Cow in parlor, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0074,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\parlor\images\488\488_1058.jpg,ReID_parlor,parlor_cow_0488_sess_059,side,high,"Cow in parlor stall, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0075,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\parlor\images\934\934_0298.jpg,ReID_parlor,parlor_cow_0934_sess_019,side,high,"Cow in parlor stall, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0076,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\parlor\images\733\733_0190.jpg,ReID_parlor,parlor_cow_0733_sess_015,side,high,"Cow in parlor stall, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0077,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\parlor\images\962\962_0113.jpg,ReID_parlor,parlor_cow_0962_sess_008,side,high,"Cow in parlor stall, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0078,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\parlor\images\544\544_0057.jpg,ReID_parlor,parlor_cow_0544_sess_004,side,high,"Cow in parlor, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0079,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\parlor\images\887\887_0366.jpg,ReID_parlor,parlor_cow_0887_sess_018,side,high,"Cow in parlor stall, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0080,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\parlor\images\700\700_0490.jpg,ReID_parlor,parlor_cow_0700_sess_027,side,high,"Cow in parlor/barn pen, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0081,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\barn\images\680\680_0227.jpg,ReID_barn,barn_cow_0680_sess_001,side,high,"Cow on straw bedding, clear lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0082,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\barn\images\684\684_0243.jpg,ReID_barn,barn_cow_0684_sess_001,side,high,"Cow on slatted floor, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0083,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\barn\images\559\559_0015.jpg,ReID_barn,barn_cow_0559_sess_001,side,high,"Close-up of cow torso, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0084,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\barn\images\436\436_0193.jpg,ReID_barn,barn_cow_0436_sess_001,rear-oblique,high,"Cow lying in cubicle, rear-oblique high angle view",agent_labeled_pending_chatgpt_crosscheck
vp2_0085,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\barn\images\594\594_0847.jpg,ReID_barn,barn_cow_0594_sess_002,side,high,"Cow in barn alley, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0086,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\barn\images\826\826_0280.jpg,ReID_barn,barn_cow_0826_sess_001,side,high,"Cow behind rail, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0087,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\barn\images\475\475_0091.jpg,ReID_barn,barn_cow_0475_sess_001,side,high,"Standing cow with head turned toward camera, dominant whole-body orientation is side",agent_labeled_pending_chatgpt_crosscheck
vp2_0088,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\barn\images\128\128_0078.jpg,ReID_barn,barn_cow_0128_sess_001,side,high,"Standing cow, clear lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0089,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\barn\images\207\207_0156.jpg,ReID_barn,barn_cow_0207_sess_001,side,high,"Standing cow, clear lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0090,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\barn\images\345\345_0146.jpg,ReID_barn,barn_cow_0345_sess_001,side,high,"Standing cow, clear lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0091,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\barn\images\503\503_0154.jpg,ReID_barn,barn_cow_0503_sess_001,side,high,"Cow in barn alley, clear lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0092,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\barn\images\217\217_0081.jpg,ReID_barn,barn_cow_0217_sess_001,side,high,"Cow in barn, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0093,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\barn\images\733\733_0054.jpg,ReID_barn,barn_cow_0733_sess_001,side,high,"Cow in stall, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0094,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\snapshots\images\192\192_0004.jpg,ReID_snapshots,snap_cow_0192_sess_002,side,high,"Standing cow on slatted floor, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0095,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\snapshots\images\621\621_0007.jpg,ReID_snapshots,snap_cow_0621_sess_004,side,high,"Standing cow in barn, lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0096,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\snapshots\images\374\374_0025.jpg,ReID_snapshots,snap_cow_0374_sess_005,side,high,"Cow in pen, clear lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
vp2_0097,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\snapshots\images\871\871_0006.jpg,ReID_snapshots,snap_cow_0871_sess_001,side,medium,"Partial crop of flank, udder and rear leg in side profile",agent_labeled_pending_chatgpt_crosscheck
vp2_0098,SideViewCows2026,D:\cattle-health-monitoring-multi-task-model\datasets\id\external\sideviewcows2026\snapshots\images\128\128_0011.jpg,ReID_snapshots,snap_cow_0128_sess_004,side,high,"Standing cow on slatted floor, clear lateral broadside view",agent_labeled_pending_chatgpt_crosscheck
