sample_id,dataset,canonical_behavior,source_video_id,session_id,frame_index,image_width,image_height,num_cattle_detections,highest_cattle_confidence,detection_status,inference_time_ms,gt_status,target_gt_bbox,target_best_iou,target_overlap_flag,matched_detection_conf,max_box_area_ratio,no_detection_flag
cvb_1148_arm01_gopro1_20200327_023932_beh8_ani1_ins1_cut_00001_tr3_seg0,cvb,Lying,arm01_gopro1_20200327_023932,1148_arm01_gopro1_20200327_023932_beh8_ani1_ins1_cut_00001,225,1920,1080,13,0.9051,detected,61.68,available,"[746.0, 513.0, 799.0, 552.0]",0.925,True,0.8488,0.0021,False
cvb_1271_arm01_gopro3_20200326_032013_beh4_ani4_ins1_cut_00009_tr2_seg0,cvb,Lying,arm01_gopro3_20200326_032013,1271_arm01_gopro3_20200326_032013_beh4_ani4_ins1_cut_00009,225,1920,1080,14,0.9566,detected,62.15,available,"[520.0, 279.0, 625.0, 351.0]",0.9505,True,0.8862,0.2956,False
cvb_1351_arm01_gopro4_20200324_040135_beh3_ani3_ins1_cut_00083_tr4_seg0,cvb,Lying,arm01_gopro4_20200324_040135,1351_arm01_gopro4_20200324_040135_beh3_ani3_ins1_cut_00083,223,1920,1080,19,0.8482,detected,61.64,available,"[1479.0, 515.0, 1645.0, 589.0]",0.8064,True,0.5143,0.0105,False
cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00065_tr6_seg0,cvb,Lying,arm01_gopro4_20200323_035752,1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00065,225,1920,1080,17,0.8867,detected,61.54,available,"[626.7, 507.1, 733.5, 557.0]",0.8738,True,0.8531,0.0028,False
cvb_0238_arm01_gopro1_20200323_023342_beh4_ani8_ins1_cut_19_tr1_seg0,cvb,Lying,arm01_gopro1_20200323_023342,0238_arm01_gopro1_20200323_023342_beh4_ani8_ins1_cut_19,225,1920,1080,12,0.9386,detected,62.12,available,"[239.0, 590.0, 416.0, 716.0]",0.9597,True,0.8786,0.1412,False
cvb_0577_arm01_gopro1_20200324_225131_beh7_ani5_ins1_cut_1_tr7_seg0,cvb,Standing,arm01_gopro1_20200324_225131,0577_arm01_gopro1_20200324_225131_beh7_ani5_ins1_cut_1,135,1920,1080,13,0.9345,detected,63.27,available,"[1175.0, 478.0, 1378.0, 756.0]",0.9806,True,0.919,0.1531,False
cvb_0198_arm01_gopro1_20200323_023342_beh5_ani2_ins1_cut_1_tr5_seg0,cvb,Standing,arm01_gopro1_20200323_023342,0198_arm01_gopro1_20200323_023342_beh5_ani2_ins1_cut_1,225,1920,1080,12,0.9292,detected,65.24,available,"[1220.0, 581.0, 1339.0, 914.0]",0.5881,True,0.8587,0.0387,False
cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00023_tr5_seg0,cvb,Standing,arm01_gopro4_20200323_035752,1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00023,225,1920,1080,18,0.8718,detected,70.85,available,"[747.0, 459.0, 785.0, 510.0]",0.6332,True,0.436,0.0029,False
cvb_0051_arm01_gopro1_20200322_235424_beh8_ani1_ins2_cut_2_tr2_seg0,cvb,Standing,arm01_gopro1_20200322_235424,0051_arm01_gopro1_20200322_235424_beh8_ani1_ins2_cut_2,7,1920,1080,13,0.9408,detected,63.89,available,"[1194.0, 558.0, 1498.0, 909.0]",0.9654,True,0.9213,0.051,False
cvb_0561_arm01_gopro1_20200324_223349+0000_beh7_ani8_ins1_cut_1_tr4_seg0,cvb,Standing,arm01_gopro1_20200324_223349+0000,0561_arm01_gopro1_20200324_223349+0000_beh7_ani8_ins1_cut_1,8,1920,1080,8,0.9539,detected,62.99,available,"[223.0, 504.0, 817.0, 939.0]",0.8428,True,0.9539,0.1479,False
cvb_1014_arm01_gopro1_20200327_005320_beh7_ani3_ins1_cut_00001_tr7_seg0,cvb,Walking,arm01_gopro1_20200327_005320,1014_arm01_gopro1_20200327_005320_beh7_ani3_ins1_cut_00001,398,1920,1080,16,0.9307,detected,64.55,available,"[368.0, 572.0, 770.0, 950.0]",0.9229,True,0.9228,0.1802,False
cvb_0826_arm01_gopro1_20200325_234030_beh7_ani8_ins1_cut_2_tr18_seg0,cvb,Walking,arm01_gopro1_20200325_234030,0826_arm01_gopro1_20200325_234030_beh7_ani8_ins1_cut_2,410,1920,1080,11,0.9436,detected,63.04,available,"[389.0, 458.0, 911.0, 855.0]",0.8264,True,0.9436,0.0832,False
cvb_1333_arm01_gopro4_20200323_035752_beh4_ani2_ins1_cut_00046_tr9_seg0,cvb,Walking,arm01_gopro4_20200323_035752,1333_arm01_gopro4_20200323_035752_beh4_ani2_ins1_cut_00046,250,1920,1080,17,0.8768,detected,63.21,available,"[1269.0, 451.0, 1334.0, 496.0]",0.5826,True,0.7871,0.0028,False
cvb_0400_arm01_gopro1_20200324_005347_beh7_ani2_ins1_cut_3_tr9_seg0,cvb,Walking,arm01_gopro1_20200324_005347,0400_arm01_gopro1_20200324_005347_beh7_ani2_ins1_cut_3,203,1920,1080,15,0.9543,detected,63.77,available,"[147.0, 523.0, 268.0, 765.0]",0.4404,True,0.8397,0.0668,False
cvb_0566_arm01_gopro1_20200324_225131_beh7_ani1_ins1_cut_1_tr9_seg0,cvb,Walking,arm01_gopro1_20200324_225131,0566_arm01_gopro1_20200324_225131_beh7_ani1_ins1_cut_1,195,1920,1080,11,0.9555,detected,69.07,available,"[821.0, 470.0, 997.0, 614.0]",0.7179,True,0.872,0.2473,False
beef_31_1_clip_0,beef_cattle_behavior,Drinking,31,31,125,224,224,5,0.9635,detected,4279.58,no_gt_single_cow_crop,NA,,,,0.7311,False
beef_24_2_clip_0,beef_cattle_behavior,Drinking,24,24,125,224,224,3,0.9527,detected,63.68,no_gt_single_cow_crop,NA,,,,0.8906,False
beef_30_1_clip_0,beef_cattle_behavior,Drinking,30,30,125,224,224,3,0.9586,detected,60.96,no_gt_single_cow_crop,NA,,,,0.7843,False
beef_99_2_clip_0,beef_cattle_behavior,Drinking,99,99,125,224,224,3,0.9564,detected,61.54,no_gt_single_cow_crop,NA,,,,0.843,False
beef_83_6_clip_0,beef_cattle_behavior,Drinking,83,83,125,224,224,5,0.4141,detected,60.86,no_gt_single_cow_crop,NA,,,,0.8562,False
beef_149_3_clip_0,beef_cattle_behavior,Feeding,149,149,125,224,224,7,0.9003,detected,61.24,no_gt_single_cow_crop,NA,,,,0.7463,False
beef_130_3_clip_0,beef_cattle_behavior,Feeding,130,130,125,224,224,9,0.7631,detected,61.03,no_gt_single_cow_crop,NA,,,,0.8576,False
beef_180_2_clip_0,beef_cattle_behavior,Feeding,180,180,125,224,224,8,0.923,detected,61.03,no_gt_single_cow_crop,NA,,,,0.7352,False
beef_162_2_clip_0,beef_cattle_behavior,Feeding,162,162,125,224,224,8,0.9454,detected,60.87,no_gt_single_cow_crop,NA,,,,0.7301,False
beef_172_4_clip_0,beef_cattle_behavior,Feeding,172,172,125,224,224,5,0.5554,detected,60.9,no_gt_single_cow_crop,NA,,,,0.7283,False
beef_00000000082000000_77_clip_85,beef_cattle_behavior,Lying,82000000,82000000,125,224,224,1,0.7895,detected,60.88,no_gt_single_cow_crop,NA,,,,0.5772,False
beef_00000000109000000_4_clip_105,beef_cattle_behavior,Lying,109000000,109000000,125,224,224,2,0.3578,detected,60.69,no_gt_single_cow_crop,NA,,,,0.093,False
beef_00000000111000000_2_clip_113,beef_cattle_behavior,Lying,111000000,111000000,125,224,224,3,0.6519,detected,59.04,no_gt_single_cow_crop,NA,,,,0.6026,False
beef_00000000580000000_2_clip_3,beef_cattle_behavior,Lying,580000000,580000000,125,224,224,0,0.0,no_detection,56.24,no_gt_single_cow_crop,NA,,,,0.0,True
beef_00000000082000000_77_clip_81,beef_cattle_behavior,Lying,82000000,82000000,125,224,224,7,0.4138,detected,56.43,no_gt_single_cow_crop,NA,,,,0.5055,False
beef_89_3_clip_0,beef_cattle_behavior,Standing,89,89,125,224,224,1,0.9544,detected,55.76,no_gt_single_cow_crop,NA,,,,0.6331,False
beef_191_2_clip_0,beef_cattle_behavior,Standing,191,191,125,224,224,8,0.9669,detected,48.71,no_gt_single_cow_crop,NA,,,,0.7102,False
beef_190_2_clip_0,beef_cattle_behavior,Standing,190,190,125,224,224,5,0.9651,detected,48.66,no_gt_single_cow_crop,NA,,,,0.7159,False
beef_20_5_clip_0,beef_cattle_behavior,Standing,20,20,125,224,224,5,0.5359,detected,48.85,no_gt_single_cow_crop,NA,,,,0.7571,False
beef_119_2_clip_0,beef_cattle_behavior,Standing,119,119,125,224,224,2,0.9469,detected,48.95,no_gt_single_cow_crop,NA,,,,0.8597,False
