sample_id,dataset,dataset_role,image_path,mask_path,category_or_subset,burst_or_session,metadata
sample_0016,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_1499_8.jpg,,BCS_3.75,GS_burst_0556,"{""bcs_label"": 3.75, ""burst_group_id"": ""GS_burst_0556"", ""original_passage_id"": ""GS_1499"", ""farm_source"": ""GS_Gansu""}"
sample_0017,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_3294_5.jpg,,BCS_3.75,GS_burst_2542,"{""bcs_label"": 3.75, ""burst_group_id"": ""GS_burst_2542"", ""original_passage_id"": ""GS_3294"", ""farm_source"": ""GS_Gansu""}"
sample_0018,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\YM_1765_2.jpg,,BCS_3.75,YM_burst_0850,"{""bcs_label"": 3.75, ""burst_group_id"": ""YM_burst_0850"", ""original_passage_id"": ""YM_1765"", ""farm_source"": ""YM_Farm2""}"
sample_0019,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_328_4.jpg,,BCS_4.0,GS_burst_2526,"{""bcs_label"": 4.0, ""burst_group_id"": ""GS_burst_2526"", ""original_passage_id"": ""GS_328"", ""farm_source"": ""GS_Gansu""}"
sample_0020,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_540_2.jpg,,BCS_4.0,GS_burst_2830,"{""bcs_label"": 4.0, ""burst_group_id"": ""GS_burst_2830"", ""original_passage_id"": ""GS_540"", ""farm_source"": ""GS_Gansu""}"
sample_0021,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_289_1.jpg,,BCS_4.0,YM_burst_1266,"{""bcs_label"": 4.0, ""burst_group_id"": ""YM_burst_1266"", ""original_passage_id"": ""YM_289"", ""farm_source"": ""YM_Farm2""}"
sample_0022,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_1459_2.jpg,,BCS_4.0,YM_burst_0511,"{""bcs_label"": 4.0, ""burst_group_id"": ""YM_burst_0511"", ""original_passage_id"": ""YM_1459"", ""farm_source"": ""YM_Farm2""}"
sample_0023,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_1981_1.jpg,,BCS_4.0,YM_burst_1089,"{""bcs_label"": 4.0, ""burst_group_id"": ""YM_burst_1089"", ""original_passage_id"": ""YM_1981"", ""farm_source"": ""YM_Farm2""}"
sample_0024,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_853_2.jpg,,BCS_4.0,GS_burst_3177,"{""bcs_label"": 4.0, ""burst_group_id"": ""GS_burst_3177"", ""original_passage_id"": ""GS_853"", ""farm_source"": ""GS_Gansu""}"
sample_0025,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_500_2.jpg,,BCS_4.25,GS_burst_2786,"{""bcs_label"": 4.25, ""burst_group_id"": ""GS_burst_2786"", ""original_passage_id"": ""GS_500"", ""farm_source"": ""GS_Gansu""}"
sample_0026,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\YM_1144_8.jpg,,BCS_4.25,YM_burst_0163,"{""bcs_label"": 4.25, ""burst_group_id"": ""YM_burst_0163"", ""original_passage_id"": ""YM_1144"", ""farm_source"": ""YM_Farm2""}"
sample_0027,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_2916_4.jpg,,BCS_4.25,GS_burst_2122,"{""bcs_label"": 4.25, ""burst_group_id"": ""GS_burst_2122"", ""original_passage_id"": ""GS_2916"", ""farm_source"": ""GS_Gansu""}"
sample_0028,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\YM_682_4.jpg,,BCS_4.25,YM_burst_1703,"{""bcs_label"": 4.25, ""burst_group_id"": ""YM_burst_1703"", ""original_passage_id"": ""YM_682"", ""farm_source"": ""YM_Farm2""}"
sample_0029,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\YM_1201_1.jpg,,BCS_4.25,YM_burst_0227,"{""bcs_label"": 4.25, ""burst_group_id"": ""YM_burst_0227"", ""original_passage_id"": ""YM_1201"", ""farm_source"": ""YM_Farm2""}"
sample_0030,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_801_2.jpg,,BCS_4.25,GS_burst_3120,"{""bcs_label"": 4.25, ""burst_group_id"": ""GS_burst_3120"", ""original_passage_id"": ""GS_801"", ""farm_source"": ""GS_Gansu""}"
sample_0031,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690305476_12-17-56_2_2.jpg,,Behavior_Lying,cow_2_cam_2,"{""behavior"": ""Lying"", ""cow_id"": 2, ""camera_id"": 2, ""timestamp_iso"": ""2023-07-25T17:17:56Z""}"
sample_0032,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690315496_15-04-56_3_2.jpg,,Behavior_Lying,cow_3_cam_2,"{""behavior"": ""Lying"", ""cow_id"": 3, ""camera_id"": 2, ""timestamp_iso"": ""2023-07-25T20:04:56Z""}"
sample_0033,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690294961_09-22-41_13_1.jpg,,Behavior_Lying,cow_13_cam_1,"{""behavior"": ""Lying"", ""cow_id"": 13, ""camera_id"": 1, ""timestamp_iso"": ""2023-07-25T14:22:41Z""}"
sample_0034,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690310816_13-46-56_1_4.jpg,,Behavior_Lying,cow_1_cam_4,"{""behavior"": ""Lying"", ""cow_id"": 1, ""camera_id"": 4, ""timestamp_iso"": ""2023-07-25T18:46:56Z""}"
sample_0035,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690344881_23-14-41_6_3.jpg,,Behavior_Lying,cow_6_cam_3,"{""behavior"": ""Lying"", ""cow_id"": 6, ""camera_id"": 3, ""timestamp_iso"": ""2023-07-26T04:14:41Z""}"
sample_0036,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/2/1690281116_05-31-56_2_4.jpg,,Behavior_Standing,cow_2_cam_4,"{""behavior"": ""Standing"", ""cow_id"": 2, ""camera_id"": 4, ""timestamp_iso"": ""2023-07-25T10:31:56Z""}"
sample_0037,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/2/1690309196_13-19-56_8_2.jpg,,Behavior_Standing,cow_8_cam_2,"{""behavior"": ""Standing"", ""cow_id"": 8, ""camera_id"": 2, ""timestamp_iso"": ""2023-07-25T18:19:56Z""}"
sample_0038,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/2/1690300991_11-03-11_5_2.jpg,,Behavior_Standing,cow_5_cam_2,"{""behavior"": ""Standing"", ""cow_id"": 5, ""camera_id"": 2, ""timestamp_iso"": ""2023-07-25T16:03:11Z""}"
sample_0039,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/2/1690290731_08-12-11_6_2.jpg,,Behavior_Standing,cow_6_cam_2,"{""behavior"": ""Standing"", ""cow_id"": 6, ""camera_id"": 2, ""timestamp_iso"": ""2023-07-25T13:12:11Z""}"
sample_0040,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/2/1690320956_16-35-56_5_2.jpg,,Behavior_Standing,cow_5_cam_2,"{""behavior"": ""Standing"", ""cow_id"": 5, ""camera_id"": 2, ""timestamp_iso"": ""2023-07-25T21:35:56Z""}"
sample_0041,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/4/1690305056_12-10-56_9_1.jpg,,Behavior_Feeding_head_down,cow_9_cam_1,"{""behavior"": ""Feeding_head_down"", ""cow_id"": 9, ""camera_id"": 1, ""timestamp_iso"": ""2023-07-25T17:10:56Z""}"
sample_0042,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/4/1690276976_04-22-56_10_4.jpg,,Behavior_Feeding_head_down,cow_10_cam_4,"{""behavior"": ""Feeding_head_down"", ""cow_id"": 10, ""camera_id"": 4, ""timestamp_iso"": ""2023-07-25T09:22:56Z""}"
sample_0043,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/4/1690328756_18-45-56_5_2.jpg,,Behavior_Feeding_head_down,cow_5_cam_2,"{""behavior"": ""Feeding_head_down"", ""cow_id"": 5, ""camera_id"": 2, ""timestamp_iso"": ""2023-07-25T23:45:56Z""}"
sample_0044,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/4/1690322636_17-03-56_5_4.jpg,,Behavior_Feeding_head_down,cow_5_cam_4,"{""behavior"": ""Feeding_head_down"", ""cow_id"": 5, ""camera_id"": 4, ""timestamp_iso"": ""2023-07-25T22:03:56Z""}"
sample_0045,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/4/1690311131_13-52-11_9_1.jpg,,Behavior_Feeding_head_down,cow_9_cam_1,"{""behavior"": ""Feeding_head_down"", ""cow_id"": 9, ""camera_id"": 1, ""timestamp_iso"": ""2023-07-25T18:52:11Z""}"
sample_0046,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/3/1690296671_09-51-11_12_2.jpg,,Behavior_Feeding_head_up,cow_12_cam_2,"{""behavior"": ""Feeding_head_up"", ""cow_id"": 12, ""camera_id"": 2, ""timestamp_iso"": ""2023-07-25T14:51:11Z""}"
sample_0047,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/3/1690334996_20-29-56_3_4.jpg,,Behavior_Feeding_head_up,cow_3_cam_4,"{""behavior"": ""Feeding_head_up"", ""cow_id"": 3, ""camera_id"": 4, ""timestamp_iso"": ""2023-07-26T01:29:56Z""}"
sample_0048,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/3/1690284401_06-26-41_4_3.jpg,,Behavior_Feeding_head_up,cow_4_cam_3,"{""behavior"": ""Feeding_head_up"", ""cow_id"": 4, ""camera_id"": 3, ""timestamp_iso"": ""2023-07-25T11:26:41Z""}"
sample_0049,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/3/1690329251_18-54-11_12_1.jpg,,Behavior_Feeding_head_up,cow_12_cam_1,"{""behavior"": ""Feeding_head_up"", ""cow_id"": 12, ""camera_id"": 1, ""timestamp_iso"": ""2023-07-25T23:54:11Z""}"
sample_0050,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/3/1690285901_06-51-41_4_1.jpg,,Behavior_Feeding_head_up,cow_4_cam_1,"{""behavior"": ""Feeding_head_up"", ""cow_id"": 4, ""camera_id"": 1, ""timestamp_iso"": ""2023-07-25T11:51:41Z""}"
sample_0051,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/1/1690321076_16-37-56_16_4.jpg,,Behavior_Walking,cow_16_cam_4,"{""behavior"": ""Walking"", ""cow_id"": 16, ""camera_id"": 4, ""timestamp_iso"": ""2023-07-25T21:37:56Z""}"
sample_0052,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/1/1690287011_07-10-11_9_1.jpg,,Behavior_Walking,cow_9_cam_1,"{""behavior"": ""Walking"", ""cow_id"": 9, ""camera_id"": 1, ""timestamp_iso"": ""2023-07-25T12:10:11Z""}"
sample_0053,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/1/1690317071_15-31-11_7_2.jpg,,Behavior_Walking,cow_7_cam_2,"{""behavior"": ""Walking"", ""cow_id"": 7, ""camera_id"": 2, ""timestamp_iso"": ""2023-07-25T20:31:11Z""}"
sample_0054,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/1/1690320071_16-21-11_9_2.jpg,,Behavior_Walking,cow_9_cam_2,"{""behavior"": ""Walking"", ""cow_id"": 9, ""camera_id"": 2, ""timestamp_iso"": ""2023-07-25T21:21:11Z""}"
sample_0055,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/6/1690272791_03-13-11_1_1.jpg,,Behavior_Drinking,cow_1_cam_1,"{""behavior"": ""Drinking"", ""cow_id"": 1, ""camera_id"": 1, ""timestamp_iso"": ""2023-07-25T08:13:11Z""}"
sample_0056,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/6/1690289861_07-57-41_15_4.jpg,,Behavior_Drinking,cow_15_cam_4,"{""behavior"": ""Drinking"", ""cow_id"": 15, ""camera_id"": 4, ""timestamp_iso"": ""2023-07-25T12:57:41Z""}"
sample_0057,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/6/1690305881_12-24-41_6_1.jpg,,Behavior_Drinking,cow_6_cam_1,"{""behavior"": ""Drinking"", ""cow_id"": 6, ""camera_id"": 1, ""timestamp_iso"": ""2023-07-25T17:24:41Z""}"
sample_0058,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/5/1690342541_22-35-41_11_4.jpg,,Behavior_Licking,cow_11_cam_4,"{""behavior"": ""Licking"", ""cow_id"": 11, ""camera_id"": 4, ""timestamp_iso"": ""2023-07-26T03:35:41Z""}"
sample_0059,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/5/1690282391_05-53-11_7_3.jpg,,Behavior_Licking,cow_7_cam_3,"{""behavior"": ""Licking"", ""cow_id"": 7, ""camera_id"": 3, ""timestamp_iso"": ""2023-07-25T10:53:11Z""}"
sample_0060,MmCows,Behavior (Primary),datasets/behavior/mmcows/cropped_bboxes/behaviors/5/1690281881_05-44-41_7_2.jpg,,Behavior_Licking,cow_7_cam_2,"{""behavior"": ""Licking"", ""cow_id"": 7, ""camera_id"": 2, ""timestamp_iso"": ""2023-07-25T10:44:41Z""}"
sample_0061,SideViewCows2026,Re-ID (Primary),datasets/id/external/sideviewcows2026/parlor/images/503/503_0130.jpg,datasets/id/external/sideviewcows2026/parlor/masks/503/503_0130.png,ReID_parlor,parlor_cow_0503_sess_007,"{""subset"": ""parlor"", ""individual_id"": 503, ""frame_no"": 130, ""recording_id"": ""parlor_cow_0503_sess_007""}"
sample_0062,SideViewCows2026,Re-ID (Primary),datasets/id/external/sideviewcows2026/parlor/images/962/962_0113.jpg,datasets/id/external/sideviewcows2026/parlor/masks/962/962_0113.png,ReID_parlor,parlor_cow_0962_sess_008,"{""subset"": ""parlor"", ""individual_id"": 962, ""frame_no"": 113, ""recording_id"": ""parlor_cow_0962_sess_008""}"
sample_0063,SideViewCows2026,Re-ID (Primary),datasets/id/external/sideviewcows2026/parlor/images/733/733_0514.jpg,datasets/id/external/sideviewcows2026/parlor/masks/733/733_0514.png,ReID_parlor,parlor_cow_0733_sess_050,"{""subset"": ""parlor"", ""individual_id"": 733, ""frame_no"": 514, ""recording_id"": ""parlor_cow_0733_sess_050""}"
sample_0064,SideViewCows2026,Re-ID (Primary),datasets/id/external/sideviewcows2026/parlor/images/871/871_0057.jpg,datasets/id/external/sideviewcows2026/parlor/masks/871/871_0057.png,ReID_parlor,parlor_cow_0871_sess_006,"{""subset"": ""parlor"", ""individual_id"": 871, ""frame_no"": 57, ""recording_id"": ""parlor_cow_0871_sess_006""}"
sample_0065,SideViewCows2026,Re-ID (Primary),datasets/id/external/sideviewcows2026/parlor/images/442/442_0333.jpg,datasets/id/external/sideviewcows2026/parlor/masks/442/442_0333.png,ReID_parlor,parlor_cow_0442_sess_022,"{""subset"": ""parlor"", ""individual_id"": 442, ""frame_no"": 333, ""recording_id"": ""parlor_cow_0442_sess_022""}"
sample_0066,SideViewCows2026,Re-ID (Primary),datasets/id/external/sideviewcows2026/parlor/images/275/275_0115.jpg,datasets/id/external/sideviewcows2026/parlor/masks/275/275_0115.png,ReID_parlor,parlor_cow_0275_sess_006,"{""subset"": ""parlor"", ""individual_id"": 275, ""frame_no"": 115, ""recording_id"": ""parlor_cow_0275_sess_006""}"
sample_0067,SideViewCows2026,Re-ID (Primary),datasets/id/external/sideviewcows2026/parlor/images/733/733_0190.jpg,datasets/id/external/sideviewcows2026/parlor/masks/733/733_0190.png,ReID_parlor,parlor_cow_0733_sess_015,"{""subset"": ""parlor"", ""individual_id"": 733, ""frame_no"": 190, ""recording_id"": ""parlor_cow_0733_sess_015""}"
sample_0068,SideViewCows2026,Re-ID (Primary),datasets/id/external/sideviewcows2026/parlor/images/680/680_0155.jpg,datasets/id/external/sideviewcows2026/parlor/masks/680/680_0155.png,ReID_parlor,parlor_cow_0680_sess_007,"{""subset"": ""parlor"", ""individual_id"": 680, ""frame_no"": 155, ""recording_id"": ""parlor_cow_0680_sess_007""}"
sample_0069,SideViewCows2026,Re-ID (Primary),datasets/id/external/sideviewcows2026/parlor/images/887/887_0366.jpg,datasets/id/external/sideviewcows2026/parlor/masks/887/887_0366.png,ReID_parlor,parlor_cow_0887_sess_018,"{""subset"": ""parlor"", ""individual_id"": 887, ""frame_no"": 366, ""recording_id"": ""parlor_cow_0887_sess_018""}"
sample_0070,SideViewCows2026,Re-ID (Primary),datasets/id/external/sideviewcows2026/parlor/images/887/887_0547.jpg,datasets/id/external/sideviewcows2026/parlor/masks/887/887_0547.png,ReID_parlor,parlor_cow_0887_sess_029,"{""subset"": ""parlor"", ""individual_id"": 887, ""frame_no"": 547, ""recording_id"": ""parlor_cow_0887_sess_029""}"
sample_0071,SideViewCows2026,Re-ID (Primary),datasets/id/external/sideviewcows2026/barn/images/687/687_0022.jpg,datasets/id/external/sideviewcows2026/barn/masks/687/687_0022.png,ReID_barn,barn_cow_0687_sess_001,"{""subset"": ""barn"", ""individual_id"": 687, ""frame_no"": 22, ""recording_id"": ""barn_cow_0687_sess_001""}"
sample_0072,SideViewCows2026,Re-ID (Primary),datasets/id/external/sideviewcows2026/barn/images/491/491_0086.jpg,datasets/id/external/sideviewcows2026/barn/masks/491/491_0086.png,ReID_barn,barn_cow_0491_sess_001,"{""subset"": ""barn"", ""individual_id"": 491, ""frame_no"": 86, ""recording_id"": ""barn_cow_0491_sess_001""}"
sample_0073,SideViewCows2026,Re-ID (Primary),datasets/id/external/sideviewcows2026/barn/images/128/128_0217.jpg,datasets/id/external/sideviewcows2026/barn/masks/128/128_0217.png,ReID_barn,barn_cow_0128_sess_001,"{""subset"": ""barn"", ""individual_id"": 128, ""frame_no"": 217, ""recording_id"": ""barn_cow_0128_sess_001""}"
sample_0074,SideViewCows2026,Re-ID (Primary),datasets/id/external/sideviewcows2026/barn/images/594/594_0847.jpg,datasets/id/external/sideviewcows2026/barn/masks/594/594_0847.png,ReID_barn,barn_cow_0594_sess_002,"{""subset"": ""barn"", ""individual_id"": 594, ""frame_no"": 847, ""recording_id"": ""barn_cow_0594_sess_002""}"
sample_0075,SideViewCows2026,Re-ID (Primary),datasets/id/external/sideviewcows2026/barn/images/320/320_0011.jpg,datasets/id/external/sideviewcows2026/barn/masks/320/320_0011.png,ReID_barn,barn_cow_0320_sess_001,"{""subset"": ""barn"", ""individual_id"": 320, ""frame_no"": 11, ""recording_id"": ""barn_cow_0320_sess_001""}"
sample_0076,SideViewCows2026,Re-ID (Primary),datasets/id/external/sideviewcows2026/barn/images/475/475_0091.jpg,datasets/id/external/sideviewcows2026/barn/masks/475/475_0091.png,ReID_barn,barn_cow_0475_sess_001,"{""subset"": ""barn"", ""individual_id"": 475, ""frame_no"": 91, ""recording_id"": ""barn_cow_0475_sess_001""}"
sample_0077,SideViewCows2026,Re-ID (Primary),datasets/id/external/sideviewcows2026/barn/images/684/684_0327.jpg,datasets/id/external/sideviewcows2026/barn/masks/684/684_0327.png,ReID_barn,barn_cow_0684_sess_001,"{""subset"": ""barn"", ""individual_id"": 684, ""frame_no"": 327, ""recording_id"": ""barn_cow_0684_sess_001""}"
sample_0078,SideViewCows2026,Re-ID (Primary),datasets/id/external/sideviewcows2026/barn/images/345/345_0146.jpg,datasets/id/external/sideviewcows2026/barn/masks/345/345_0146.png,ReID_barn,barn_cow_0345_sess_001,"{""subset"": ""barn"", ""individual_id"": 345, ""frame_no"": 146, ""recording_id"": ""barn_cow_0345_sess_001""}"
sample_0079,SideViewCows2026,Re-ID (Primary),datasets/id/external/sideviewcows2026/barn/images/826/826_0280.jpg,datasets/id/external/sideviewcows2026/barn/masks/826/826_0280.png,ReID_barn,barn_cow_0826_sess_001,"{""subset"": ""barn"", ""individual_id"": 826, ""frame_no"": 280, ""recording_id"": ""barn_cow_0826_sess_001""}"
sample_0080,SideViewCows2026,Re-ID (Primary),datasets/id/external/sideviewcows2026/barn/images/510/510_0342.jpg,datasets/id/external/sideviewcows2026/barn/masks/510/510_0342.png,ReID_barn,barn_cow_0510_sess_001,"{""subset"": ""barn"", ""individual_id"": 510, ""frame_no"": 342, ""recording_id"": ""barn_cow_0510_sess_001""}"
sample_0081,SideViewCows2026,Re-ID (Primary),datasets/id/external/sideviewcows2026/snapshots/images/955/955_0007.jpg,datasets/id/external/sideviewcows2026/snapshots/masks/955/955_0007.png,ReID_snapshots,snap_cow_0955_sess_001,"{""subset"": ""snapshots"", ""individual_id"": 955, ""frame_no"": 7, ""recording_id"": ""snap_cow_0955_sess_001""}"
sample_0082,SideViewCows2026,Re-ID (Primary),datasets/id/external/sideviewcows2026/snapshots/images/465/465_0017.jpg,datasets/id/external/sideviewcows2026/snapshots/masks/465/465_0017.png,ReID_snapshots,snap_cow_0465_sess_002,"{""subset"": ""snapshots"", ""individual_id"": 465, ""frame_no"": 17, ""recording_id"": ""snap_cow_0465_sess_002""}"
