sample_id,canonical_behavior,session_id,source_video_id,frame_index,prompt_condition,exact_prompt_coordinates,mask_returned,mask_status,inference_time_ms,mask_area_ratio,number_of_connected_components,number_of_cow_detections,rtdetr_failure,selected_box,selected_box_confidence,selected_box_area_ratio
beef_26_3_clip_0,Drinking,26,26,125,A5_rtdetr_box_center_point,"{""box"": [1.8, 19.8, 222.1, 201.7], ""points"": [[112.0, 110.8]], ""labels"": [1]}",True,segmented,140.61,0.2212,41,4,False,"[1.8, 19.8, 222.1, 201.7]",0.3474,0.7985
beef_25_3_clip_0,Drinking,25,25,125,A4_largest_rtdetr_box,"{""box"": [3.7, 39.8, 154.5, 189.2]}",True,segmented,142.37,0.1786,14,10,False,"[3.7, 39.8, 154.5, 189.2]",0.8883,0.4492
beef_25_3_clip_0,Drinking,25,25,125,A5_rtdetr_box_center_point,"{""box"": [3.7, 39.8, 154.5, 189.2], ""points"": [[79.1, 114.5]], ""labels"": [1]}",True,segmented,142.27,0.182,16,10,False,"[3.7, 39.8, 154.5, 189.2]",0.8883,0.4492
beef_36_1_clip_0,Drinking,36,36,125,A4_largest_rtdetr_box,"{""box"": [33.8, 4.9, 177.6, 188.4]}",True,segmented,140.88,0.2075,6,2,False,"[33.8, 4.9, 177.6, 188.4]",0.9127,0.5261
beef_36_1_clip_0,Drinking,36,36,125,A5_rtdetr_box_center_point,"{""box"": [33.8, 4.9, 177.6, 188.4], ""points"": [[105.7, 96.7]], ""labels"": [1]}",True,segmented,142.13,0.2078,7,2,False,"[33.8, 4.9, 177.6, 188.4]",0.9127,0.5261
beef_4_4_clip_0,Drinking,4,4,125,A4_largest_rtdetr_box,null,False,no_rtdetr_prompt,0.0,0.0,0,0,True,,,
beef_4_4_clip_0,Drinking,4,4,125,A5_rtdetr_box_center_point,null,False,no_rtdetr_prompt,0.0,0.0,0,0,True,,,
beef_47_3_clip_0,Drinking,47,47,125,A4_largest_rtdetr_box,"{""box"": [-0.2, 23.2, 218.9, 201.6]}",True,segmented,141.75,0.2655,38,5,False,"[-0.2, 23.2, 218.9, 201.6]",0.3511,0.7795
beef_47_3_clip_0,Drinking,47,47,125,A5_rtdetr_box_center_point,"{""box"": [-0.2, 23.2, 218.9, 201.6], ""points"": [[109.4, 112.4]], ""labels"": [1]}",True,segmented,141.73,0.254,23,5,False,"[-0.2, 23.2, 218.9, 201.6]",0.3511,0.7795
beef_193_4_clip_0,Feeding,193,193,125,A4_largest_rtdetr_box,"{""box"": [1.5, 20.4, 222.5, 200.4]}",True,segmented,141.7,0.2704,25,13,False,"[1.5, 20.4, 222.5, 200.4]",0.53,0.7925
beef_193_4_clip_0,Feeding,193,193,125,A5_rtdetr_box_center_point,"{""box"": [1.5, 20.4, 222.5, 200.4], ""points"": [[112.0, 110.4]], ""labels"": [1]}",True,segmented,142.74,0.2708,20,13,False,"[1.5, 20.4, 222.5, 200.4]",0.53,0.7925
beef_134_1_clip_0,Feeding,134,134,125,A4_largest_rtdetr_box,"{""box"": [3.7, 35.9, 214.0, 190.0]}",True,segmented,142.8,0.2653,8,2,False,"[3.7, 35.9, 214.0, 190.0]",0.9589,0.6458
beef_134_1_clip_0,Feeding,134,134,125,A5_rtdetr_box_center_point,"{""box"": [3.7, 35.9, 214.0, 190.0], ""points"": [[108.8, 113.0]], ""labels"": [1]}",True,segmented,141.84,0.2648,8,2,False,"[3.7, 35.9, 214.0, 190.0]",0.9589,0.6458
beef_131_5_clip_0,Feeding,131,131,125,A4_largest_rtdetr_box,null,False,no_rtdetr_prompt,0.0,0.0,0,0,True,,,
beef_131_5_clip_0,Feeding,131,131,125,A5_rtdetr_box_center_point,null,False,no_rtdetr_prompt,0.0,0.0,0,0,True,,,
beef_162_5_clip_0,Feeding,162,162,125,A4_largest_rtdetr_box,"{""box"": [4.8, 29.2, 205.3, 188.8]}",True,segmented,139.73,0.1905,28,2,False,"[4.8, 29.2, 205.3, 188.8]",0.4034,0.6382
beef_162_5_clip_0,Feeding,162,162,125,A5_rtdetr_box_center_point,"{""box"": [4.8, 29.2, 205.3, 188.8], ""points"": [[105.1, 109.0]], ""labels"": [1]}",True,segmented,141.51,0.1963,28,2,False,"[4.8, 29.2, 205.3, 188.8]",0.4034,0.6382
beef_154_4_clip_0,Feeding,154,154,125,A4_largest_rtdetr_box,"{""box"": [4.0, 11.6, 206.9, 214.4]}",True,segmented,141.55,0.2633,64,4,False,"[4.0, 11.6, 206.9, 214.4]",0.6515,0.8204
beef_154_4_clip_0,Feeding,154,154,125,A5_rtdetr_box_center_point,"{""box"": [4.0, 11.6, 206.9, 214.4], ""points"": [[105.5, 113.0]], ""labels"": [1]}",True,segmented,142.76,0.2682,21,4,False,"[4.0, 11.6, 206.9, 214.4]",0.6515,0.8204
beef_172_3_clip_0,Feeding,172,172,125,A4_largest_rtdetr_box,"{""box"": [5.4, 25.2, 221.9, 196.3]}",True,segmented,142.11,0.2977,23,2,False,"[5.4, 25.2, 221.9, 196.3]",0.2821,0.7385
beef_172_3_clip_0,Feeding,172,172,125,A5_rtdetr_box_center_point,"{""box"": [5.4, 25.2, 221.9, 196.3], ""points"": [[113.7, 110.8]], ""labels"": [1]}",True,segmented,141.48,0.3007,33,2,False,"[5.4, 25.2, 221.9, 196.3]",0.2821,0.7385
beef_191_1_clip_0,Feeding,191,191,125,A4_largest_rtdetr_box,"{""box"": [30.4, 6.7, 195.5, 223.7]}",True,segmented,139.16,0.2495,11,1,False,"[30.4, 6.7, 195.5, 223.7]",0.9587,0.7137
beef_191_1_clip_0,Feeding,191,191,125,A5_rtdetr_box_center_point,"{""box"": [30.4, 6.7, 195.5, 223.7], ""points"": [[113.0, 115.2]], ""labels"": [1]}",True,segmented,141.48,0.2422,16,1,False,"[30.4, 6.7, 195.5, 223.7]",0.9587,0.7137
beef_177_1_clip_0,Feeding,177,177,125,A4_largest_rtdetr_box,"{""box"": [4.1, 33.9, 221.7, 191.3]}",True,segmented,140.66,0.2708,8,3,False,"[4.1, 33.9, 221.7, 191.3]",0.9108,0.6829
beef_177_1_clip_0,Feeding,177,177,125,A5_rtdetr_box_center_point,"{""box"": [4.1, 33.9, 221.7, 191.3], ""points"": [[112.9, 112.6]], ""labels"": [1]}",True,segmented,140.95,0.2707,8,3,False,"[4.1, 33.9, 221.7, 191.3]",0.9108,0.6829
beef_168_1_clip_0,Feeding,168,168,125,A4_largest_rtdetr_box,"{""box"": [4.2, 29.7, 220.0, 204.5]}",True,segmented,140.71,0.2868,3,2,False,"[4.2, 29.7, 220.0, 204.5]",0.9547,0.7517
beef_168_1_clip_0,Feeding,168,168,125,A5_rtdetr_box_center_point,"{""box"": [4.2, 29.7, 220.0, 204.5], ""points"": [[112.1, 117.1]], ""labels"": [1]}",True,segmented,143.16,0.2774,5,2,False,"[4.2, 29.7, 220.0, 204.5]",0.9547,0.7517
beef_185_1_clip_0,Feeding,185,185,125,A4_largest_rtdetr_box,"{""box"": [12.1, 7.9, 211.8, 217.9]}",True,segmented,139.29,0.3072,3,2,False,"[12.1, 7.9, 211.8, 217.9]",0.9652,0.836
beef_185_1_clip_0,Feeding,185,185,125,A5_rtdetr_box_center_point,"{""box"": [12.1, 7.9, 211.8, 217.9], ""points"": [[112.0, 112.9]], ""labels"": [1]}",True,segmented,141.45,0.3054,6,2,False,"[12.1, 7.9, 211.8, 217.9]",0.9652,0.836
beef_00000000082000000_77_clip_89,Lying,82000000,82000000,125,A4_largest_rtdetr_box,"{""box"": [0.3, 60.1, 221.0, 161.3]}",True,segmented,141.94,0.1712,50,1,False,"[0.3, 60.1, 221.0, 161.3]",0.8468,0.445
beef_00000000082000000_77_clip_89,Lying,82000000,82000000,125,A5_rtdetr_box_center_point,"{""box"": [0.3, 60.1, 221.0, 161.3], ""points"": [[110.7, 110.7]], ""labels"": [1]}",True,segmented,142.99,0.1816,15,1,False,"[0.3, 60.1, 221.0, 161.3]",0.8468,0.445
beef_00000000580000000_27_clip_3,Lying,580000000,580000000,125,A4_largest_rtdetr_box,null,False,no_rtdetr_prompt,0.0,0.0,0,0,True,,,
beef_00000000580000000_27_clip_3,Lying,580000000,580000000,125,A5_rtdetr_box_center_point,null,False,no_rtdetr_prompt,0.0,0.0,0,0,True,,,
beef_00000000111000000_2_clip_103,Lying,111000000,111000000,125,A4_largest_rtdetr_box,"{""box"": [-0.1, 15.8, 223.8, 206.3]}",True,segmented,140.44,0.2746,177,4,False,"[-0.1, 15.8, 223.8, 206.3]",0.3283,0.8499
beef_00000000111000000_2_clip_103,Lying,111000000,111000000,125,A5_rtdetr_box_center_point,"{""box"": [-0.1, 15.8, 223.8, 206.3], ""points"": [[111.9, 111.1]], ""labels"": [1]}",True,segmented,140.91,0.5102,67,4,False,"[-0.1, 15.8, 223.8, 206.3]",0.3283,0.8499
beef_00000000109000000_2_clip_20,Lying,109000000,109000000,125,A4_largest_rtdetr_box,"{""box"": [-0.1, 42.3, 223.9, 179.5]}",True,segmented,141.31,0.2092,116,4,False,"[-0.1, 42.3, 223.9, 179.5]",0.2502,0.6122
beef_00000000109000000_2_clip_20,Lying,109000000,109000000,125,A5_rtdetr_box_center_point,"{""box"": [-0.1, 42.3, 223.9, 179.5], ""points"": [[111.9, 110.9]], ""labels"": [1]}",True,segmented,142.83,0.2156,20,4,False,"[-0.1, 42.3, 223.9, 179.5]",0.2502,0.6122
beef_00000000082000000_77_clip_72,Lying,82000000,82000000,125,A4_largest_rtdetr_box,"{""box"": [0.0, 61.8, 220.4, 171.1]}",True,segmented,138.69,0.1139,71,4,False,"[0.0, 61.8, 220.4, 171.1]",0.7328,0.4803
beef_00000000082000000_77_clip_72,Lying,82000000,82000000,125,A5_rtdetr_box_center_point,"{""box"": [0.0, 61.8, 220.4, 171.1], ""points"": [[110.2, 116.4]], ""labels"": [1]}",True,segmented,139.78,0.181,11,4,False,"[0.0, 61.8, 220.4, 171.1]",0.7328,0.4803
beef_00000000580000000_2_clip_47,Lying,580000000,580000000,47,A4_largest_rtdetr_box,"{""box"": [127.7, 41.4, 208.2, 185.8]}",True,segmented,141.03,0.0623,22,1,False,"[127.7, 41.4, 208.2, 185.8]",0.3066,0.2316
beef_00000000580000000_2_clip_47,Lying,580000000,580000000,47,A5_rtdetr_box_center_point,"{""box"": [127.7, 41.4, 208.2, 185.8], ""points"": [[167.9, 113.6]], ""labels"": [1]}",True,segmented,142.9,0.0662,14,1,False,"[127.7, 41.4, 208.2, 185.8]",0.3066,0.2316
beef_00000000111000000_1_clip_85,Lying,111000000,111000000,125,A4_largest_rtdetr_box,"{""box"": [0.1, 22.5, 222.1, 192.2]}",True,segmented,142.93,0.3192,52,4,False,"[0.1, 22.5, 222.1, 192.2]",0.3448,0.7506
beef_00000000111000000_1_clip_85,Lying,111000000,111000000,125,A5_rtdetr_box_center_point,"{""box"": [0.1, 22.5, 222.1, 192.2], ""points"": [[111.1, 107.3]], ""labels"": [1]}",True,segmented,142.35,0.3429,35,4,False,"[0.1, 22.5, 222.1, 192.2]",0.3448,0.7506
beef_00000000109000000_19_clip_5,Lying,109000000,109000000,125,A4_largest_rtdetr_box,"{""box"": [0.0, -0.5, 224.0, 223.5]}",True,segmented,140.64,0.9065,14,6,False,"[0.0, -0.5, 224.0, 223.5]",0.3259,0.9997
beef_00000000109000000_19_clip_5,Lying,109000000,109000000,125,A5_rtdetr_box_center_point,"{""box"": [0.0, -0.5, 224.0, 223.5], ""points"": [[112.0, 111.5]], ""labels"": [1]}",True,segmented,143.89,0.8501,30,6,False,"[0.0, -0.5, 224.0, 223.5]",0.3259,0.9997
beef_00000000082000000_77_clip_70,Lying,82000000,82000000,125,A4_largest_rtdetr_box,"{""box"": [-0.4, 62.1, 221.0, 169.8]}",True,segmented,140.03,0.1789,53,11,False,"[-0.4, 62.1, 221.0, 169.8]",0.5836,0.4754
beef_00000000082000000_77_clip_70,Lying,82000000,82000000,125,A5_rtdetr_box_center_point,"{""box"": [-0.4, 62.1, 221.0, 169.8], ""points"": [[110.3, 116.0]], ""labels"": [1]}",True,segmented,132.0,0.1831,39,11,False,"[-0.4, 62.1, 221.0, 169.8]",0.5836,0.4754
beef_00000000580000000_10_clip_54,Lying,580000000,580000000,125,A4_largest_rtdetr_box,"{""box"": [26.2, 54.8, 219.1, 172.8]}",True,segmented,141.22,0.1856,14,1,False,"[26.2, 54.8, 219.1, 172.8]",0.407,0.454
beef_00000000580000000_10_clip_54,Lying,580000000,580000000,125,A5_rtdetr_box_center_point,"{""box"": [26.2, 54.8, 219.1, 172.8], ""points"": [[122.6, 113.8]], ""labels"": [1]}",True,segmented,140.61,0.1853,13,1,False,"[26.2, 54.8, 219.1, 172.8]",0.407,0.454
beef_26_2_clip_0,Standing,26,26,125,A4_largest_rtdetr_box,"{""box"": [5.3, 17.3, 217.8, 211.9]}",True,segmented,142.57,0.2712,8,1,False,"[5.3, 17.3, 217.8, 211.9]",0.9643,0.8238
beef_26_2_clip_0,Standing,26,26,125,A5_rtdetr_box_center_point,"{""box"": [5.3, 17.3, 217.8, 211.9], ""points"": [[111.6, 114.6]], ""labels"": [1]}",True,segmented,144.14,0.27,6,1,False,"[5.3, 17.3, 217.8, 211.9]",0.9643,0.8238
beef_89_4_clip_0,Standing,89,89,125,A4_largest_rtdetr_box,"{""box"": [4.5, 37.6, 216.7, 182.5]}",True,segmented,140.19,0.2106,25,11,False,"[4.5, 37.6, 216.7, 182.5]",0.471,0.6129
beef_89_4_clip_0,Standing,89,89,125,A5_rtdetr_box_center_point,"{""box"": [4.5, 37.6, 216.7, 182.5], ""points"": [[110.6, 110.0]], ""labels"": [1]}",True,segmented,143.58,0.2121,32,11,False,"[4.5, 37.6, 216.7, 182.5]",0.471,0.6129
beef_36_2_clip_0,Standing,36,36,125,A4_largest_rtdetr_box,"{""box"": [4.0, 31.4, 223.8, 196.1]}",True,segmented,142.05,0.303,6,5,False,"[4.0, 31.4, 223.8, 196.1]",0.9662,0.7213
beef_36_2_clip_0,Standing,36,36,125,A5_rtdetr_box_center_point,"{""box"": [4.0, 31.4, 223.8, 196.1], ""points"": [[113.9, 113.8]], ""labels"": [1]}",True,segmented,140.21,0.3026,6,5,False,"[4.0, 31.4, 223.8, 196.1]",0.9662,0.7213
beef_25_4_clip_0,Standing,25,25,125,A4_largest_rtdetr_box,"{""box"": [7.6, 18.1, 222.7, 213.7]}",True,segmented,138.63,0.3158,68,16,False,"[7.6, 18.1, 222.7, 213.7]",0.3068,0.8383
beef_25_4_clip_0,Standing,25,25,125,A5_rtdetr_box_center_point,"{""box"": [7.6, 18.1, 222.7, 213.7], ""points"": [[115.1, 115.9]], ""labels"": [1]}",True,segmented,139.58,0.2883,39,16,False,"[7.6, 18.1, 222.7, 213.7]",0.3068,0.8383
beef_37_1_clip_0,Standing,37,37,125,A4_largest_rtdetr_box,"{""box"": [8.7, 9.0, 219.1, 223.8]}",True,segmented,141.59,0.406,6,1,False,"[8.7, 9.0, 219.1, 223.8]",0.9583,0.9005
beef_37_1_clip_0,Standing,37,37,125,A5_rtdetr_box_center_point,"{""box"": [8.7, 9.0, 219.1, 223.8], ""points"": [[113.9, 116.4]], ""labels"": [1]}",True,segmented,143.64,0.4046,13,1,False,"[8.7, 9.0, 219.1, 223.8]",0.9583,0.9005
beef_13_1_clip_0,Standing,13,13,125,A4_largest_rtdetr_box,"{""box"": [6.1, 44.8, 222.7, 184.5]}",True,segmented,139.9,0.2135,17,5,False,"[6.1, 44.8, 222.7, 184.5]",0.6709,0.603
beef_13_1_clip_0,Standing,13,13,125,A5_rtdetr_box_center_point,"{""box"": [6.1, 44.8, 222.7, 184.5], ""points"": [[114.4, 114.7]], ""labels"": [1]}",True,segmented,141.94,0.212,21,5,False,"[6.1, 44.8, 222.7, 184.5]",0.6709,0.603
beef_00000000111000000_1_clip_4,Standing,111000000,111000000,125,A4_largest_rtdetr_box,"{""box"": [6.6, 36.8, 223.9, 193.7]}",True,segmented,142.03,0.2784,19,2,False,"[6.6, 36.8, 223.9, 193.7]",0.9637,0.6796
beef_00000000111000000_1_clip_4,Standing,111000000,111000000,125,A5_rtdetr_box_center_point,"{""box"": [6.6, 36.8, 223.9, 193.7], ""points"": [[115.2, 115.2]], ""labels"": [1]}",True,segmented,144.05,0.2743,24,2,False,"[6.6, 36.8, 223.9, 193.7]",0.9637,0.6796
beef_39_1_clip_0,Standing,39,39,125,A4_largest_rtdetr_box,"{""box"": [7.5, 8.6, 219.8, 223.8]}",True,segmented,139.1,0.4072,7,1,False,"[7.5, 8.6, 219.8, 223.8]",0.9671,0.9101
beef_39_1_clip_0,Standing,39,39,125,A5_rtdetr_box_center_point,"{""box"": [7.5, 8.6, 219.8, 223.8], ""points"": [[113.7, 116.2]], ""labels"": [1]}",True,segmented,140.72,0.407,7,1,False,"[7.5, 8.6, 219.8, 223.8]",0.9671,0.9101
beef_120_2_clip_0,Standing,120,120,125,A4_largest_rtdetr_box,"{""box"": [6.3, 14.6, 222.8, 210.0]}",True,segmented,139.32,0.2944,17,1,False,"[6.3, 14.6, 222.8, 210.0]",0.9652,0.8427
beef_120_2_clip_0,Standing,120,120,125,A5_rtdetr_box_center_point,"{""box"": [6.3, 14.6, 222.8, 210.0], ""points"": [[114.6, 112.3]], ""labels"": [1]}",True,segmented,141.4,0.2897,11,1,False,"[6.3, 14.6, 222.8, 210.0]",0.9652,0.8427
beef_181_1_clip_0,Standing,181,181,125,A4_largest_rtdetr_box,"{""box"": [5.8, 24.8, 217.2, 203.4]}",True,segmented,138.89,0.2931,15,4,False,"[5.8, 24.8, 217.2, 203.4]",0.9485,0.7521
beef_181_1_clip_0,Standing,181,181,125,A5_rtdetr_box_center_point,"{""box"": [5.8, 24.8, 217.2, 203.4], ""points"": [[111.5, 114.1]], ""labels"": [1]}",True,segmented,139.82,0.2955,19,4,False,"[5.8, 24.8, 217.2, 203.4]",0.9485,0.7521
