sample_id,dataset,source_image_path,provenance_group,cow_or_identity_id_if_available,session_or_timeblock_if_available,viewpoint,occlusion,body_cutoff,multiple_cows,review_status
vp1k_0036,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/335/335_0080.jpg,parlor_cow_0335_sess_008,cow_335,parlor/parlor_cow_0335_sess_008,side,partial,none,no,human_verified
vp1k_0037,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/1/1690313861_14-37-41_11_3.jpg,ev_1690313861_c11,cow_11,tb_2_cam_3,unknown / ambiguous,none,none,no,human_verified
vp1k_0038,SideViewCows2026,datasets/id/external/sideviewcows2026/snapshots/images/389/389_0003.jpg,snap_cow_0389_sess_001,cow_389,snapshots/snap_cow_0389_sess_001,side,none,partial,no,human_verified
vp1k_0039,SideViewCows2026,datasets/id/external/sideviewcows2026/barn/images/529/529_0125.jpg,barn_cow_0529_sess_001,cow_529,barn/barn_cow_0529_sess_001,side,none,none,yes,human_verified
vp1k_0040,SideViewCows2026,datasets/id/external/sideviewcows2026/barn/images/491/491_0101.jpg,barn_cow_0491_sess_001,cow_491,barn/barn_cow_0491_sess_001,side,none,none,no,human_verified
vp1k_0041,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.75/YM_1180_3.jpg,YM_burst_0203,,YM_Farm2/YM_1180,rear,none,partial,no,human_verified
vp1k_0042,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/6/1690308761_13-12-41_15_4.jpg,ev_1690308761_c15,cow_15,tb_2_cam_4,front-oblique,severe,none,yes,human_verified
vp1k_0043,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/4.0/L-i4569.jpg,STEREO_burst_0097,,STEREO_Farm3/STEREO_blk_097,rear,none,partial,no,human_verified
vp1k_0044,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.75/YM_1294_4.jpg,YM_burst_0328,,YM_Farm2/YM_1294,rear,none,partial,yes,human_verified
vp1k_0045,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/4.0/GS_3149_4.jpg,GS_burst_2381,,GS_Gansu/GS_3149,rear,none,partial,no,human_verified
vp1k_0046,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/828/828_0355.jpg,parlor_cow_0828_sess_024,cow_828,parlor/parlor_cow_0828_sess_024,side,partial,partial,no,human_verified
vp1k_0047,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/6/1690279991_05-13-11_8_3.jpg,ev_1690279991_c8,cow_8,tb_2_cam_3,side,severe,severe,yes,human_verified
vp1k_0048,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/6/1690303631_11-47-11_3_3.jpg,ev_1690303631_c3,cow_3,tb_2_cam_3,unknown / ambiguous,none,none,no,human_verified
vp1k_0049,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/241/241_0006.jpg,parlor_cow_0241_sess_002,cow_241,parlor/parlor_cow_0241_sess_002,side,none,partial,yes,human_verified
vp1k_0050,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/2/1690276601_04-16-41_13_3.jpg,ev_1690276601_c13,cow_13,tb_1_cam_3,unknown / ambiguous,none,none,no,human_verified
vp1k_0051,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/5/1690339481_21-44-41_6_3.jpg,ev_1690339481_c6,cow_6,tb_3_cam_3,front-oblique,partial,none,no,human_verified
vp1k_0052,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/442/442_0145.jpg,parlor_cow_0442_sess_011,cow_442,parlor/parlor_cow_0442_sess_011,side,severe,none,no,human_verified
vp1k_0053,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/1/1690291706_08-28-26_11_3.jpg,ev_1690291706_c11,cow_11,tb_2_cam_3,unknown / ambiguous,none,none,no,human_verified
vp1k_0054,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/481/481_0301.jpg,parlor_cow_0481_sess_013,cow_481,parlor/parlor_cow_0481_sess_013,side,none,none,yes,human_verified
vp1k_0055,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/475/475_0736.jpg,parlor_cow_0475_sess_033,cow_475,parlor/parlor_cow_0475_sess_033,side,partial,severe,no,human_verified
vp1k_0056,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/594/594_0164.jpg,parlor_cow_0594_sess_011,cow_594,parlor/parlor_cow_0594_sess_011,side,none,severe,no,human_verified
vp1k_0057,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/4/1690293971_09-06-11_6_3.jpg,ev_1690293971_c6,cow_6,tb_2_cam_3,unknown / ambiguous,none,none,no,human_verified
vp1k_0058,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.75/YM_1244_5.jpg,YM_burst_0274,,YM_Farm2/YM_1244,rear,none,partial,no,human_verified
vp1k_0059,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/3/1690273916_03-31-56_13_3.jpg,ev_1690273916_c13,cow_13,tb_1_cam_3,side,none,partial,yes,human_verified
vp1k_0060,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/168/168_0254.jpg,parlor_cow_0168_sess_021,cow_168,parlor/parlor_cow_0168_sess_021,side,partial,severe,no,human_verified
vp1k_0061,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/4.25/YM_983_4.jpg,YM_burst_2037,,YM_Farm2/YM_983,rear,none,partial,yes,human_verified
vp1k_0062,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/4.25/GS_1706_4.jpg,GS_burst_0787,,GS_Gansu/GS_1706,unknown / ambiguous,none,none,yes,human_verified
vp1k_0063,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690281416_05-36-56_11_1.jpg,ev_1690281416_c11,cow_11,tb_2_cam_1,unknown / ambiguous,none,none,no,human_verified
vp1k_0064,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.5/YM_1298_13.jpg,YM_burst_0332,,YM_Farm2/YM_1298,rear,none,partial,no,human_verified
vp1k_0065,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/2/1690291646_08-27-26_11_3.jpg,ev_1690291646_c11,cow_11,tb_2_cam_3,unknown / ambiguous,none,none,no,human_verified
vp1k_0066,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/4/1690289696_07-54-56_15_3.jpg,ev_1690289696_c15,cow_15,tb_2_cam_3,unknown / ambiguous,none,none,yes,human_verified
vp1k_0067,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/3/1690292261_08-37-41_5_3.jpg,ev_1690292261_c5,cow_5,tb_2_cam_3,side,severe,none,yes,human_verified
vp1k_0068,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/4.25/YM_1227_2.jpg,YM_burst_0255,,YM_Farm2/YM_1227,rear,none,partial,yes,human_verified
vp1k_0069,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.5/L-i3532.jpg,STEREO_burst_0068,,STEREO_Farm3/STEREO_blk_068,rear,none,partial,no,human_verified
vp1k_0070,SideViewCows2026,datasets/id/external/sideviewcows2026/barn/images/465/465_0235.jpg,barn_cow_0465_sess_001,cow_465,barn/barn_cow_0465_sess_001,side,none,none,no,human_verified
vp1k_0071,SideViewCows2026,datasets/id/external/sideviewcows2026/barn/images/680/680_0362.jpg,barn_cow_0680_sess_001,cow_680,barn/barn_cow_0680_sess_001,front-oblique,none,none,no,human_verified
vp1k_0072,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/3/1690330766_19-19-26_16_3.jpg,ev_1690330766_c16,cow_16,tb_3_cam_3,side,partial,none,yes,human_verified
vp1k_0073,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/687/687_0077.jpg,parlor_cow_0687_sess_004,cow_687,parlor/parlor_cow_0687_sess_004,side,none,severe,yes,human_verified
vp1k_0074,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690326386_18-06-26_7_3.jpg,ev_1690326386_c7,cow_7,tb_3_cam_3,unknown / ambiguous,none,none,no,human_verified
vp1k_0075,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/4.0/YM_175_3.jpg,YM_burst_0833,,YM_Farm2/YM_175,rear,none,none,no,human_verified
vp1k_0076,SideViewCows2026,datasets/id/external/sideviewcows2026/barn/images/687/687_0080.jpg,barn_cow_0687_sess_001,cow_687,barn/barn_cow_0687_sess_001,side,none,severe,no,human_verified
vp1k_0077,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/6/1690297541_10-05-41_12_3.jpg,ev_1690297541_c12,cow_12,tb_2_cam_3,side,none,partial,yes,human_verified
vp1k_0078,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.75/GS_2642_5.jpg,GS_burst_1818,,GS_Gansu/GS_2642,rear,none,none,no,human_verified
vp1k_0079,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.75/GS_1310_3.jpg,GS_burst_0348,,GS_Gansu/GS_1310,rear,none,none,no,human_verified
vp1k_0080,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/4/1690333436_20-03-56_15_3.jpg,ev_1690333436_c15,cow_15,tb_3_cam_3,side,partial,none,no,human_verified
vp1k_0081,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/375/375_0136.jpg,parlor_cow_0375_sess_005,cow_375,parlor/parlor_cow_0375_sess_005,side,partial,none,yes,human_verified
vp1k_0082,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.5/YM_660_5.jpg,YM_burst_1679,,YM_Farm2/YM_660,rear,none,none,no,human_verified
vp1k_0083,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/406/406_0199.jpg,parlor_cow_0406_sess_011,cow_406,parlor/parlor_cow_0406_sess_011,side,partial,none,yes,human_verified
vp1k_0084,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/5/1690282736_05-58-56_7_3.jpg,ev_1690282736_c7,cow_7,tb_2_cam_3,unknown / ambiguous,none,none,no,human_verified
vp1k_0085,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/3/1690322561_17-02-41_8_3.jpg,ev_1690322561_c8,cow_8,tb_3_cam_3,rear-oblique,severe,none,no,human_verified
vp1k_0086,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.25/YM_495_4.jpg,YM_burst_1495,,YM_Farm2/YM_495,rear,none,none,yes,human_verified
vp1k_0087,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.25/R-i6881.jpg,STEREO_burst_0144,,STEREO_Farm3/STEREO_blk_144,rear,none,severe,no,human_verified
vp1k_0088,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.5/YM_2042_4.jpg,YM_burst_1158,,YM_Farm2/YM_2042,rear,none,none,yes,human_verified
vp1k_0089,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/1/1690332386_19-46-26_15_3.jpg,ev_1690332386_c15,cow_15,tb_3_cam_3,unknown / ambiguous,none,none,no,human_verified
vp1k_0090,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/6/1690326341_18-05-41_4_3.jpg,ev_1690326341_c4,cow_4,tb_3_cam_3,unknown / ambiguous,none,none,no,human_verified
vp1k_0091,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/1/1690314986_14-56-26_15_3.jpg,ev_1690314986_c15,cow_15,tb_2_cam_3,side,none,none,no,human_verified
vp1k_0092,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/4.25/GS_1604_4.jpg,GS_burst_0674,,GS_Gansu/GS_1604,rear,none,none,no,human_verified
vp1k_0093,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690303226_11-40-26_11_3.jpg,ev_1690303226_c11,cow_11,tb_2_cam_3,unknown / ambiguous,severe,none,yes,human_verified
vp1k_0094,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.75/YM_435_4.jpg,YM_burst_1429,,YM_Farm2/YM_435,rear,none,none,yes,human_verified
vp1k_0095,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/6/1690321136_16-38-56_5_3.jpg,ev_1690321136_c5,cow_5,tb_3_cam_3,unknown / ambiguous,none,none,no,human_verified
vp1k_0096,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.25/YM_1789_2.jpg,YM_burst_0876,,YM_Farm2/YM_1789,rear,none,none,yes,human_verified
vp1k_0097,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/571/571_0219.jpg,parlor_cow_0571_sess_014,cow_571,parlor/parlor_cow_0571_sess_014,side,partial,none,yes,human_verified
vp1k_0098,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/4.0/GS_2853_4.jpg,GS_burst_2052,,GS_Gansu/GS_2853,rear,none,none,no,human_verified
vp1k_0099,SideViewCows2026,datasets/id/external/sideviewcows2026/barn/images/433/433_0086.jpg,barn_cow_0433_sess_001,cow_433,barn/barn_cow_0433_sess_001,side,none,partial,no,human_verified
vp1k_0100,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/1/1690325366_17-49-26_15_3.jpg,ev_1690325366_c15,cow_15,tb_3_cam_3,side,partial,none,no,human_verified
vp1k_0101,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.5/YM_1593_4.jpg,YM_burst_0659,,YM_Farm2/YM_1593,rear,none,none,no,human_verified
vp1k_0102,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/4.25/GS_76_17.jpg,GS_burst_3073,,GS_Gansu/GS_76,rear,none,none,no,human_verified
vp1k_0103,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/355/355_0266.jpg,parlor_cow_0355_sess_025,cow_355,parlor/parlor_cow_0355_sess_025,side,none,severe,no,human_verified
vp1k_0104,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.75/YM_1863_5.jpg,YM_burst_0959,,YM_Farm2/YM_1863,rear,none,none,yes,human_verified
vp1k_0105,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/4.0/YM_577_3.jpg,YM_burst_1586,,YM_Farm2/YM_577,rear,none,none,no,human_verified
vp1k_0106,SideViewCows2026,datasets/id/external/sideviewcows2026/barn/images/481/481_0258.jpg,barn_cow_0481_sess_001,cow_481,barn/barn_cow_0481_sess_001,side,none,none,no,human_verified
vp1k_0107,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.5/GS_759_5.jpg,GS_burst_3072,,GS_Gansu/GS_759,rear,none,none,no,human_verified
vp1k_0108,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/2/1690343906_22-58-26_5_3.jpg,ev_1690343906_c5,cow_5,tb_3_cam_3,unknown / ambiguous,severe,none,no,human_verified
vp1k_0109,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/2/1690344896_23-14-56_5_3.jpg,ev_1690344896_c5,cow_5,tb_3_cam_3,unknown / ambiguous,severe,none,no,human_verified
vp1k_0110,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/684/684_0197.jpg,parlor_cow_0684_sess_011,cow_684,parlor/parlor_cow_0684_sess_011,side,severe,none,no,human_verified
vp1k_0111,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/4.0/GS_2795_3.jpg,GS_burst_1987,,GS_Gansu/GS_2795,rear,none,none,no,human_verified
vp1k_0112,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.5/GS_1991_5.jpg,GS_burst_1099,,GS_Gansu/GS_1991,rear,none,none,yes,human_verified
vp1k_0113,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/937/937_0138.jpg,parlor_cow_0937_sess_014,cow_937,parlor/parlor_cow_0937_sess_014,side,none,partial,no,human_verified
vp1k_0114,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/998/998_0289.jpg,parlor_cow_0998_sess_018,cow_998,parlor/parlor_cow_0998_sess_018,side,partial,none,no,human_verified
vp1k_0115,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690313126_14-25-26_9_2.jpg,ev_1690313126_c9,cow_9,tb_2_cam_2,unknown / ambiguous,severe,none,no,human_verified
vp1k_0116,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/4/1690340741_22-05-41_15_3.jpg,ev_1690340741_c15,cow_15,tb_3_cam_3,front-oblique,severe,none,no,human_verified
vp1k_0117,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.25/YM_1535_4.jpg,YM_burst_0595,,YM_Farm2/YM_1535,rear,none,none,yes,human_verified
vp1k_0118,SideViewCows2026,datasets/id/external/sideviewcows2026/snapshots/images/962/962_0007.jpg,snap_cow_0962_sess_003,cow_962,snapshots/snap_cow_0962_sess_003,side,partial,none,no,human_verified
vp1k_0119,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.75/L-i9634.jpg,STEREO_burst_0207,,STEREO_Farm3/STEREO_blk_207,rear-oblique,none,none,yes,human_verified
vp1k_0120,SideViewCows2026,datasets/id/external/sideviewcows2026/barn/images/529/529_0042.jpg,barn_cow_0529_sess_001,cow_529,barn/barn_cow_0529_sess_001,side,none,none,no,human_verified
vp1k_0121,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/542/542_0199.jpg,parlor_cow_0542_sess_011,cow_542,parlor/parlor_cow_0542_sess_011,side,none,none,no,human_verified
vp1k_0122,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/209/209_0271.jpg,parlor_cow_0209_sess_021,cow_209,parlor/parlor_cow_0209_sess_021,side,none,none,no,human_verified
vp1k_0123,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/1/1690320641_16-30-41_16_3.jpg,ev_1690320641_c16,cow_16,tb_3_cam_3,side,partial,none,no,human_verified
vp1k_0124,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.75/YM_555_4.jpg,YM_burst_1562,,YM_Farm2/YM_555,rear,none,none,no,human_verified
vp1k_0125,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/2/1690340186_21-56-26_16_3.jpg,ev_1690340186_c16,cow_16,tb_3_cam_3,side,none,none,no,human_verified
vp1k_0126,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/4.0/YM_1382_3.jpg,YM_burst_0426,,YM_Farm2/YM_1382,rear,none,none,yes,human_verified
vp1k_0127,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/1/1690346321_23-38-41_7_3.jpg,ev_1690346321_c7,cow_7,tb_3_cam_3,rear-oblique,severe,none,no,human_verified
vp1k_0128,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/3/1690304846_12-07-26_3_3.jpg,ev_1690304846_c3,cow_3,tb_2_cam_3,side,severe,partial,yes,human_verified
vp1k_0129,SideViewCows2026,datasets/id/external/sideviewcows2026/snapshots/images/290/290_0007.jpg,snap_cow_0290_sess_001,cow_290,snapshots/snap_cow_0290_sess_001,side,none,none,no,human_verified
vp1k_0130,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/1/1690283006_06-03-26_5_3.jpg,ev_1690283006_c5,cow_5,tb_2_cam_3,side,severe,none,no,human_verified
vp1k_0131,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/6/1690328696_18-44-56_7_3.jpg,ev_1690328696_c7,cow_7,tb_3_cam_3,side,none,none,no,human_verified
vp1k_0132,SideViewCows2026,datasets/id/external/sideviewcows2026/snapshots/images/843/843_0010.jpg,snap_cow_0843_sess_004,cow_843,snapshots/snap_cow_0843_sess_004,side,none,none,no,human_verified
vp1k_0133,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/3/1690343336_22-48-56_3_3.jpg,ev_1690343336_c3,cow_3,tb_3_cam_3,side,partial,none,no,human_verified
vp1k_0134,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/605/605_0131.jpg,parlor_cow_0605_sess_006,cow_605,parlor/parlor_cow_0605_sess_006,side,severe,severe,no,human_verified
vp1k_0135,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/4.25/GS_1336_4.jpg,GS_burst_0376,,GS_Gansu/GS_1336,rear,none,none,no,human_verified
vp1k_0136,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690292141_08-35-41_9_3.jpg,ev_1690292141_c9,cow_9,tb_2_cam_3,side,severe,none,no,human_verified
vp1k_0137,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/3/1690285196_06-39-56_7_3.jpg,ev_1690285196_c7,cow_7,tb_2_cam_3,unknown / ambiguous,none,none,no,human_verified
vp1k_0138,SideViewCows2026,datasets/id/external/sideviewcows2026/barn/images/677/677_0083.jpg,barn_cow_0677_sess_001,cow_677,barn/barn_cow_0677_sess_001,side,none,none,no,human_verified
