original_path,normalized_class,inclusion_status,exclusion_reason,review_triggers,review_status,pending_status,human_decision,adjudicated_by,review_date,width,height,source_domain,source_url,sha256,duplicate_group_id,notes,adjudication_notes
datasets/viewpoint/self/rear view/129.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,365,547,www.123rf.com,https://www.123rf.com/photo_69758650_rear-cow-in-dairy-farm.html,e967f1713fa9f5cd49668f10c126bdf68234c888841e427a987a3b45d3adf0e4,dup_0668,Commercial stock provider: www.123rf.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.123rf.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/130.webp,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,1060,1690,www.dreamstime.com,https://www.dreamstime.com/photos-images/backside-cow.html,882b23e840c66fea37e87fa27769f46f6272736c88e2989ab70048e010e903e0,dup_0669,Commercial stock provider: www.dreamstime.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.dreamstime.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/131.webp,rear,excluded,commercial_stock_source,commercial_stock_source; low_resolution,resolved,none,exclude,Hasin Ishrak,2026-09-23,173,280,www.shutterstock.com,https://www.shutterstock.com/search/cow-rear-view,4214a2535270d3df014ba36bd61ed833d5c8a3eebdf82b6d4e243f78540fc0b6,dup_0670,Commercial stock provider: www.shutterstock.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.shutterstock.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/132.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,400,600,depositphotos.com,https://depositphotos.com/photos/dirty-cow.html,ff6e842e823325067adec66747a307642d8f1e331050bf468b6778c71569eeda,dup_0671,Commercial stock provider: depositphotos.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (depositphotos.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/133.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,437,702,www.alamy.com,https://www.alamy.com/stock-photo/rear-view-of-highland-cow.html,7e1771eb92f0bf10ce2d27b45627b8008b8838800bb49730fd2198c8f5a944a4,dup_0672,Commercial stock provider: www.alamy.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.alamy.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/134.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,452,678,www.dreamstime.com,https://www.dreamstime.com/stock-photo-back-part-cow-danish-swinging-tail-image57093452,51a9d6d86fa4c0858a51ab15823007405afca36ec1cf37c829fbaf3f4714dd2c,dup_0673,Commercial stock provider: www.dreamstime.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.dreamstime.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/135.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,522,383,www.shutterstock.com,https://www.shutterstock.com/image-photo/rear-view-two-cows-on-farm-1310339929,80d64b9db9a75537d166818ad24d77eec38c742f39353580f73fa76c171fd78c,dup_0674,Commercial stock provider: www.shutterstock.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.shutterstock.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/136.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,452,678,www.dreamstime.com,https://www.dreamstime.com/photos-images/backside-cow.html,7b98db9fcfb142e331854246d77e5ebeb562b9f64ac942d5d3b7ec35e3e8d675,dup_0675,Commercial stock provider: www.dreamstime.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.dreamstime.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/137.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,407,612,www.istockphoto.com,https://www.istockphoto.com/photo/cow-backside-gm466614677-34144490,688bd5072cba97333195139763a3b935dfedfbf659219d018321d4d7a9f7d40f,dup_0676,Commercial stock provider: www.istockphoto.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.istockphoto.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/138.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,452,678,www.dreamstime.com,https://www.dreamstime.com/photos-images/cow-raised-tail.html,2f536706af6be08eab433c5e6ba5fb9aa24a2833ede9f3755b9c8770c8826c89,dup_0677,Commercial stock provider: www.dreamstime.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.dreamstime.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/139.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,390,280,www.shutterstock.com,https://www.shutterstock.com/search/cow-backside?page=2,3873ac21e0d6a9366bf6f10e1d2901fbe6c89a1690818a19126b1ecdd4388423,dup_0678,Commercial stock provider: www.shutterstock.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.shutterstock.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/140.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,806,1300,www.123rf.com,https://www.123rf.com/photo_7477455_back-of-a-brown-and-white-cow.html,4037aaf2aa93284c4e6b1460bf70c61aa9691160e9be52e0b07570c2c7f73e6f,dup_0679,Commercial stock provider: www.123rf.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.123rf.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/141.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,452,678,www.vecteezy.com,https://www.vecteezy.com/photo/17515073-backside-of-a-cow-in-the-austrian-alps,dbb5a7903e8b7012752524dfcdd7de56618a91c2eeb05862fce690e7accbb027,dup_0664,Commercial stock provider: www.vecteezy.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.vecteezy.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/142.webp,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,601,900,www.dreamstime.com,https://www.dreamstime.com/stock-photo-back-part-cow-danish-swinging-tail-image57093452,30e10eee20404a05712a8ca5b6fcebcda4afe537fdfdea6581517dfc396f504c,dup_0673,Commercial stock provider: www.dreamstime.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.dreamstime.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/143.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,564,354,www.shutterstock.com,https://www.shutterstock.com/image-photo/close-cows-backside-tail-another-cow-2633594817,53779189857f668ca8969ac8fde849415330030fa9321dc57433da2510ececb5,dup_0680,Commercial stock provider: www.shutterstock.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.shutterstock.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/144.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,440,697,www.dreamstime.com,https://www.dreamstime.com/butt-cow-udder-grazing-green-field-image277694358,bd044f1ce51830c3d980ceb6d5f36e6b1ad8e67337e862db12a08067ff1ca4b9,dup_0681,Commercial stock provider: www.dreamstime.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.dreamstime.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/145.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,451,681,www.dreamstime.com,https://www.dreamstime.com/royalty-free-stock-photography-cow-tail-back-view-who-grazing-meadow-others-cows-background-image33677617,57d55743fe7f11d279b642730d290676684b58c86decacb0bf352045d79428f2,dup_0682,Commercial stock provider: www.dreamstime.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.dreamstime.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/146.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,678,452,www.dreamstime.com,https://www.dreamstime.com/dairy-cow-rear-end-walking-away-next-to-path-butt-cow-clouded-sky-cow-backside-walking-away-next-to-path-butt-cow-image281077190,b4ba0050140d3b6935475ee839e3501992614ba91237d29bc0c0734fb466a34d,dup_0683,Commercial stock provider: www.dreamstime.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.dreamstime.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/147.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,451,679,www.dreamstime.com,https://www.dreamstime.com/stock-images-holstein-cow-behind-image28512374,315d121e1358aa5f7c5c3ee187808a442ea8eb52bd00ed7cc43fea2f79f0d17b,dup_0684,Commercial stock provider: www.dreamstime.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.dreamstime.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/148.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,437,702,www.alamy.com,https://www.alamy.com/back-end-of-a-danish-black-and-white-cow-danish-jutland-cattle-denmark-image339030716.html,342878362b1315bd73d2b7ff90c33490855797b3d113233319b3a10f8f203609,dup_0685,Commercial stock provider: www.alamy.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.alamy.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/149.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,866,1390,www.alamy.com,https://www.alamy.com/rear-end-of-a-bony-but-prize-winning-dairy-cow-showing-the-consequences-of-breeding-for-milk-production-image337711890.html,1e8bf0f67cbd0d50f9efb4f25e57846ffcf7fa6ff691e402e37c643b28d889bc,dup_0667,Commercial stock provider: www.alamy.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.alamy.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/150.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,867,1300,www.123rf.com,https://www.123rf.com/photo_69758650_rear-cow-in-dairy-farm.html,2d0baf0763fbc88766d50db9c1aa47ae673593336201b7f3178056eeedcce39f,dup_0668,Commercial stock provider: www.123rf.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.123rf.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view-updated/120.jpg,rear,included,none,pinterest_source,resolved,none,keep,Hasin Ishrak,2026-09-23,736,1081,in.pinterest.com,https://in.pinterest.com/pin/black-and-white-cow-in-lush-green-field--41376890327325060/,98177c87c0daac6fb045ce30189eac36d4fc09c8854f32fd0562b70f29489f93,dup_0571,Valid clean capture,Confirmed included by human reviewer: authentic natural cattle photograph in pasture with valid viewpoint orientation.
