dataset,behavior_canonical,split,sample_id,t,pred_viewpoint,confidence,entropy_nats,prob_front,prob_side,prob_rear,low_confidence_flag
cvb,Standing,train,cvb_0235_arm01_gopro1_20200323_023342_beh5_ani8_ins2_cut_6_tr4_seg0,4,rear,0.5371,1.0093,0.2524,0.2105,0.5371,False
cvb,Standing,train,cvb_0235_arm01_gopro1_20200323_023342_beh5_ani8_ins2_cut_6_tr4_seg0,5,front,0.4997,0.9823,0.4997,0.1325,0.3679,True
cvb,Standing,train,cvb_0235_arm01_gopro1_20200323_023342_beh5_ani8_ins2_cut_6_tr4_seg0,6,rear,0.4327,1.0752,0.3082,0.2591,0.4327,True
cvb,Standing,train,cvb_0235_arm01_gopro1_20200323_023342_beh5_ani8_ins2_cut_6_tr4_seg0,7,rear,0.6124,0.7538,0.0226,0.365,0.6124,False
cvb,Standing,val,cvb_0742_arm01_gopro1_20200325_025919_beh5_ani5_ins5_cut_8_tr0_seg0,0,side,0.533,0.9969,0.2975,0.533,0.1695,False
cvb,Standing,val,cvb_0742_arm01_gopro1_20200325_025919_beh5_ani5_ins5_cut_8_tr0_seg0,1,side,0.8078,0.6226,0.0966,0.8078,0.0956,False
cvb,Standing,val,cvb_0742_arm01_gopro1_20200325_025919_beh5_ani5_ins5_cut_8_tr0_seg0,2,side,0.5789,0.9531,0.274,0.5789,0.1471,False
cvb,Standing,val,cvb_0742_arm01_gopro1_20200325_025919_beh5_ani5_ins5_cut_8_tr0_seg0,3,side,0.7,0.8007,0.0984,0.7,0.2016,False
cvb,Standing,val,cvb_0742_arm01_gopro1_20200325_025919_beh5_ani5_ins5_cut_8_tr0_seg0,4,side,0.8131,0.5954,0.0555,0.8131,0.1314,False
cvb,Standing,val,cvb_0742_arm01_gopro1_20200325_025919_beh5_ani5_ins5_cut_8_tr0_seg0,5,side,0.6779,0.8125,0.0833,0.6779,0.2389,False
cvb,Standing,val,cvb_0742_arm01_gopro1_20200325_025919_beh5_ani5_ins5_cut_8_tr0_seg0,6,side,0.549,0.9442,0.1148,0.549,0.3362,False
cvb,Standing,val,cvb_0742_arm01_gopro1_20200325_025919_beh5_ani5_ins5_cut_8_tr0_seg0,7,side,0.714,0.7924,0.1179,0.714,0.1681,False
cvb,Standing,val,cvb_1297_arm01_gopro3_20200326_033755_beh5_ani8_ins3_cut_00023_tr0_seg0,0,side,0.9753,0.132,0.0093,0.9753,0.0154,False
cvb,Standing,val,cvb_1297_arm01_gopro3_20200326_033755_beh5_ani8_ins3_cut_00023_tr0_seg0,1,side,0.9208,0.3305,0.0459,0.9208,0.0333,False
cvb,Standing,val,cvb_1297_arm01_gopro3_20200326_033755_beh5_ani8_ins3_cut_00023_tr0_seg0,2,side,0.9544,0.2165,0.0252,0.9544,0.0204,False
cvb,Standing,val,cvb_1297_arm01_gopro3_20200326_033755_beh5_ani8_ins3_cut_00023_tr0_seg0,3,side,0.9814,0.1054,0.0092,0.9814,0.0094,False
cvb,Standing,val,cvb_1297_arm01_gopro3_20200326_033755_beh5_ani8_ins3_cut_00023_tr0_seg0,4,side,0.9788,0.1166,0.0076,0.9788,0.0137,False
cvb,Standing,val,cvb_1297_arm01_gopro3_20200326_033755_beh5_ani8_ins3_cut_00023_tr0_seg0,5,side,0.9661,0.1713,0.0145,0.9661,0.0194,False
cvb,Standing,val,cvb_1297_arm01_gopro3_20200326_033755_beh5_ani8_ins3_cut_00023_tr0_seg0,6,side,0.9706,0.1514,0.0197,0.9706,0.0097,False
cvb,Standing,val,cvb_1297_arm01_gopro3_20200326_033755_beh5_ani8_ins3_cut_00023_tr0_seg0,7,side,0.9614,0.1884,0.0252,0.9614,0.0134,False
cvb,Lying,train,cvb_1332_arm01_gopro4_20200323_035752_beh6_ani2_ins1_cut_00048_tr3_seg0,0,side,0.5996,0.9488,0.2199,0.5996,0.1805,False
cvb,Lying,train,cvb_1332_arm01_gopro4_20200323_035752_beh6_ani2_ins1_cut_00048_tr3_seg0,1,side,0.5932,0.955,0.2267,0.5932,0.1801,False
cvb,Lying,train,cvb_1332_arm01_gopro4_20200323_035752_beh6_ani2_ins1_cut_00048_tr3_seg0,2,rear,0.4515,1.0445,0.3549,0.1936,0.4515,True
cvb,Lying,train,cvb_1332_arm01_gopro4_20200323_035752_beh6_ani2_ins1_cut_00048_tr3_seg0,3,rear,0.4512,1.0688,0.2741,0.2747,0.4512,True
cvb,Lying,train,cvb_1332_arm01_gopro4_20200323_035752_beh6_ani2_ins1_cut_00048_tr3_seg0,4,side,0.4593,1.0642,0.2805,0.4593,0.2602,True
cvb,Lying,train,cvb_1332_arm01_gopro4_20200323_035752_beh6_ani2_ins1_cut_00048_tr3_seg0,5,side,0.5569,0.967,0.2977,0.5569,0.1454,False
cvb,Lying,train,cvb_1332_arm01_gopro4_20200323_035752_beh6_ani2_ins1_cut_00048_tr3_seg0,6,side,0.5789,0.9722,0.2019,0.5789,0.2193,False
cvb,Lying,train,cvb_1332_arm01_gopro4_20200323_035752_beh6_ani2_ins1_cut_00048_tr3_seg0,7,side,0.6806,0.84,0.1245,0.6806,0.1949,False
cvb,Lying,train,cvb_0231_arm01_gopro1_20200323_023342_beh6_ani6_ins2_cut_15_tr3_seg0,0,side,0.987,0.0778,0.0089,0.987,0.0042,False
cvb,Lying,train,cvb_0231_arm01_gopro1_20200323_023342_beh6_ani6_ins2_cut_15_tr3_seg0,1,side,0.8726,0.4697,0.0628,0.8726,0.0646,False
cvb,Lying,train,cvb_0231_arm01_gopro1_20200323_023342_beh6_ani6_ins2_cut_15_tr3_seg0,2,side,0.8976,0.4008,0.0562,0.8976,0.0462,False
cvb,Lying,train,cvb_0231_arm01_gopro1_20200323_023342_beh6_ani6_ins2_cut_15_tr3_seg0,3,front,0.6514,0.8751,0.6514,0.2217,0.1268,False
cvb,Lying,train,cvb_0231_arm01_gopro1_20200323_023342_beh6_ani6_ins2_cut_15_tr3_seg0,4,side,0.5834,0.9596,0.25,0.5834,0.1667,False
cvb,Lying,train,cvb_0231_arm01_gopro1_20200323_023342_beh6_ani6_ins2_cut_15_tr3_seg0,5,side,0.6842,0.841,0.1737,0.6842,0.1421,False
cvb,Lying,train,cvb_0231_arm01_gopro1_20200323_023342_beh6_ani6_ins2_cut_15_tr3_seg0,6,side,0.7929,0.6332,0.1488,0.7929,0.0583,False
cvb,Lying,train,cvb_0231_arm01_gopro1_20200323_023342_beh6_ani6_ins2_cut_15_tr3_seg0,7,side,0.8215,0.5903,0.1046,0.8215,0.0739,False
cvb,Lying,train,cvb_1259_arm01_gopro3_20200326_032013_beh6_ani1_ins1_cut_00005_tr3_seg0,0,side,0.7291,0.6925,0.2338,0.7291,0.0372,False
cvb,Lying,train,cvb_1259_arm01_gopro3_20200326_032013_beh6_ani1_ins1_cut_00005_tr3_seg0,1,side,0.5695,0.9513,0.2953,0.5695,0.1352,False
cvb,Lying,train,cvb_1259_arm01_gopro3_20200326_032013_beh6_ani1_ins1_cut_00005_tr3_seg0,2,side,0.749,0.6715,0.2122,0.749,0.0388,False
cvb,Lying,train,cvb_1259_arm01_gopro3_20200326_032013_beh6_ani1_ins1_cut_00005_tr3_seg0,3,side,0.7354,0.6742,0.2332,0.7354,0.0314,False
cvb,Lying,train,cvb_1259_arm01_gopro3_20200326_032013_beh6_ani1_ins1_cut_00005_tr3_seg0,4,side,0.7592,0.6396,0.2123,0.7592,0.0285,False
cvb,Lying,train,cvb_1259_arm01_gopro3_20200326_032013_beh6_ani1_ins1_cut_00005_tr3_seg0,5,side,0.6872,0.749,0.2685,0.6872,0.0443,False
cvb,Lying,train,cvb_1259_arm01_gopro3_20200326_032013_beh6_ani1_ins1_cut_00005_tr3_seg0,6,side,0.7564,0.6682,0.2009,0.7564,0.0427,False
cvb,Lying,train,cvb_1259_arm01_gopro3_20200326_032013_beh6_ani1_ins1_cut_00005_tr3_seg0,7,side,0.5159,0.8719,0.4252,0.5159,0.0589,False
cvb,Lying,train,cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00047_tr1_seg0,0,side,0.7621,0.6986,0.0771,0.7621,0.1608,False
cvb,Lying,train,cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00047_tr1_seg0,1,side,0.689,0.8329,0.1751,0.689,0.1359,False
cvb,Lying,train,cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00047_tr1_seg0,2,side,0.6357,0.9072,0.1969,0.6357,0.1674,False
cvb,Lying,train,cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00047_tr1_seg0,3,side,0.6274,0.9074,0.2317,0.6274,0.1409,False
cvb,Lying,train,cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00047_tr1_seg0,4,side,0.5312,0.9858,0.3178,0.5312,0.151,False
cvb,Lying,train,cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00047_tr1_seg0,5,side,0.4709,1.0506,0.3093,0.4709,0.2197,True
cvb,Lying,train,cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00047_tr1_seg0,6,side,0.5299,1.0079,0.2819,0.5299,0.1883,False
cvb,Lying,train,cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00047_tr1_seg0,7,side,0.6603,0.8448,0.2418,0.6603,0.0979,False
cvb,Lying,val,cvb_1321_arm01_gopro4_20200323_034011_beh4_ani5_ins1_cut_00045_tr2_seg0,0,rear,0.5511,0.9574,0.1293,0.3196,0.5511,False
cvb,Lying,val,cvb_1321_arm01_gopro4_20200323_034011_beh4_ani5_ins1_cut_00045_tr2_seg0,1,rear,0.6243,0.8988,0.2537,0.122,0.6243,False
cvb,Lying,val,cvb_1321_arm01_gopro4_20200323_034011_beh4_ani5_ins1_cut_00045_tr2_seg0,2,rear,0.5289,1.0072,0.2857,0.1853,0.5289,False
cvb,Lying,val,cvb_1321_arm01_gopro4_20200323_034011_beh4_ani5_ins1_cut_00045_tr2_seg0,3,rear,0.5653,0.8953,0.3525,0.0821,0.5653,False
cvb,Lying,val,cvb_1321_arm01_gopro4_20200323_034011_beh4_ani5_ins1_cut_00045_tr2_seg0,4,front,0.4871,0.9856,0.4871,0.1323,0.3806,True
cvb,Lying,val,cvb_1321_arm01_gopro4_20200323_034011_beh4_ani5_ins1_cut_00045_tr2_seg0,5,rear,0.5241,0.9921,0.3213,0.1546,0.5241,False
cvb,Lying,val,cvb_1321_arm01_gopro4_20200323_034011_beh4_ani5_ins1_cut_00045_tr2_seg0,6,front,0.4911,0.9005,0.4911,0.072,0.4369,True
cvb,Lying,val,cvb_1321_arm01_gopro4_20200323_034011_beh4_ani5_ins1_cut_00045_tr2_seg0,7,rear,0.5142,0.9686,0.3619,0.1239,0.5142,False
cvb,Lying,val,cvb_1317_arm01_gopro4_20200323_034011_beh6_ani1_ins1_cut_00003_tr1_seg0,0,side,0.8606,0.4992,0.0602,0.8606,0.0792,False
cvb,Lying,val,cvb_1317_arm01_gopro4_20200323_034011_beh6_ani1_ins1_cut_00003_tr1_seg0,1,side,0.4761,1.0549,0.254,0.4761,0.2699,True
cvb,Lying,val,cvb_1317_arm01_gopro4_20200323_034011_beh6_ani1_ins1_cut_00003_tr1_seg0,2,side,0.6337,0.9103,0.193,0.6337,0.1732,False
cvb,Lying,val,cvb_1317_arm01_gopro4_20200323_034011_beh6_ani1_ins1_cut_00003_tr1_seg0,3,side,0.5958,0.9546,0.2085,0.5958,0.1957,False
cvb,Lying,val,cvb_1317_arm01_gopro4_20200323_034011_beh6_ani1_ins1_cut_00003_tr1_seg0,4,side,0.6162,0.9316,0.1999,0.6162,0.1839,False
cvb,Lying,val,cvb_1317_arm01_gopro4_20200323_034011_beh6_ani1_ins1_cut_00003_tr1_seg0,5,side,0.5202,1.0156,0.287,0.5202,0.1928,False
cvb,Lying,val,cvb_1317_arm01_gopro4_20200323_034011_beh6_ani1_ins1_cut_00003_tr1_seg0,6,side,0.5493,0.9986,0.2472,0.5493,0.2035,False
cvb,Lying,val,cvb_1317_arm01_gopro4_20200323_034011_beh6_ani1_ins1_cut_00003_tr1_seg0,7,side,0.5772,0.974,0.2184,0.5772,0.2044,False
cvb,Feeding,train,cvb_0604_arm01_gopro1_20200324_230913_beh8_ani8_ins1_cut_2_tr1_seg0,0,side,0.7418,0.6179,0.0114,0.7418,0.2468,False
cvb,Feeding,train,cvb_0604_arm01_gopro1_20200324_230913_beh8_ani8_ins1_cut_2_tr1_seg0,1,rear,0.6619,0.8584,0.1178,0.2204,0.6619,False
cvb,Feeding,train,cvb_0604_arm01_gopro1_20200324_230913_beh8_ani8_ins1_cut_2_tr1_seg0,2,side,0.7621,0.6633,0.0445,0.7621,0.1934,False
cvb,Feeding,train,cvb_0604_arm01_gopro1_20200324_230913_beh8_ani8_ins1_cut_2_tr1_seg0,3,side,0.5679,0.9565,0.1407,0.5679,0.2914,False
cvb,Feeding,train,cvb_0604_arm01_gopro1_20200324_230913_beh8_ani8_ins1_cut_2_tr1_seg0,4,side,0.7185,0.7773,0.0996,0.7185,0.1819,False
cvb,Feeding,train,cvb_0604_arm01_gopro1_20200324_230913_beh8_ani8_ins1_cut_2_tr1_seg0,5,side,0.4943,0.9657,0.1162,0.4943,0.3895,True
cvb,Feeding,train,cvb_0604_arm01_gopro1_20200324_230913_beh8_ani8_ins1_cut_2_tr1_seg0,6,rear,0.5589,0.8749,0.0675,0.3736,0.5589,False
cvb,Feeding,train,cvb_0604_arm01_gopro1_20200324_230913_beh8_ani8_ins1_cut_2_tr1_seg0,7,rear,0.4965,0.9624,0.114,0.3895,0.4965,True
cvb,Feeding,train,cvb_0974_arm01_gopro1_20200327_001756_beh1_ani1_ins1_cut_00004_tr5_seg0,0,side,0.6814,0.7492,0.0415,0.6814,0.2771,False
cvb,Feeding,train,cvb_0974_arm01_gopro1_20200327_001756_beh1_ani1_ins1_cut_00004_tr5_seg0,1,rear,0.4696,0.9264,0.086,0.4444,0.4696,True
cvb,Feeding,train,cvb_0974_arm01_gopro1_20200327_001756_beh1_ani1_ins1_cut_00004_tr5_seg0,2,rear,0.5447,0.9753,0.1467,0.3086,0.5447,False
cvb,Feeding,train,cvb_0974_arm01_gopro1_20200327_001756_beh1_ani1_ins1_cut_00004_tr5_seg0,3,side,0.617,0.9188,0.2396,0.617,0.1435,False
cvb,Feeding,train,cvb_0974_arm01_gopro1_20200327_001756_beh1_ani1_ins1_cut_00004_tr5_seg0,4,side,0.7404,0.7525,0.1331,0.7404,0.1265,False
cvb,Feeding,train,cvb_0974_arm01_gopro1_20200327_001756_beh1_ani1_ins1_cut_00004_tr5_seg0,5,side,0.4946,1.0433,0.2562,0.4946,0.2492,True
cvb,Feeding,train,cvb_0974_arm01_gopro1_20200327_001756_beh1_ani1_ins1_cut_00004_tr5_seg0,6,side,0.6458,0.8914,0.204,0.6458,0.1502,False
cvb,Feeding,train,cvb_0974_arm01_gopro1_20200327_001756_beh1_ani1_ins1_cut_00004_tr5_seg0,7,side,0.7979,0.6247,0.1438,0.7979,0.0583,False
cvb,Feeding,train,cvb_0925_arm01_gopro1_20200326_223144_beh1_ani3_ins1_cut_00028_tr8_seg0,0,side,0.7675,0.6976,0.0903,0.7675,0.1422,False
cvb,Feeding,train,cvb_0925_arm01_gopro1_20200326_223144_beh1_ani3_ins1_cut_00028_tr8_seg0,1,side,0.7412,0.7496,0.1443,0.7412,0.1146,False
cvb,Feeding,train,cvb_0925_arm01_gopro1_20200326_223144_beh1_ani3_ins1_cut_00028_tr8_seg0,2,side,0.8065,0.6252,0.0925,0.8065,0.1009,False
cvb,Feeding,train,cvb_0925_arm01_gopro1_20200326_223144_beh1_ani3_ins1_cut_00028_tr8_seg0,3,side,0.6873,0.8336,0.1824,0.6873,0.1302,False
cvb,Feeding,train,cvb_0925_arm01_gopro1_20200326_223144_beh1_ani3_ins1_cut_00028_tr8_seg0,4,side,0.7649,0.7031,0.0928,0.7649,0.1423,False
cvb,Feeding,train,cvb_0925_arm01_gopro1_20200326_223144_beh1_ani3_ins1_cut_00028_tr8_seg0,5,side,0.8121,0.6126,0.1028,0.8121,0.0851,False
cvb,Feeding,train,cvb_0925_arm01_gopro1_20200326_223144_beh1_ani3_ins1_cut_00028_tr8_seg0,6,side,0.8193,0.5976,0.0939,0.8193,0.0868,False
cvb,Feeding,train,cvb_0925_arm01_gopro1_20200326_223144_beh1_ani3_ins1_cut_00028_tr8_seg0,7,side,0.8065,0.6238,0.1094,0.8065,0.0841,False
cvb,Feeding,train,cvb_0233_arm01_gopro1_20200323_023342_beh7_ani8_ins1_cut_1_tr4_seg0,0,rear,0.8241,0.532,0.0222,0.1537,0.8241,False
cvb,Feeding,train,cvb_0233_arm01_gopro1_20200323_023342_beh7_ani8_ins1_cut_1_tr4_seg0,1,rear,0.6282,0.9012,0.2409,0.131,0.6282,False
cvb,Feeding,train,cvb_0233_arm01_gopro1_20200323_023342_beh7_ani8_ins1_cut_1_tr4_seg0,2,rear,0.6367,0.9068,0.1736,0.1897,0.6367,False
cvb,Feeding,train,cvb_0233_arm01_gopro1_20200323_023342_beh7_ani8_ins1_cut_1_tr4_seg0,3,rear,0.6357,0.9038,0.1535,0.2107,0.6357,False
cvb,Feeding,train,cvb_0233_arm01_gopro1_20200323_023342_beh7_ani8_ins1_cut_1_tr4_seg0,4,rear,0.7616,0.711,0.1397,0.0987,0.7616,False
cvb,Feeding,train,cvb_0233_arm01_gopro1_20200323_023342_beh7_ani8_ins1_cut_1_tr4_seg0,5,rear,0.8884,0.4272,0.0579,0.0537,0.8884,False
cvb,Feeding,train,cvb_0233_arm01_gopro1_20200323_023342_beh7_ani8_ins1_cut_1_tr4_seg0,6,rear,0.8248,0.5855,0.0845,0.0907,0.8248,False
cvb,Feeding,train,cvb_0233_arm01_gopro1_20200323_023342_beh7_ani8_ins1_cut_1_tr4_seg0,7,side,0.4505,1.0111,0.1508,0.4505,0.3987,True
cvb,Feeding,val,cvb_1227_arm01_gopro3_20200325_020417_beh3_ani8_ins1_cut_00007_tr0_seg0,0,rear,0.5347,0.9062,0.0812,0.3841,0.5347,False
cvb,Feeding,val,cvb_1227_arm01_gopro3_20200325_020417_beh3_ani8_ins1_cut_00007_tr0_seg0,1,side,0.9498,0.2131,0.004,0.9498,0.0462,False
cvb,Feeding,val,cvb_1227_arm01_gopro3_20200325_020417_beh3_ani8_ins1_cut_00007_tr0_seg0,2,front,0.6374,0.819,0.6374,0.0609,0.3017,False
cvb,Feeding,val,cvb_1227_arm01_gopro3_20200325_020417_beh3_ani8_ins1_cut_00007_tr0_seg0,3,side,0.6323,0.9061,0.1495,0.6323,0.2181,False
cvb,Feeding,val,cvb_1227_arm01_gopro3_20200325_020417_beh3_ani8_ins1_cut_00007_tr0_seg0,4,rear,0.5322,0.9662,0.1286,0.3392,0.5322,False
cvb,Feeding,val,cvb_1227_arm01_gopro3_20200325_020417_beh3_ani8_ins1_cut_00007_tr0_seg0,5,rear,0.5514,0.9622,0.1349,0.3136,0.5514,False
cvb,Feeding,val,cvb_1227_arm01_gopro3_20200325_020417_beh3_ani8_ins1_cut_00007_tr0_seg0,6,rear,0.4799,1.0508,0.2371,0.283,0.4799,True
cvb,Feeding,val,cvb_1227_arm01_gopro3_20200325_020417_beh3_ani8_ins1_cut_00007_tr0_seg0,7,front,0.3776,1.0853,0.3776,0.2586,0.3638,True
cvb,Feeding,val,cvb_0680_arm01_gopro1_20200325_002001_beh8_ani8_ins4_cut_3_tr4_seg0,0,side,0.5128,0.8262,0.038,0.5128,0.4492,False
cvb,Feeding,val,cvb_0680_arm01_gopro1_20200325_002001_beh8_ani8_ins4_cut_3_tr4_seg0,1,side,0.8553,0.4846,0.0281,0.8553,0.1166,False
cvb,Feeding,val,cvb_0680_arm01_gopro1_20200325_002001_beh8_ani8_ins4_cut_3_tr4_seg0,2,rear,0.5349,0.8132,0.0343,0.4308,0.5349,False
cvb,Feeding,val,cvb_0680_arm01_gopro1_20200325_002001_beh8_ani8_ins4_cut_3_tr4_seg0,3,side,0.4783,0.8592,0.051,0.4783,0.4707,True
cvb,Feeding,val,cvb_0680_arm01_gopro1_20200325_002001_beh8_ani8_ins4_cut_3_tr4_seg0,4,rear,0.5987,0.8341,0.0551,0.3462,0.5987,False
cvb,Feeding,val,cvb_0680_arm01_gopro1_20200325_002001_beh8_ani8_ins4_cut_3_tr4_seg0,5,rear,0.4904,0.8129,0.0322,0.4774,0.4904,True
cvb,Feeding,val,cvb_0680_arm01_gopro1_20200325_002001_beh8_ani8_ins4_cut_3_tr4_seg0,6,rear,0.7405,0.7201,0.0663,0.1932,0.7405,False
cvb,Feeding,val,cvb_0680_arm01_gopro1_20200325_002001_beh8_ani8_ins4_cut_3_tr4_seg0,7,side,0.8153,0.5262,0.0133,0.8153,0.1714,False
cvb,Drinking,train,cvb_1030_arm01_gopro1_20200327_005320_beh7_ani6_ins1_cut_00001_tr8_seg0,0,side,0.9004,0.3812,0.0737,0.9004,0.0259,False
cvb,Drinking,train,cvb_1030_arm01_gopro1_20200327_005320_beh7_ani6_ins1_cut_00001_tr8_seg0,1,side,0.9714,0.1443,0.0057,0.9714,0.0229,False
cvb,Drinking,train,cvb_1030_arm01_gopro1_20200327_005320_beh7_ani6_ins1_cut_00001_tr8_seg0,2,side,0.9405,0.2664,0.0268,0.9405,0.0326,False
cvb,Drinking,train,cvb_1030_arm01_gopro1_20200327_005320_beh7_ani6_ins1_cut_00001_tr8_seg0,3,side,0.915,0.3495,0.0443,0.915,0.0406,False
cvb,Drinking,train,cvb_1030_arm01_gopro1_20200327_005320_beh7_ani6_ins1_cut_00001_tr8_seg0,4,side,0.815,0.6026,0.1131,0.815,0.0719,False
cvb,Drinking,train,cvb_1030_arm01_gopro1_20200327_005320_beh7_ani6_ins1_cut_00001_tr8_seg0,5,side,0.9785,0.1187,0.0113,0.9785,0.0102,False
cvb,Drinking,train,cvb_1030_arm01_gopro1_20200327_005320_beh7_ani6_ins1_cut_00001_tr8_seg0,6,side,0.9572,0.2063,0.0236,0.9572,0.0193,False
cvb,Drinking,train,cvb_1030_arm01_gopro1_20200327_005320_beh7_ani6_ins1_cut_00001_tr8_seg0,7,front,0.7068,0.7268,0.7068,0.2505,0.0428,False
cvb,Drinking,train,cvb_0089_arm01_gopro1_20200323_002948_beh7_ani2_ins1_cut_2_tr0_seg0,0,side,0.9438,0.2555,0.0287,0.9438,0.0275,False
cvb,Drinking,train,cvb_0089_arm01_gopro1_20200323_002948_beh7_ani2_ins1_cut_2_tr0_seg0,1,side,0.943,0.2473,0.0115,0.943,0.0455,False
